accepted, E_tot
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
0, -588.000000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
1, -587.688000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
2, -587.376000
3, -587.064000
3, -587.064000
3, -587.064000
3, -587.064000
3, -587.064000
3, -587.064000
3, -587.064000
3, -587.064000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
4, -586.791000
5, -586.479000
5, -586.479000
5, -586.479000
5, -586.479000
5, -586.479000
5, -586.479000
5, -586.479000
5, -586.479000
5, -586.479000
5, -586.479000
5, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
6, -586.479000
7, -586.167000
7, -586.167000
7, -586.167000
7, -586.167000
7, -586.167000
7, -586.167000
7, -586.167000
7, -586.167000
7, -586.167000
7, -586.167000
7, -586.167000
8, -585.894000
8, -585.894000
8, -585.894000
8, -585.894000
8, -585.894000
8, -585.894000
8, -585.894000
8, -585.894000
8, -585.894000
8, -585.894000
9, -585.894000
9, -585.894000
9, -585.894000
9, -585.894000
9, -585.894000
9, -585.894000
9, -585.894000
9, -585.894000
9, -585.894000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
10, -585.582000
11, -585.270000
11, -585.270000
11, -585.270000
11, -585.270000
11, -585.270000
11, -585.270000
11, -585.270000
11, -585.270000
11, -585.270000
11, -585.270000
12, -585.270000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
13, -584.958000
14, -584.958000
14, -584.958000
14, -584.958000
14, -584.958000
14, -584.958000
14, -584.958000
14, -584.958000
14, -584.958000
14, -584.958000
15, -584.958000
15, -584.958000
15, -584.958000
15, -584.958000
15, -584.958000
16, -584.646000
16, -584.646000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
17, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
18, -584.334000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
19, -584.022000
20, -583.710000
20, -583.710000
20, -583.710000
21, -583.710000
22, -583.710000
22, -583.710000
22, -583.710000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
23, -583.398000
24, -583.398000
24, -583.398000
24, -583.398000
24, -583.398000
24, -583.398000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
25, -583.086000
26, -582.813000
26, -582.813000
26, -582.813000
27, -582.813000
27, -582.813000
27, -582.813000
27, -582.813000
27, -582.813000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
28, -582.501000
29, -582.189000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
30, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
31, -581.994000
32, -581.955000
32, -581.955000
33, -581.643000
33, -581.643000
33, -581.643000
33, -581.643000
33, -581.643000
33, -581.643000
33, -581.643000
33, -581.643000
33, -581.643000
33, -581.643000
33, -581.643000
33, -581.643000
34, -581.331000
34, -581.331000
34, -581.331000
34, -581.331000
34, -581.331000
34, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
35, -581.331000
36, -581.019000
36, -581.019000
36, -581.019000
36, -581.019000
36, -581.019000
36, -581.019000
36, -581.019000
36, -581.019000
36, -581.019000
36, -581.019000
37, -581.019000
37, -581.019000
37, -581.019000
37, -581.019000
37, -581.019000
37, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
38, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
39, -581.019000
40, -581.019000
40, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
41, -581.019000
42, -580.707000
42, -580.707000
42, -580.707000
42, -580.707000
42, -580.707000
42, -580.707000
42, -580.707000
42, -580.707000
42, -580.707000
