N, Var_U, Var_CV, Var_P, Var_R
16830, -0.018540, 0.226343, -0.064006, -0.018540
16881, -0.016605, 0.226548, -0.059895, -0.016605
16932, -0.018706, 0.226717, -0.054663, -0.018706
16983, -0.021967, 0.226867, -0.048898, -0.021967
17034, -0.026599, 0.227003, -0.044270, -0.026599
17085, -0.030309, 0.227125, -0.039421, -0.030309
17136, -0.036930, 0.227235, -0.034661, -0.036930
17187, -0.044011, 0.227323, -0.030905, -0.044011
17238, -0.047794, 0.227386, -0.027431, -0.047794
17289, -0.051583, 0.227419, -0.024879, -0.051583
17340, -0.052494, 0.227424, -0.022207, -0.052494
17391, -0.051839, 0.227410, -0.019523, -0.051839
17442, -0.053459, 0.227377, -0.014705, -0.053459
17493, -0.055491, 0.227325, -0.010909, -0.055491
17544, -0.053578, 0.227253, -0.009184, -0.053578
17595, -0.046004, 0.227157, -0.009472, -0.046004
17646, -0.041621, 0.227038, -0.010575, -0.041621
17697, -0.038085, 0.226902, -0.010819, -0.038085
17748, -0.031429, 0.226751, -0.010779, -0.031429
17799, -0.021390, 0.226581, -0.010684, -0.021390
17850, -0.010359, 0.226392, -0.011267, -0.010359
17901, -0.002811, 0.226177, -0.012127, -0.002811
17952, 0.002617, 0.225947, -0.013721, 0.002617
18003, 0.005969, 0.225707, -0.016076, 0.005969
18054, 0.005566, 0.225451, -0.018108, 0.005566
18105, -0.000781, 0.225175, -0.020417, -0.000781
18156, -0.002029, 0.224913, -0.023864, -0.002029
18207, -0.003211, 0.224731, -0.026898, -0.003211
18258, -0.007071, 0.224683, -0.029781, -0.007071
18309, -0.010373, 0.224795, -0.034421, -0.010373
18360, -0.012013, 0.225040, -0.039694, -0.012013
18411, -0.012356, 0.225324, -0.044597, -0.012356
18462, -0.010990, 0.225629, -0.047912, -0.010990
18513, -0.007009, 0.225964, -0.051245, -0.007009
18564, 0.001051, 0.226312, -0.055110, 0.001051
18615, 0.006162, 0.226633, -0.060482, 0.006162
18666, 0.010334, 0.226925, -0.066817, 0.010334
18717, 0.014346, 0.227218, -0.073086, 0.014346
18768, 0.016636, 0.227511, -0.079541, 0.016636
18819, 0.023802, 0.227776, -0.086270, 0.023802
18870, 0.030991, 0.228001, -0.091356, 0.030991
18921, 0.034805, 0.228184, -0.096067, 0.034805
18972, 0.038424, 0.228339, -0.100143, 0.038424
19023, 0.040159, 0.228470, -0.104318, 0.040159
19074, 0.042164, 0.228559, -0.107694, 0.042164
19125, 0.047118, 0.228604, -0.109801, 0.047118
19176, 0.052948, 0.228608, -0.112023, 0.052948
19227, 0.056255, 0.228576, -0.114612, 0.056255
19278, 0.055108, 0.228524, -0.116918, 0.055108
19329, 0.051676, 0.228463, -0.119709, 0.051676
19380, 0.040472, 0.228375, -0.123650, 0.040472
19431, 0.028108, 0.228267, -0.128454, 0.028108
19482, 0.015705, 0.228148, -0.133135, 0.015705
19533, 0.007801, 0.228009, -0.138098, 0.007801
19584, -0.004183, 0.227843, -0.143247, -0.004183
19635, -0.012256, 0.227655, -0.148934, -0.012256
19686, -0.010157, 0.227439, -0.155031, -0.010157
19737, -0.011049, 0.227199, -0.161430, -0.011049
