N, Var_U, Var_CV, Var_P, Var_R
100000, 1.431686, 0.000007, 0.002590, 0.000235
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.916066, 0.988388, 0.980101, 0.916066
102, 0.838843, 0.973512, 0.961341, 0.838843
153, 0.769413, 0.957340, 0.943155, 0.769413
204, 0.704691, 0.938000, 0.924892, 0.704691
255, 0.646550, 0.915959, 0.907113, 0.646550
306, 0.587977, 0.891785, 0.888861, 0.587977
357, 0.534622, 0.866627, 0.870668, 0.534622
408, 0.491271, 0.840769, 0.852189, 0.491271
459, 0.457535, 0.814380, 0.834271, 0.457535
510, 0.426068, 0.788021, 0.816780, 0.426068
561, 0.398434, 0.762335, 0.800080, 0.398434
612, 0.377124, 0.737491, 0.783322, 0.377124
663, 0.352673, 0.713218, 0.767166, 0.352673
714, 0.326161, 0.689569, 0.751606, 0.326161
765, 0.297646, 0.666953, 0.736702, 0.297646
816, 0.271466, 0.646138, 0.721321, 0.271466
867, 0.249863, 0.627486, 0.705934, 0.249863
918, 0.234598, 0.609789, 0.691487, 0.234598
969, 0.220110, 0.593487, 0.677952, 0.220110
1020, 0.205388, 0.579913, 0.663973, 0.205388
1071, 0.194170, 0.569182, 0.652022, 0.194170
1122, 0.185033, 0.560078, 0.640599, 0.185033
1173, 0.174143, 0.553151, 0.629311, 0.174143
1224, 0.164032, 0.551409, 0.618256, 0.164032
1275, 0.157238, 0.553318, 0.607968, 0.157238
1326, 0.144766, 0.557728, 0.597604, 0.144766
1377, 0.128837, 0.563473, 0.587598, 0.128837
1428, 0.113179, 0.569272, 0.578381, 0.113179
1479, 0.097737, 0.574319, 0.568998, 0.097737
1530, 0.077830, 0.578508, 0.559978, 0.077830
1581, 0.059979, 0.581946, 0.551111, 0.059979
1632, 0.045009, 0.584795, 0.542007, 0.045009
1683, 0.032530, 0.587100, 0.533467, 0.032530
1734, 0.029444, 0.588994, 0.524430, 0.029444
1785, 0.025014, 0.590486, 0.515216, 0.025014
1836, 0.022351, 0.591608, 0.505523, 0.022351
1887, 0.020993, 0.592444, 0.496438, 0.020993
1938, 0.020429, 0.593182, 0.488782, 0.020429
1989, 0.015668, 0.593877, 0.482586, 0.015668
2040, 0.014765, 0.594564, 0.476191, 0.014765
2091, 0.013116, 0.595352, 0.469945, 0.013116
2142, 0.006747, 0.596073, 0.463471, 0.006747
2193, 0.002443, 0.596733, 0.456523, 0.002443
2244, 0.000841, 0.597276, 0.450344, 0.000841
2295, 0.002164, 0.597818, 0.443879, 0.002164
2346, 0.002335, 0.598530, 0.436167, 0.002335
2397, 0.002221, 0.599298, 0.428222, 0.002221
2448, 0.003357, 0.600138, 0.420325, 0.003357
2499, -0.000104, 0.601107, 0.413805, -0.000104
2550, -0.004085, 0.602095, 0.408095, -0.004085
2601, -0.005779, 0.602814, 0.403549, -0.005779
2652, -0.008553, 0.603446, 0.400547, -0.008553
2703, -0.014471, 0.604425, 0.397734, -0.014471
2754, -0.019463, 0.605460, 0.395872, -0.019463
2805, -0.024003, 0.606387, 0.394403, -0.024003
2856, -0.024157, 0.607089, 0.392161, -0.024157
2907, -0.020141, 0.607581, 0.389856, -0.020141
2958, -0.014890, 0.607928, 0.387274, -0.014890
3009, -0.012237, 0.608053, 0.384680, -0.012237
3060, -0.013221, 0.607967, 0.382393, -0.013221
3111, -0.016713, 0.607683, 0.379625, -0.016713
3162, -0.020947, 0.607118, 0.375336, -0.020947
3213, -0.024892, 0.606323, 0.370726, -0.024892
3264, -0.032808, 0.605337, 0.366618, -0.032808
3315, -0.045729, 0.604221, 0.361654, -0.045729
3366, -0.055341, 0.603106, 0.356881, -0.055341
3417, -0.061767, 0.601935, 0.351881, -0.061767
3468, -0.063132, 0.600698, 0.347175, -0.063132
3519, -0.063325, 0.599403, 0.342625, -0.063325
3570, -0.065360, 0.598117, 0.338982, -0.065360
3621, -0.067188, 0.596930, 0.336086, -0.067188
3672, -0.067481, 0.595880, 0.332743, -0.067481
3723, -0.070979, 0.594866, 0.330251, -0.070979
3774, -0.074677, 0.593896, 0.328123, -0.074677
3825, -0.078186, 0.593156, 0.324910, -0.078186
3876, -0.083697, 0.593009, 0.321086, -0.083697
3927, -0.090583, 0.593086, 0.317490, -0.090583
3978, -0.095292, 0.593189, 0.313406, -0.095292
4029, -0.095551, 0.593304, 0.308683, -0.095551
4080, -0.093275, 0.593425, 0.303826, -0.093275
4131, -0.094180, 0.593522, 0.297776, -0.094180
4182, -0.092996, 0.593653, 0.291020, -0.092996
4233, -0.090027, 0.593837, 0.285775, -0.090027
4284, -0.085323, 0.594171, 0.281811, -0.085323
4335, -0.080710, 0.594680, 0.278774, -0.080710
4386, -0.079947, 0.595226, 0.275172, -0.079947
4437, -0.080914, 0.595767, 0.270499, -0.080914
4488, -0.080806, 0.596199, 0.264716, -0.080806
4539, -0.080237, 0.596492, 0.259196, -0.080237
4590, -0.077266, 0.596592, 0.253432, -0.077266
4641, -0.070215, 0.596436, 0.246514, -0.070215
4692, -0.064285, 0.595973, 0.238646, -0.064285
4743, -0.059342, 0.595215, 0.230455, -0.059342
4794, -0.056937, 0.594233, 0.221946, -0.056937
4845, -0.058643, 0.593073, 0.213868, -0.058643
4896, -0.055591, 0.591764, 0.205668, -0.055591
4947, -0.046897, 0.590344, 0.198391, -0.046897
4998, -0.035937, 0.588848, 0.192147, -0.035937
5049, -0.025750, 0.587297, 0.185784, -0.025750
5100, -0.015024, 0.585703, 0.179795, -0.015024
5151, -0.002122, 0.584114, 0.174024, -0.002122
5202, 0.011869, 0.582580, 0.168884, 0.011869
5253, 0.023459, 0.581075, 0.163420, 0.023459
5304, 0.029916, 0.579574, 0.158703, 0.029916
5355, 0.031621, 0.578097, 0.154392, 0.031621
5406, 0.029924, 0.576673, 0.150690, 0.029924
5457, 0.030866, 0.575365, 0.146983, 0.030866
5508, 0.032874, 0.574239, 0.143147, 0.032874
5559, 0.029012, 0.573227, 0.139837, 0.029012
5610, 0.028472, 0.572340, 0.136704, 0.028472
5661, 0.030664, 0.571557, 0.132110, 0.030664
5712, 0.031999, 0.570841, 0.127873, 0.031999
5763, 0.030787, 0.570239, 0.124210, 0.030787
5814, 0.029584, 0.569764, 0.120533, 0.029584
5865, 0.028764, 0.569509, 0.117665, 0.028764
5916, 0.031307, 0.569625, 0.113988, 0.031307
5967, 0.031168, 0.569950, 0.110256, 0.031168
6018, 0.031259, 0.570377, 0.105675, 0.031259
6069, 0.033738, 0.570802, 0.099493, 0.033738
6120, 0.036319, 0.571228, 0.093719, 0.036319
6171, 0.036168, 0.571635, 0.087674, 0.036168
6222, 0.036547, 0.571988, 0.082462, 0.036547
6273, 0.036917, 0.572251, 0.077548, 0.036917
6324, 0.039455, 0.572385, 0.072548, 0.039455
6375, 0.042534, 0.572360, 0.067363, 0.042534
6426, 0.045282, 0.572210, 0.061823, 0.045282
6477, 0.051586, 0.571979, 0.055791, 0.051586
6528, 0.059137, 0.571641, 0.050807, 0.059137
6579, 0.063561, 0.571168, 0.048157, 0.063561
6630, 0.065766, 0.570516, 0.045601, 0.065766
6681, 0.064918, 0.569644, 0.043857, 0.064918
6732, 0.062613, 0.568482, 0.042128, 0.062613
6783, 0.059545, 0.566982, 0.040368, 0.059545
6834, 0.053573, 0.565157, 0.038951, 0.053573
6885, 0.044710, 0.563017, 0.038290, 0.044710
6936, 0.037601, 0.560571, 0.037496, 0.037601
6987, 0.034192, 0.557855, 0.035240, 0.034192
7038, 0.031790, 0.554906, 0.032861, 0.031790
7089, 0.028163, 0.551764, 0.031635, 0.028163
7140, 0.023450, 0.548428, 0.030204, 0.023450
7191, 0.016337, 0.544949, 0.029077, 0.016337
7242, 0.010885, 0.541329, 0.027939, 0.010885
7293, 0.011450, 0.537570, 0.028044, 0.011450
7344, 0.001108, 0.533713, 0.028636, 0.001108
7395, -0.010083, 0.529757, 0.030132, -0.010083
7446, -0.021296, 0.525695, 0.031350, -0.021296
7497, -0.034861, 0.521616, 0.032379, -0.034861
7548, -0.045880, 0.517686, 0.033243, -0.045880
7599, -0.052543, 0.513966, 0.034079, -0.052543
7650, -0.065236, 0.510358, 0.035990, -0.065236
7701, -0.079772, 0.506872, 0.037195, -0.079772
7752, -0.092372, 0.503465, 0.037148, -0.092372
7803, -0.104992, 0.500079, 0.036371, -0.104992
7854, -0.118530, 0.496744, 0.036348, -0.118530
7905, -0.130426, 0.493717, 0.035307, -0.130426
7956, -0.142055, 0.491077, 0.033455, -0.142055
8007, -0.148968, 0.488685, 0.031778, -0.148968
8058, -0.151468, 0.486577, 0.030741, -0.151468
8109, -0.154633, 0.484620, 0.030347, -0.154633
8160, -0.160482, 0.482758, 0.028652, -0.160482
8211, -0.166650, 0.480969, 0.027537, -0.166650
8262, -0.173561, 0.479348, 0.027281, -0.173561
8313, -0.182503, 0.477851, 0.027358, -0.182503
8364, -0.190951, 0.476369, 0.028721, -0.190951
8415, -0.198322, 0.474856, 0.029337, -0.198322
8466, -0.207407, 0.473245, 0.029634, -0.207407
8517, -0.217144, 0.471568, 0.030236, -0.217144
8568, -0.228802, 0.469943, 0.031694, -0.228802
8619, -0.234931, 0.468309, 0.034127, -0.234931
8670, -0.239399, 0.466565, 0.036095, -0.239399
8721, -0.237261, 0.464686, 0.038747, -0.237261
8772, -0.233685, 0.462662, 0.040503, -0.233685
8823, -0.230588, 0.460467, 0.041698, -0.230588
8874, -0.223748, 0.458120, 0.042484, -0.223748
8925, -0.219554, 0.455649, 0.042384, -0.219554
8976, -0.215437, 0.453106, 0.042056, -0.215437
9027, -0.210395, 0.450486, 0.041623, -0.210395
9078, -0.204071, 0.447811, 0.042874, -0.204071
9129, -0.201204, 0.445105, 0.043494, -0.201204
9180, -0.199974, 0.442322, 0.044026, -0.199974
9231, -0.197079, 0.439474, 0.044220, -0.197079
9282, -0.192962, 0.436718, 0.044278, -0.192962
9333, -0.189791, 0.434082, 0.045903, -0.189791
9384, -0.185555, 0.431486, 0.049332, -0.185555
9435, -0.186270, 0.428898, 0.053445, -0.186270
9486, -0.188633, 0.426283, 0.056115, -0.188633
9537, -0.189614, 0.423685, 0.059075, -0.189614
9588, -0.187298, 0.421208, 0.060544, -0.187298
9639, -0.184287, 0.418869, 0.062545, -0.184287
9690, -0.175137, 0.416674, 0.065686, -0.175137
9741, -0.162977, 0.414613, 0.069537, -0.162977
9792, -0.155590, 0.412771, 0.073312, -0.155590
9843, -0.148251, 0.411164, 0.077322, -0.148251
9894, -0.142482, 0.409640, 0.081566, -0.142482
9945, -0.138217, 0.408188, 0.086266, -0.138217
9996, -0.130432, 0.406809, 0.089500, -0.130432
10047, -0.125379, 0.405433, 0.091277, -0.125379
10098, -0.124009, 0.403983, 0.093334, -0.124009
10149, -0.122121, 0.402468, 0.095314, -0.122121
10200, -0.115485, 0.400884, 0.097025, -0.115485
