Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.945662, 11.000803, 10.993891, 10.945662
21, 20.804714, 21.002833, 20.977878, 20.804714
31, 30.573246, 31.005302, 30.952987, 30.573246
41, 40.259591, 40.999106, 40.930557, 40.259591
51, 49.869619, 51.013082, 50.876007, 49.869619
61, 59.398571, 61.005532, 60.837954, 59.398571
71, 68.853280, 71.011654, 70.771916, 68.853280
81, 78.275181, 81.018782, 80.711791, 78.275181
91, 87.539829, 91.043089, 90.609861, 87.539829
101, 96.686289, 100.992682, 100.583237, 96.686289
111, 105.815933, 111.064409, 110.424474, 105.815933
121, 114.851073, 121.024658, 120.364021, 114.851073
131, 123.924103, 131.009642, 130.251612, 123.924103
141, 132.937982, 140.987795, 140.176560, 132.937982
151, 141.733433, 150.988939, 150.043528, 141.733433
161, 150.293092, 160.958497, 159.938314, 150.293092
171, 159.596680, 171.099303, 169.703134, 159.596680
181, 168.081602, 181.035188, 179.613376, 168.081602
191, 177.120567, 191.066367, 189.385988, 177.120567
201, 185.417838, 201.052576, 199.255462, 185.417838
211, 194.308289, 211.194235, 209.053341, 194.308289
221, 202.341710, 221.043735, 218.873235, 202.341710
231, 210.171586, 231.208046, 228.574731, 210.171586
241, 218.964196, 241.226352, 238.532062, 218.964196
251, 226.321217, 251.022624, 248.272811, 226.321217
261, 236.063340, 260.844940, 258.166003, 236.063340
271, 242.969503, 270.759824, 268.062701, 242.969503
281, 251.543025, 281.259505, 277.569424, 251.543025
291, 259.817541, 291.108341, 287.373002, 259.817541
301, 267.073554, 300.816603, 297.137174, 267.073554
311, 276.264263, 311.042323, 306.758465, 276.264263
321, 283.376976, 321.047365, 316.523789, 283.376976
331, 291.360520, 330.600279, 326.336820, 291.360520
341, 298.149820, 340.791808, 336.229780, 298.149820
351, 308.604877, 351.314181, 345.926558, 308.604877
361, 315.289046, 360.441398, 356.037384, 315.289046
371, 321.683918, 370.989064, 365.191711, 321.683918
381, 327.281302, 380.814371, 374.820785, 327.281302
391, 336.004023, 391.148924, 384.575024, 336.004023
401, 345.187117, 400.778382, 394.246811, 345.187117
411, 353.088445, 410.631243, 404.256486, 353.088445
421, 361.646853, 420.828520, 413.421300, 361.646853
431, 363.795600, 430.204757, 423.601627, 363.795600
441, 375.834494, 441.190953, 432.885510, 375.834494
451, 383.876454, 451.031173, 442.337864, 383.876454
461, 384.248263, 461.338831, 452.814200, 384.248263
471, 397.148887, 470.520244, 461.939828, 397.148887
481, 400.497094, 481.579361, 471.684761, 400.497094
491, 408.539299, 491.037287, 480.902349, 408.539299
501, 414.624023, 500.672920, 490.546892, 414.624023
511, 428.007798, 510.737189, 499.556897, 428.007798
521, 428.387738, 521.480120, 509.620440, 428.387738
531, 435.606090, 530.545845, 518.911614, 435.606090
541, 443.251933, 541.642387, 528.858170, 443.251933
551, 452.250340, 550.549963, 538.396906, 452.250340
561, 458.688136, 559.669906, 548.343041, 458.688136
571, 463.292417, 569.195203, 558.642137, 463.292417
581, 476.583390, 579.162167, 566.969214, 476.583390
591, 474.531428, 589.617625, 576.669657, 474.531428
601, 484.014263, 600.299604, 586.370336, 484.014263
611, 494.697180, 611.139180, 595.854251, 494.697180
621, 491.976369, 619.267876, 606.172562, 491.976369
631, 509.234249, 630.310924, 614.930318, 509.234249
641, 511.508517, 638.606956, 625.299734, 511.508517
651, 510.953492, 650.233373, 635.270352, 510.953492
661, 521.639823, 659.159931, 643.569204, 521.639823
671, 532.315667, 668.316139, 655.679080, 532.315667
681, 541.084317, 681.282666, 662.052392, 541.084317
691, 545.101559, 690.837482, 670.743126, 545.101559
701, 553.905735, 700.468814, 682.151013, 553.905735
711, 555.110552, 710.247066, 691.938585, 555.110552
721, 563.952654, 720.204420, 700.917739, 563.952654
731, 573.973863, 730.417125, 709.384517, 573.973863
741, 583.010128, 741.098362, 719.360102, 583.010128
751, 570.648579, 747.792788, 729.655504, 570.648579
761, 577.537353, 758.963729, 737.538105, 577.537353
771, 593.483032, 770.379663, 748.572823, 593.483032
781, 608.066761, 777.702663, 758.073238, 608.066761
791, 596.757105, 789.553157, 766.698864, 596.757105
801, 612.352520, 801.510654, 776.788376, 612.352520
811, 610.570773, 808.650607, 786.219977, 610.570773
821, 616.282292, 820.687905, 795.913368, 616.282292
831, 618.896081, 828.031818, 804.804690, 618.896081
841, 629.215950, 840.436701, 816.113918, 629.215950
851, 640.844551, 848.112473, 823.583182, 640.844551
861, 633.886593, 856.036926, 834.983980, 633.886593
871, 665.961457, 869.294740, 843.218446, 665.961457
881, 648.329661, 877.660858, 850.469373, 648.329661
891, 662.359485, 886.229031, 862.575327, 662.359485
901, 671.491375, 900.694779, 872.284030, 671.491375
911, 674.972213, 909.670956, 881.659798, 674.972213
921, 674.295649, 918.979188, 891.837398, 674.295649
931, 695.434767, 928.474125, 898.721900, 695.434767
941, 677.928978, 937.908025, 907.347862, 677.928978
951, 703.608808, 947.295457, 917.981662, 703.608808
961, 686.193431, 956.696105, 922.918443, 686.193431
971, 705.617426, 972.797293, 937.263567, 705.617426
981, 710.950136, 982.042592, 944.871309, 710.950136
991, 724.444938, 991.283568, 953.368772, 724.444938
1001, 710.152403, 1000.328118, 963.683002, 710.152403
1011, 731.143685, 1009.677892, 973.361657, 731.143685
1021, 720.989308, 1019.350150, 989.438725, 720.989308
1031, 740.504080, 1029.447693, 992.465380, 740.504081
1041, 739.578034, 1031.084885, 998.165425, 739.578034
1051, 756.245527, 1041.073201, 1009.879133, 756.245527
1061, 768.787668, 1051.694423, 1018.505696, 768.787668
1071, 742.888950, 1062.799002, 1027.473232, 742.888950
1081, 784.236276, 1073.773926, 1034.218983, 784.236276
1091, 761.380149, 1084.787540, 1053.703375, 761.380149
1101, 782.755153, 1096.118333, 1059.773174, 782.755153
1111, 811.078975, 1099.276168, 1064.898726, 811.078975
1121, 774.745146, 1111.877216, 1074.078693, 774.745146
1131, 765.027180, 1124.480516, 1086.628573, 765.027180
1141, 823.044866, 1136.962921, 1098.817190, 823.044866
1151, 790.307108, 1149.747751, 1104.579962, 790.307108
1161, 796.887923, 1153.103795, 1109.510741, 796.887923
1171, 806.309091, 1166.896031, 1124.294931, 806.309091
1181, 807.684114, 1180.579895, 1131.258177, 807.684114
1191, 796.435912, 1193.802489, 1146.018282, 796.435912
1201, 820.156877, 1196.568663, 1145.194252, 820.156877
1211, 805.854272, 1209.831368, 1152.416016, 805.854272
1221, 830.947917, 1223.454057, 1166.710750, 830.947917
1231, 812.356012, 1225.980697, 1174.570475, 812.356012
1241, 813.745957, 1239.191855, 1186.755654, 813.745957
1251, 832.073998, 1252.724617, 1196.182953, 832.073998
1261, 843.555834, 1254.631512, 1197.895218, 843.555834
1271, 835.633320, 1268.163884, 1213.194230, 835.633320
1281, 837.711871, 1270.282397, 1223.668071, 837.711871
1291, 843.774222, 1283.830088, 1233.487176, 843.774222
1301, 876.142272, 1297.409653, 1247.507693, 876.142272
1311, 831.367840, 1299.111214, 1244.045521, 831.367840
1321, 873.843266, 1313.718001, 1257.983873, 873.843266
1331, 908.799524, 1315.565221, 1262.889378, 908.799524
1341, 885.753663, 1330.818306, 1279.958422, 885.753663
1351, 862.771012, 1332.759156, 1288.184413, 862.771012
1361, 914.509551, 1347.767926, 1296.304835, 914.509551
1371, 910.519938, 1362.774304, 1302.442005, 910.519938
1381, 924.890962, 1364.238275, 1311.328956, 924.890962
1391, 891.428610, 1380.185904, 1321.633613, 891.428610
