Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.950379, 11.001070, 10.957986, 10.950379
21, 20.816062, 21.003807, 20.842615, 20.816062
31, 30.603710, 31.007226, 30.654603, 30.603710
41, 40.339922, 40.999284, 40.440227, 40.339922
51, 49.931983, 51.018219, 50.072282, 49.931983
61, 59.518805, 61.009234, 59.698247, 59.518805
71, 68.981336, 71.017244, 69.225828, 68.981336
81, 78.312528, 81.029199, 78.605006, 78.312528
91, 87.638363, 91.063291, 87.976319, 87.638363
101, 97.149425, 100.996051, 97.562758, 97.149425
111, 106.036442, 111.091303, 106.519138, 106.036442
121, 115.205685, 121.038830, 115.742512, 115.205685
131, 124.539334, 131.028795, 125.201984, 124.539334
141, 133.521640, 141.005281, 134.175269, 133.521640
151, 142.477940, 151.003085, 143.332366, 142.477940
161, 151.162141, 160.972258, 152.111062, 151.162141
171, 159.814143, 171.155964, 160.819755, 159.814143
181, 168.962309, 181.080526, 169.782437, 168.962309
191, 177.539378, 191.103453, 178.540540, 177.539378
201, 186.321579, 201.096383, 187.541330, 186.321579
211, 194.371585, 211.282771, 195.423723, 194.371585
221, 202.776490, 221.088699, 203.900931, 202.776490
231, 211.088420, 231.321627, 212.580266, 211.088420
241, 218.976462, 241.363912, 220.438772, 218.976462
251, 228.558728, 251.028936, 230.467691, 228.558728
261, 236.224808, 260.848563, 237.823031, 236.224808
271, 244.774831, 270.754763, 246.217313, 244.774831
281, 251.638757, 281.428635, 253.727188, 251.638757
291, 258.918622, 291.279941, 261.370061, 258.918622
301, 269.466146, 300.842939, 271.255069, 269.466146
311, 276.559275, 311.124030, 278.797043, 276.559275
321, 283.709076, 321.082712, 285.606432, 283.709076
331, 293.650724, 330.687045, 295.898109, 293.650724
341, 301.638458, 340.796736, 303.842576, 301.638458
351, 307.081566, 351.687197, 308.967885, 307.081566
361, 315.961943, 360.509888, 318.359696, 315.961943
371, 321.645619, 371.195672, 324.516744, 321.645619
381, 331.246860, 381.092144, 334.069308, 331.246860
391, 338.150294, 391.387141, 341.605647, 338.150294
401, 344.686172, 400.828246, 346.586695, 344.686172
411, 352.360736, 410.784016, 356.060967, 352.360736
421, 359.095811, 421.058286, 362.899699, 359.095811
431, 371.886866, 430.080021, 374.206830, 371.886866
441, 375.601005, 441.646495, 377.824465, 375.601005
451, 378.771029, 451.653820, 381.326394, 378.771029
461, 382.429935, 462.060266, 386.212497, 382.429935
471, 393.922622, 470.648134, 397.706739, 393.922622
481, 400.866985, 482.056846, 405.679375, 400.866985
491, 405.827994, 491.586965, 409.210846, 405.827994
501, 416.149863, 501.290589, 419.036258, 416.149863
511, 421.814412, 511.273453, 425.750028, 421.814412
521, 427.362159, 521.883437, 431.005969, 427.362159
531, 438.090299, 530.177564, 441.213466, 438.090299
541, 439.476946, 541.889250, 442.846322, 439.476946
551, 450.087929, 550.749133, 454.567287, 450.087929
561, 464.289126, 559.858955, 467.234916, 464.289126
571, 466.689114, 569.265489, 470.232262, 466.689114
581, 474.612744, 579.009408, 479.092131, 474.612744
591, 478.470895, 589.437289, 483.022505, 478.470895
601, 482.921395, 600.227459, 487.898304, 482.921395
611, 484.136612, 611.282949, 489.597796, 484.136612
621, 503.641996, 618.935293, 508.728814, 503.641996
631, 506.615262, 630.639476, 510.740820, 506.615262
641, 511.405254, 638.367810, 514.551822, 511.405254
651, 506.526042, 650.732001, 512.335876, 506.526042
661, 510.121065, 659.529126, 515.452348, 510.121065
671, 520.783776, 668.438506, 527.698214, 520.783776
681, 528.896876, 682.117455, 534.239214, 528.896876
691, 529.391993, 692.070806, 534.372001, 529.391993
701, 537.610620, 702.040844, 542.179158, 537.610620
711, 557.499706, 711.797425, 562.454842, 557.499706
721, 554.446897, 721.724649, 560.235090, 554.446897
731, 555.398128, 732.176956, 561.018685, 555.398128
741, 565.153930, 742.803018, 570.379850, 565.153930
751, 566.684066, 748.281474, 570.242419, 566.684066
761, 576.986318, 759.294982, 586.078035, 576.986318
771, 584.598008, 771.036143, 592.269193, 584.598008
781, 602.358057, 777.025322, 608.734765, 602.358057
791, 611.788395, 789.551761, 617.100550, 611.788395
801, 595.765084, 802.754276, 600.714732, 595.765084
811, 613.995673, 808.991999, 620.770180, 613.995673
821, 593.912576, 822.250565, 602.301939, 593.912576
831, 621.735337, 828.810974, 626.636874, 621.735337
841, 615.698386, 842.839274, 622.327628, 615.698386
851, 639.036690, 849.897040, 642.965146, 639.036690
861, 635.168438, 857.006807, 641.763286, 635.168438
871, 633.378440, 871.127003, 641.588689, 633.378440
881, 650.516818, 878.483572, 656.454513, 650.516818
891, 663.662223, 886.370443, 668.717106, 663.662223
901, 652.568085, 902.500116, 661.640421, 652.568085
911, 632.687136, 911.412453, 638.193145, 632.687136
921, 634.049705, 920.137568, 641.313904, 634.049705
931, 675.351870, 927.969135, 680.789090, 675.351870
941, 697.117118, 936.360026, 704.080762, 697.117118
951, 687.339739, 945.973995, 693.352287, 687.339739
961, 682.710194, 955.438747, 685.470523, 682.710194
971, 682.261203, 974.180426, 689.954227, 682.261203
981, 670.992307, 984.321315, 677.735740, 670.992307
991, 677.384593, 994.191306, 683.935571, 677.384593
1001, 723.894477, 1003.289827, 726.917994, 723.894477
1011, 691.971410, 1012.908061, 703.067251, 691.971410
1021, 705.120867, 1023.038771, 711.597403, 705.120867
1031, 696.039558, 1033.611490, 701.692096, 696.039558
1041, 726.131862, 1033.265705, 730.774650, 726.131862
1051, 730.253414, 1043.525754, 737.982606, 730.253414
1061, 756.363543, 1054.170736, 762.511912, 756.363543
1071, 727.773782, 1065.825494, 737.413433, 727.773782
1081, 727.268615, 1077.665029, 728.877766, 727.268615
1091, 743.363068, 1089.073885, 753.253098, 743.363068
1101, 739.706293, 1100.632153, 748.455709, 739.706293
1111, 752.545263, 1100.656188, 762.046456, 752.545263
1121, 755.521729, 1113.289508, 761.214930, 755.521729
1131, 740.025158, 1125.985576, 748.951487, 740.025158
1141, 752.722416, 1138.561684, 758.027376, 752.722416
1151, 791.170557, 1151.389907, 805.434478, 791.170557
1161, 791.733789, 1151.436510, 799.384161, 791.733789
1171, 778.186901, 1165.729540, 788.022475, 778.186901
1181, 770.935676, 1180.778527, 772.105062, 770.935676
1191, 774.407400, 1195.381387, 777.323711, 774.407400
1201, 797.082733, 1195.226337, 804.390982, 797.082733
1211, 777.098667, 1209.561708, 783.732070, 777.098667
1221, 790.786890, 1224.604774, 799.951351, 790.786890
1231, 795.619508, 1224.945271, 802.708079, 795.619508
1241, 824.358467, 1239.572711, 832.463218, 824.358467
1251, 819.393559, 1254.258544, 823.208543, 819.393559
