N, Var_U, Var_CV, Var_P, Var_R
100000, 0.327228, 0.000027, 0.000015, 0.000054
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.942353, 0.992287, 0.946945, 0.942353
102, 0.892742, 0.983961, 0.897214, 0.892742
153, 0.846115, 0.976417, 0.849779, 0.846115
204, 0.801136, 0.970824, 0.803650, 0.801136
255, 0.758467, 0.964516, 0.760363, 0.758467
306, 0.717460, 0.957535, 0.719865, 0.717460
357, 0.675917, 0.950075, 0.677774, 0.675917
408, 0.637303, 0.942257, 0.637994, 0.637303
459, 0.602984, 0.934089, 0.603293, 0.602984
510, 0.569945, 0.925569, 0.569681, 0.569945
561, 0.534317, 0.916774, 0.533951, 0.534317
612, 0.497614, 0.907842, 0.497318, 0.497614
663, 0.463871, 0.898769, 0.462843, 0.463871
714, 0.431007, 0.889597, 0.429432, 0.431007
765, 0.401538, 0.880365, 0.399279, 0.401538
816, 0.375806, 0.871119, 0.373297, 0.375806
867, 0.352744, 0.861882, 0.350220, 0.352744
918, 0.334477, 0.852684, 0.331332, 0.334477
969, 0.318784, 0.843424, 0.315060, 0.318784
1020, 0.306161, 0.833891, 0.302327, 0.306161
1071, 0.294042, 0.824417, 0.290107, 0.294042
1122, 0.282258, 0.815585, 0.278241, 0.282258
1173, 0.271436, 0.807857, 0.267038, 0.271436
1224, 0.262089, 0.800329, 0.257492, 0.262089
1275, 0.249984, 0.792720, 0.244932, 0.249984
1326, 0.235949, 0.784988, 0.231588, 0.235949
1377, 0.221174, 0.777167, 0.216924, 0.221174
1428, 0.205511, 0.769286, 0.201063, 0.205511
1479, 0.187144, 0.761360, 0.183264, 0.187144
1530, 0.169112, 0.753463, 0.166380, 0.169112
1581, 0.155553, 0.745725, 0.152917, 0.155553
1632, 0.144326, 0.738234, 0.142373, 0.144326
1683, 0.128987, 0.730989, 0.127382, 0.128987
1734, 0.114132, 0.724230, 0.113203, 0.114132
1785, 0.101428, 0.718197, 0.101312, 0.101428
1836, 0.091669, 0.712814, 0.091881, 0.091669
1887, 0.085854, 0.707958, 0.086343, 0.085854
1938, 0.084708, 0.703576, 0.085054, 0.084708
1989, 0.082839, 0.699632, 0.083793, 0.082839
2040, 0.080344, 0.696111, 0.081984, 0.080344
2091, 0.078928, 0.692970, 0.081725, 0.078928
2142, 0.081041, 0.690208, 0.084695, 0.081041
2193, 0.085114, 0.687804, 0.088674, 0.085114
2244, 0.090639, 0.685592, 0.093261, 0.090639
2295, 0.096137, 0.683442, 0.098094, 0.096137
2346, 0.099091, 0.681326, 0.100679, 0.099091
2397, 0.102297, 0.679586, 0.103897, 0.102297
2448, 0.105488, 0.678334, 0.107427, 0.105488
2499, 0.111432, 0.677534, 0.114102, 0.111432
2550, 0.120356, 0.676933, 0.122514, 0.120356
2601, 0.126250, 0.676350, 0.128478, 0.126250
2652, 0.127739, 0.675777, 0.129932, 0.127739
2703, 0.125832, 0.675054, 0.127817, 0.125832
2754, 0.119414, 0.674110, 0.121419, 0.119414
2805, 0.112133, 0.672996, 0.114439, 0.112133
