N, Var_U, Var_CV, Var_P, Var_R
20325, 0.385380, 0.000070, 0.000019, 0.000063
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
11, 0.978090, 0.997867, 0.981372, 0.978090
22, 0.957025, 0.995641, 0.962601, 0.957025
33, 0.936415, 0.993422, 0.944071, 0.936415
44, 0.916455, 0.991094, 0.925553, 0.916455
55, 0.897244, 0.988645, 0.907226, 0.897244
66, 0.878314, 0.986116, 0.889597, 0.878314
77, 0.860501, 0.983624, 0.872744, 0.860501
88, 0.843350, 0.981076, 0.855807, 0.843350
99, 0.826633, 0.978522, 0.838918, 0.826633
110, 0.809954, 0.975971, 0.822002, 0.809954
121, 0.794704, 0.973404, 0.806839, 0.794704
132, 0.781285, 0.970780, 0.793379, 0.781285
143, 0.768920, 0.968088, 0.780617, 0.768920
154, 0.755595, 0.965359, 0.767128, 0.755595
165, 0.741763, 0.962601, 0.753412, 0.741763
176, 0.726621, 0.959816, 0.738734, 0.726621
187, 0.712935, 0.957014, 0.725339, 0.712935
198, 0.699579, 0.954166, 0.712547, 0.699579
209, 0.685753, 0.951261, 0.699219, 0.685753
220, 0.672186, 0.948304, 0.686291, 0.672186
231, 0.658280, 0.945278, 0.672399, 0.658280
242, 0.644830, 0.942185, 0.659142, 0.644830
253, 0.632933, 0.939028, 0.646929, 0.632933
264, 0.621361, 0.935810, 0.634873, 0.621361
275, 0.610428, 0.932539, 0.623157, 0.610428
286, 0.600411, 0.929222, 0.612006, 0.600411
297, 0.590562, 0.925847, 0.601399, 0.590562
308, 0.580643, 0.922417, 0.590491, 0.580643
319, 0.569987, 0.918933, 0.578339, 0.569987
330, 0.559495, 0.915391, 0.566431, 0.559495
341, 0.550343, 0.911791, 0.555743, 0.550343
352, 0.542769, 0.908130, 0.546622, 0.542769
363, 0.535307, 0.904413, 0.536889, 0.535307
374, 0.525840, 0.900644, 0.525769, 0.525840
385, 0.515470, 0.896826, 0.514574, 0.515470
396, 0.505572, 0.892964, 0.504129, 0.505572
407, 0.495293, 0.889070, 0.493210, 0.495293
418, 0.483834, 0.885183, 0.481664, 0.483834
429, 0.471571, 0.881341, 0.470091, 0.471571
440, 0.460765, 0.877564, 0.459690, 0.460765
451, 0.450061, 0.873885, 0.449435, 0.450061
462, 0.438385, 0.870293, 0.438563, 0.438385
473, 0.427030, 0.866789, 0.428101, 0.427030
484, 0.414927, 0.863373, 0.417243, 0.414927
495, 0.402989, 0.860023, 0.406238, 0.402989
506, 0.391532, 0.856668, 0.395408, 0.391532
517, 0.379569, 0.853273, 0.384035, 0.379569
528, 0.368339, 0.849838, 0.372411, 0.368339
539, 0.358243, 0.846366, 0.361943, 0.358243
550, 0.348815, 0.842869, 0.352171, 0.348815
561, 0.340811, 0.839364, 0.344393, 0.340811
572, 0.332691, 0.835870, 0.336865, 0.332691
583, 0.324606, 0.832364, 0.328885, 0.324606
594, 0.316822, 0.828842, 0.321212, 0.316822
605, 0.309759, 0.825309, 0.314079, 0.309759
616, 0.302907, 0.821759, 0.307073, 0.302907
627, 0.296553, 0.818196, 0.300254, 0.296553
638, 0.291311, 0.814614, 0.294713, 0.291311
649, 0.285733, 0.811017, 0.288523, 0.285733
660, 0.279532, 0.807400, 0.282001, 0.279532
671, 0.272559, 0.803762, 0.274868, 0.272559
682, 0.263905, 0.800107, 0.266091, 0.263905
693, 0.256826, 0.796432, 0.258560, 0.256826
704, 0.249749, 0.792734, 0.251483, 0.249749
715, 0.241881, 0.789017, 0.243801, 0.241881
726, 0.233974, 0.785265, 0.235963, 0.233974
737, 0.227284, 0.781473, 0.228732, 0.227284
748, 0.220761, 0.777648, 0.221830, 0.220761
759, 0.214745, 0.773795, 0.215544, 0.214745
770, 0.207947, 0.769921, 0.208791, 0.207947
781, 0.201383, 0.766021, 0.202104, 0.201383
792, 0.194572, 0.762082, 0.195631, 0.194572
803, 0.188015, 0.758103, 0.189712, 0.188015
814, 0.181773, 0.754088, 0.183675, 0.181773
825, 0.174225, 0.750042, 0.176236, 0.174225
836, 0.166958, 0.745967, 0.169404, 0.166958
847, 0.159857, 0.741865, 0.162652, 0.159857
858, 0.152846, 0.737738, 0.155981, 0.152846
869, 0.145332, 0.733590, 0.149175, 0.145332
880, 0.137687, 0.729421, 0.142278, 0.137687
891, 0.130773, 0.725233, 0.135989, 0.130773
902, 0.125433, 0.721032, 0.131417, 0.125433
913, 0.121599, 0.716831, 0.128640, 0.121599
924, 0.117562, 0.712629, 0.125827, 0.117562
935, 0.114530, 0.708415, 0.123461, 0.114530
946, 0.112592, 0.704180, 0.121184, 0.112592
957, 0.111360, 0.699926, 0.118960, 0.111360
968, 0.109681, 0.695652, 0.116721, 0.109681
979, 0.106774, 0.691357, 0.114348, 0.106774
990, 0.102908, 0.687044, 0.111164, 0.102908
1001, 0.100063, 0.682722, 0.108219, 0.100063
1012, 0.097796, 0.678390, 0.105682, 0.097796
1023, 0.095708, 0.674049, 0.102809, 0.095708
1034, 0.092606, 0.669698, 0.099398, 0.092606
1045, 0.089326, 0.665334, 0.096017, 0.089326
1056, 0.086348, 0.660952, 0.092487, 0.086348
1067, 0.082374, 0.656551, 0.088308, 0.082374
1078, 0.076824, 0.652131, 0.083366, 0.076824
1089, 0.069747, 0.647696, 0.077148, 0.069747
1100, 0.062655, 0.643240, 0.070722, 0.062655
1111, 0.055898, 0.638761, 0.064805, 0.055898
1122, 0.049133, 0.634286, 0.059002, 0.049133
1133, 0.043014, 0.629825, 0.054142, 0.043014
1144, 0.037810, 0.625376, 0.050148, 0.037810
1155, 0.033937, 0.620936, 0.046094, 0.033937
1166, 0.029733, 0.616508, 0.042050, 0.029733
1177, 0.026251, 0.612142, 0.038143, 0.026251
1188, 0.023352, 0.607866, 0.034019, 0.023352
1199, 0.020904, 0.603686, 0.029930, 0.020904
1210, 0.017758, 0.599666, 0.025774, 0.017758
1221, 0.014777, 0.595841, 0.022062, 0.014777
1232, 0.011512, 0.592180, 0.017901, 0.011512
1243, 0.007222, 0.588600, 0.013662, 0.007222
1254, 0.003083, 0.585077, 0.009406, 0.003083
1265, -0.000337, 0.581615, 0.005753, -0.000337
1276, -0.002384, 0.578220, 0.004043, -0.002384
1287, -0.004662, 0.574896, 0.002331, -0.004662
1298, -0.005521, 0.571615, 0.001495, -0.005521
1309, -0.005620, 0.568355, 0.001886, -0.005620
1320, -0.004274, 0.565121, 0.003327, -0.004274
1331, -0.001451, 0.561913, 0.006091, -0.001451
1342, 0.000854, 0.558724, 0.008394, 0.000854
1353, 0.001590, 0.555554, 0.009966, 0.001590
1364, 0.000991, 0.552400, 0.010183, 0.000991
1375, 0.000310, 0.549263, 0.010071, 0.000310
1386, 0.000041, 0.546138, 0.010289, 0.000041
1397, -0.000198, 0.543022, 0.011016, -0.000198
1408, 0.000374, 0.539916, 0.012643, 0.000374
1419, 0.002511, 0.536849, 0.015788, 0.002511
1430, 0.004203, 0.533828, 0.018574, 0.004203
1441, 0.005304, 0.530867, 0.020485, 0.005304
1452, 0.004101, 0.527982, 0.019643, 0.004101
1463, 0.003311, 0.525170, 0.018765, 0.003311
1474, 0.001968, 0.522432, 0.017375, 0.001968
1485, 0.002355, 0.519760, 0.017440, 0.002355
1496, 0.003583, 0.517143, 0.018541, 0.003583
1507, 0.005512, 0.514578, 0.020259, 0.005512
1518, 0.006874, 0.512067, 0.021078, 0.006874
1529, 0.006978, 0.509605, 0.020164, 0.006978
1540, 0.006051, 0.507193, 0.018496, 0.006051
1551, 0.005447, 0.504848, 0.017934, 0.005447
1562, 0.005470, 0.502572, 0.017828, 0.005470
1573, 0.004891, 0.500356, 0.017424, 0.004891
1584, 0.003488, 0.498196, 0.016677, 0.003488
1595, 0.001786, 0.496100, 0.015449, 0.001786
1606, 0.000999, 0.494064, 0.014175, 0.000999
1617, 0.000439, 0.492052, 0.013607, 0.000439
1628, -0.001196, 0.490056, 0.012230, -0.001196
1639, -0.003785, 0.488072, 0.009798, -0.003785
1650, -0.006271, 0.486082, 0.007011, -0.006271
1661, -0.009914, 0.484082, 0.002954, -0.009914
1672, -0.014312, 0.482062, -0.002474, -0.014312
1683, -0.020470, 0.480021, -0.009369, -0.020470
1694, -0.026811, 0.477962, -0.015993, -0.026811
1705, -0.031808, 0.475892, -0.021693, -0.031808
1716, -0.036377, 0.473809, -0.027067, -0.036377
1727, -0.041594, 0.471719, -0.033016, -0.041594
1738, -0.048123, 0.469637, -0.040087, -0.048123
1749, -0.055166, 0.467569, -0.047570, -0.055166
1760, -0.062018, 0.465512, -0.055177, -0.062018
1771, -0.068295, 0.463466, -0.061569, -0.068295
1782, -0.074604, 0.461430, -0.067528, -0.074604
1793, -0.079396, 0.459402, -0.072605, -0.079396
1804, -0.082129, 0.457380, -0.076020, -0.082129
1815, -0.084132, 0.455364, -0.077968, -0.084132
1826, -0.086348, 0.453355, -0.080707, -0.086348
1837, -0.089173, 0.451358, -0.083623, -0.089173
1848, -0.092051, 0.449372, -0.086090, -0.092051
1859, -0.093970, 0.447395, -0.087456, -0.093970
1870, -0.095831, 0.445408, -0.089104, -0.095831
1881, -0.097712, 0.443404, -0.090290, -0.097712
1892, -0.099591, 0.441377, -0.090793, -0.099591
1903, -0.101018, 0.439323, -0.090921, -0.101018
1914, -0.102515, 0.437243, -0.091926, -0.102515
1925, -0.102321, 0.435137, -0.092666, -0.102321
1936, -0.101392, 0.433006, -0.093297, -0.101392
1947, -0.100192, 0.430853, -0.093443, -0.100192
1958, -0.099796, 0.428677, -0.094064, -0.099796
1969, -0.098612, 0.426481, -0.093941, -0.098612
1980, -0.096925, 0.424264, -0.093361, -0.096925
1991, -0.095187, 0.422028, -0.092721, -0.095187
2002, -0.093340, 0.419772, -0.091940, -0.093340
2013, -0.090832, 0.417499, -0.089893, -0.090832
2024, -0.087989, 0.415209, -0.087762, -0.087989
2035, -0.085218, 0.412904, -0.085711, -0.085218
2046, -0.083451, 0.410583, -0.084662, -0.083451
2057, -0.083046, 0.408246, -0.084530, -0.083046
2068, -0.083471, 0.405895, -0.084757, -0.083471
2079, -0.084429, 0.403529, -0.085354, -0.084429
2090, -0.085575, 0.401149, -0.086295, -0.085575
2101, -0.086939, 0.398755, -0.087104, -0.086939
2112, -0.087725, 0.396352, -0.087079, -0.087725
2123, -0.088893, 0.393948, -0.088315, -0.088893
2134, -0.090192, 0.391546, -0.089316, -0.090192
2145, -0.091552, 0.389153, -0.089776, -0.091552
2156, -0.092578, 0.386764, -0.090143, -0.092578
2167, -0.092951, 0.384380, -0.090249, -0.092951
2178, -0.094895, 0.381995, -0.092068, -0.094895
2189, -0.097128, 0.379603, -0.094219, -0.097128
2200, -0.099602, 0.377206, -0.096386, -0.099602
2211, -0.101086, 0.374811, -0.097512, -0.101086
2222, -0.102493, 0.372419, -0.098310, -0.102493
2233, -0.102644, 0.370021, -0.097996, -0.102644
2244, -0.101784, 0.367617, -0.097052, -0.101784
2255, -0.100951, 0.365213, -0.095932, -0.100951
2266, -0.100702, 0.362824, -0.094856, -0.100702
2277, -0.100467, 0.360449, -0.093815, -0.100467
2288, -0.099956, 0.358092, -0.092654, -0.099956
2299, -0.098096, 0.355750, -0.090695, -0.098096
2310, -0.096142, 0.353422, -0.088768, -0.096142
2321, -0.095578, 0.351112, -0.087816, -0.095578
2332, -0.094925, 0.348816, -0.087232, -0.094925
2343, -0.093732, 0.346537, -0.086636, -0.093732
2354, -0.092158, 0.344291, -0.085604, -0.092158
2365, -0.089721, 0.342104, -0.083825, -0.089721
2376, -0.086171, 0.339977, -0.081459, -0.086171
2387, -0.082362, 0.337885, -0.079055, -0.082362
2398, -0.077682, 0.335796, -0.075976, -0.077682
2409, -0.073522, 0.333707, -0.073000, -0.073522
2420, -0.069919, 0.331623, -0.070197, -0.069919
2431, -0.067359, 0.329543, -0.067561, -0.067359
2442, -0.065033, 0.327466, -0.065287, -0.065033
2453, -0.064302, 0.325392, -0.063832, -0.064302
2464, -0.063275, 0.323322, -0.062314, -0.063275
2475, -0.062731, 0.321256, -0.060961, -0.062731
2486, -0.061701, 0.319195, -0.058946, -0.061701
2497, -0.059077, 0.317138, -0.056051, -0.059077
2508, -0.055831, 0.315088, -0.052779, -0.055831
2519, -0.051945, 0.313043, -0.049286, -0.051945
2530, -0.049131, 0.311004, -0.046754, -0.049131
2541, -0.046896, 0.308965, -0.044964, -0.046896
2552, -0.044483, 0.306925, -0.042882, -0.044483
2563, -0.040875, 0.304884, -0.039294, -0.040875
2574, -0.036823, 0.302845, -0.035480, -0.036823
2585, -0.033804, 0.300810, -0.032234, -0.033804
2596, -0.029974, 0.298780, -0.028341, -0.029974
2607, -0.025739, 0.296752, -0.024307, -0.025739
2618, -0.021010, 0.294723, -0.020378, -0.021010
2629, -0.014751, 0.292693, -0.014809, -0.014751
2640, -0.009177, 0.290662, -0.009231, -0.009177
2651, -0.004675, 0.288629, -0.004375, -0.004675
2662, -0.001918, 0.286597, -0.001146, -0.001918
2673, 0.000728, 0.284569, 0.001470, 0.000728
2684, 0.003112, 0.282546, 0.003353, 0.003112
2695, 0.004761, 0.280531, 0.005057, 0.004761
2706, 0.005216, 0.278524, 0.006676, 0.005216
2717, 0.005036, 0.276525, 0.007360, 0.005036
2728, 0.005154, 0.274533, 0.007864, 0.005154
2739, 0.004515, 0.272548, 0.007840, 0.004515
2750, 0.004905, 0.270564, 0.008245, 0.004905
2761, 0.005730, 0.268579, 0.008870, 0.005730
2772, 0.006423, 0.266592, 0.008873, 0.006423
2783, 0.007044, 0.264604, 0.009402, 0.007044
2794, 0.007857, 0.262612, 0.010494, 0.007857
2805, 0.007023, 0.260616, 0.010070, 0.007023
2816, 0.004385, 0.258616, 0.008617, 0.004385
2827, 0.002300, 0.256612, 0.006831, 0.002300
2838, 0.002150, 0.254602, 0.005558, 0.002150
2849, 0.000377, 0.252587, 0.003400, 0.000377
2860, -0.000714, 0.250567, 0.002016, -0.000714
2871, -0.002397, 0.248543, 0.000319, -0.002397
2882, -0.002980, 0.246517, -0.001253, -0.002980
2893, -0.003403, 0.244484, -0.003236, -0.003403
2904, -0.004531, 0.242443, -0.005591, -0.004531
2915, -0.004577, 0.240393, -0.006890, -0.004577
2926, -0.004564, 0.238337, -0.007285, -0.004564
2937, -0.004283, 0.236275, -0.007614, -0.004283
2948, -0.003049, 0.234207, -0.007352, -0.003049
2959, -0.001520, 0.232129, -0.006768, -0.001520
2970, -0.000565, 0.230042, -0.006431, -0.000565
