Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.945983, 11.000772, 10.954825, 10.945983
21, 20.798682, 21.002767, 20.827853, 20.798682
31, 30.579449, 31.004425, 30.632752, 30.579449
41, 40.276456, 40.996865, 40.358409, 40.276456
51, 49.878386, 51.010034, 50.000876, 49.878386
61, 59.376365, 61.001185, 59.535899, 59.376365
71, 68.820967, 71.005712, 69.014521, 68.820967
81, 78.208899, 81.011514, 78.447833, 78.208899
91, 87.651813, 91.036837, 87.936060, 87.651813
101, 96.891972, 100.975689, 97.176763, 96.891972
111, 106.130419, 111.050813, 106.510222, 106.130419
121, 115.015325, 121.003646, 115.414788, 115.015325
131, 124.001868, 130.991214, 124.451109, 124.001868
141, 133.050858, 140.962246, 133.500494, 133.050858
151, 141.723809, 150.975838, 142.295301, 141.723809
161, 150.139271, 160.925240, 150.719282, 150.139271
171, 159.183124, 171.065903, 159.713759, 159.183124
181, 167.903843, 181.001380, 168.520072, 167.903843
191, 176.015175, 191.018054, 176.725417, 176.015175
201, 185.054870, 200.964395, 185.794414, 185.054870
211, 194.453633, 211.086621, 195.166593, 194.453633
221, 202.498284, 220.936922, 203.257587, 202.498284
231, 209.583381, 231.114576, 210.490435, 209.583381
241, 218.201451, 241.170847, 218.806486, 218.201451
251, 225.899847, 250.942980, 226.694507, 225.899847
261, 234.150928, 260.767547, 235.040983, 234.150928
271, 243.938424, 270.591237, 244.773161, 243.938424
281, 251.935973, 281.041274, 252.640481, 251.935973
291, 258.291480, 290.918304, 259.324276, 258.291480
301, 264.139638, 300.604118, 265.304824, 264.139638
311, 272.945612, 310.835288, 274.052335, 272.945612
321, 281.095956, 320.874748, 282.317980, 281.095956
331, 287.401630, 330.523539, 288.666788, 287.401630
341, 297.482941, 340.670959, 298.508604, 297.482941
351, 303.631058, 351.254887, 304.965577, 303.631058
361, 311.990197, 360.360449, 312.958623, 311.990197
371, 317.286880, 370.984120, 318.725038, 317.286880
381, 325.987504, 380.775245, 327.024148, 325.987504
391, 332.299002, 391.151932, 333.417499, 332.299002
401, 338.786538, 400.513596, 340.342653, 338.786538
411, 349.567564, 410.338604, 351.446184, 349.567564
421, 349.904305, 420.558555, 351.829628, 349.904305
431, 363.567843, 429.636060, 365.483742, 363.567843
441, 367.766427, 440.581524, 369.712589, 367.766427
451, 374.228691, 450.521702, 375.970568, 374.228691
461, 383.296073, 460.743425, 384.382596, 383.296073
471, 384.694316, 469.607908, 386.284971, 384.694316
481, 397.189166, 480.528082, 399.230268, 397.189166
491, 398.811607, 490.042781, 400.019661, 398.811607
501, 409.993869, 500.121832, 411.994892, 409.993869
511, 415.105426, 510.110024, 417.039221, 415.105426
521, 419.799746, 520.495413, 421.920713, 419.799746
531, 425.010231, 529.211865, 426.412156, 425.010231
541, 437.234869, 540.405888, 439.175273, 437.234869
551, 439.693218, 549.609635, 441.266951, 439.693218
561, 440.978092, 558.973371, 443.045564, 440.978092
571, 447.072610, 568.485953, 449.064553, 447.072610
581, 467.584624, 578.483621, 469.392613, 467.584624
591, 463.980655, 588.569548, 465.625117, 463.980655
601, 468.303115, 599.287424, 470.464258, 468.303115
611, 471.285138, 610.077956, 473.089085, 471.285138
621, 480.696079, 618.017585, 482.934329, 480.696079
631, 488.819130, 629.566336, 491.646698, 488.819130
641, 492.501621, 637.845616, 493.967509, 492.501621
651, 504.231859, 649.741688, 506.458330, 504.231859
661, 502.676749, 658.853565, 505.206297, 502.676749
671, 502.328311, 667.585533, 504.128982, 502.328311
681, 523.837507, 680.481874, 526.023697, 523.837507
691, 516.354389, 690.446992, 517.983813, 516.354389
701, 532.994675, 700.365881, 535.220372, 532.994675
