Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.934046, 11.000855, 10.993865, 10.934046
21, 20.759418, 21.002924, 20.977351, 20.759418
31, 30.478349, 31.005249, 30.949331, 30.478349
41, 40.090296, 40.997600, 40.900981, 40.090296
51, 49.585452, 51.011679, 50.860603, 49.585452
61, 59.019886, 61.001664, 60.795315, 59.019886
71, 68.369938, 71.004889, 70.718529, 68.369938
81, 77.438932, 81.010438, 80.635852, 77.438932
91, 86.582313, 91.034041, 90.541424, 86.582313
101, 95.675516, 100.970794, 100.404274, 95.675516
111, 104.305613, 111.039322, 110.359150, 104.305613
121, 113.470724, 120.989840, 120.171563, 113.470724
131, 122.422928, 130.970428, 130.041651, 122.422928
141, 130.711950, 140.927931, 139.858062, 130.711950
151, 139.151247, 150.931387, 149.693172, 139.151247
161, 148.073956, 160.864791, 159.513700, 148.073956
171, 155.914774, 171.002542, 169.457109, 155.914774
181, 164.677049, 180.900587, 179.179011, 164.677049
191, 172.162981, 190.901779, 189.024814, 172.162981
201, 180.657428, 200.879454, 198.799882, 180.657428
211, 187.999535, 211.043760, 208.825833, 187.999535
221, 196.604703, 220.808518, 218.431675, 196.604703
231, 204.531990, 230.950762, 228.347514, 204.531990
241, 212.545623, 241.015458, 238.128371, 212.545623
251, 219.426347, 250.622399, 247.640745, 219.426347
261, 227.556931, 260.545534, 257.035763, 227.556931
271, 235.185001, 270.297023, 266.513240, 235.185001
281, 242.006671, 280.830184, 277.186279, 242.006671
291, 250.722541, 290.714299, 286.456649, 250.722541
301, 258.562663, 300.160264, 296.013271, 258.562663
311, 264.596963, 310.546507, 305.673583, 264.596963
321, 270.279498, 320.428310, 315.352967, 270.279498
331, 279.568418, 329.816981, 324.937944, 279.568418
341, 286.371596, 339.934997, 334.272701, 286.371596
351, 291.999925, 350.714744, 344.364446, 291.999925
361, 301.470651, 359.510740, 353.341323, 301.470651
371, 305.854037, 369.720249, 363.438690, 305.854037
381, 312.902304, 379.796665, 373.156126, 312.902304
391, 320.354373, 390.322805, 383.297599, 320.354373
401, 324.970632, 399.538836, 392.054879, 324.970632
411, 327.908787, 409.053252, 401.882769, 327.908787
421, 340.300265, 419.255804, 411.652060, 340.300265
431, 344.956206, 428.654004, 420.222555, 344.956206
441, 345.889234, 439.885243, 430.312851, 345.889234
451, 357.162286, 449.702689, 440.514933, 357.162286
461, 354.487001, 459.788262, 450.787776, 354.487001
471, 367.792550, 468.006199, 458.280132, 367.792550
481, 371.748684, 479.120617, 468.669351, 371.748684
491, 380.030947, 488.672336, 477.986390, 380.030947
501, 386.319703, 498.454990, 487.064829, 386.319703
511, 391.989240, 509.322333, 497.451627, 391.989240
521, 396.183054, 519.733267, 506.279806, 396.183054
531, 401.451087, 527.828969, 515.331941, 401.451087
541, 411.412620, 538.343336, 526.073367, 411.412620
551, 414.796880, 546.807227, 534.546906, 414.796880
561, 423.526893, 555.462028, 543.443178, 423.526893
571, 434.086309, 565.099953, 552.838057, 434.086309
581, 421.751041, 575.957973, 561.830738, 421.751041
591, 428.695869, 586.259121, 570.562130, 428.695869
601, 445.338422, 596.584644, 581.198104, 445.338422
611, 442.723561, 607.888918, 591.055001, 442.723561
621, 450.387866, 616.253304, 598.684281, 450.387866
631, 454.533845, 627.350665, 609.163882, 454.533845
641, 459.402159, 634.365283, 616.937537, 459.402159
651, 467.249641, 644.685607, 628.937675, 467.249641
661, 473.591781, 652.761261, 637.053811, 473.591781
671, 468.044322, 661.682012, 644.307968, 468.044322
681, 483.521576, 673.863575, 655.264979, 483.521576
691, 483.860465, 682.385515, 666.995504, 483.860465
701, 481.735918, 691.947067, 674.304675, 481.735918
711, 505.900967, 702.803079, 682.411554, 505.900967
721, 496.880907, 714.331997, 693.460631, 496.880907
731, 506.844746, 725.711036, 702.841878, 506.844746
741, 497.624527, 736.627442, 711.777393, 497.624527
751, 497.844239, 742.992625, 717.187456, 497.844239
