N, Var_U, Var_CV, Var_P, Var_R
100000, 5.122684, 0.000601, 0.000513, 0.000842
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.961652, 0.991288, 0.969617, 0.961652
102, 0.927672, 0.981691, 0.939839, 0.927672
153, 0.893260, 0.971424, 0.907913, 0.893260
204, 0.861813, 0.960704, 0.877773, 0.861813
255, 0.835892, 0.949793, 0.850755, 0.835892
306, 0.811574, 0.938484, 0.825232, 0.811574
357, 0.786679, 0.926546, 0.799319, 0.786679
408, 0.762146, 0.914009, 0.773495, 0.762146
459, 0.737222, 0.901021, 0.748370, 0.737222
510, 0.711683, 0.887752, 0.723121, 0.711683
561, 0.687569, 0.874188, 0.699632, 0.687569
612, 0.665504, 0.860977, 0.677683, 0.665504
663, 0.642640, 0.848342, 0.655776, 0.642640
714, 0.622354, 0.836329, 0.634859, 0.622354
765, 0.604003, 0.824209, 0.615833, 0.604003
816, 0.586279, 0.811769, 0.597244, 0.586279
867, 0.570159, 0.799032, 0.578216, 0.570159
918, 0.554342, 0.786015, 0.560632, 0.554342
969, 0.537179, 0.772825, 0.542236, 0.537179
1020, 0.520837, 0.759631, 0.524141, 0.520837
1071, 0.505436, 0.746499, 0.507118, 0.505436
1122, 0.489350, 0.733312, 0.490314, 0.489350
1173, 0.474421, 0.720057, 0.472887, 0.474421
1224, 0.459555, 0.706822, 0.455586, 0.459555
1275, 0.445314, 0.693444, 0.438370, 0.445314
1326, 0.428371, 0.680186, 0.419373, 0.428371
1377, 0.411222, 0.667562, 0.400013, 0.411222
1428, 0.393180, 0.655269, 0.380240, 0.393180
1479, 0.375488, 0.643056, 0.361582, 0.375488
1530, 0.359010, 0.630991, 0.343703, 0.359010
1581, 0.342239, 0.619020, 0.325892, 0.342239
1632, 0.323541, 0.607016, 0.307919, 0.323541
1683, 0.303300, 0.594998, 0.289310, 0.303300
1734, 0.284158, 0.583239, 0.270610, 0.284158
1785, 0.265322, 0.571700, 0.252785, 0.265322
1836, 0.245672, 0.560173, 0.235097, 0.245672
1887, 0.226243, 0.548599, 0.218770, 0.226243
1938, 0.211574, 0.536989, 0.206579, 0.211574
1989, 0.198666, 0.525461, 0.195747, 0.198666
2040, 0.185516, 0.514081, 0.185479, 0.185516
2091, 0.174565, 0.502837, 0.176553, 0.174565
2142, 0.165208, 0.491614, 0.168803, 0.165208
2193, 0.155306, 0.480394, 0.161090, 0.155306
2244, 0.145547, 0.469295, 0.151901, 0.145547
2295, 0.134122, 0.458298, 0.141408, 0.134122
2346, 0.124055, 0.447387, 0.132113, 0.124055
2397, 0.113093, 0.436902, 0.121698, 0.113093
2448, 0.100854, 0.426624, 0.109675, 0.100854
2499, 0.090356, 0.416502, 0.099141, 0.090356
2550, 0.079424, 0.406611, 0.088381, 0.079424
2601, 0.065658, 0.396964, 0.075992, 0.065658
2652, 0.052757, 0.387394, 0.063471, 0.052757
2703, 0.039782, 0.378086, 0.051291, 0.039782
2754, 0.027489, 0.369365, 0.040919, 0.027489
2805, 0.014997, 0.361256, 0.031963, 0.014997
2856, 0.005847, 0.354282, 0.025466, 0.005847
2907, -0.002112, 0.348710, 0.019511, -0.002112
2958, -0.009477, 0.344405, 0.014125, -0.009477
3009, -0.016394, 0.341398, 0.008665, -0.016394
3060, -0.022706, 0.339503, 0.003716, -0.022706
3111, -0.028833, 0.338745, -0.000580, -0.028833
3162, -0.035355, 0.339233, -0.003168, -0.035355
3213, -0.041963, 0.340460, -0.005788, -0.041963
3264, -0.049023, 0.342074, -0.009589, -0.049023
3315, -0.055282, 0.344078, -0.015090, -0.055282
3366, -0.061499, 0.346310, -0.022531, -0.061499
3417, -0.065221, 0.348723, -0.027740, -0.065221
3468, -0.068837, 0.351405, -0.032626, -0.068837
3519, -0.070502, 0.354386, -0.035390, -0.070502
3570, -0.071537, 0.357663, -0.037971, -0.071537
3621, -0.072500, 0.361241, -0.040120, -0.072500
3672, -0.075493, 0.364904, -0.043421, -0.075493
3723, -0.078721, 0.368424, -0.046339, -0.078721
3774, -0.082229, 0.371799, -0.049967, -0.082229
3825, -0.086576, 0.375040, -0.053993, -0.086576
3876, -0.092343, 0.378134, -0.059962, -0.092343
3927, -0.099670, 0.381044, -0.067815, -0.099670
3978, -0.107313, 0.383753, -0.076380, -0.107313
4029, -0.114507, 0.386243, -0.085190, -0.114507
4080, -0.119990, 0.388486, -0.092680, -0.119990
4131, -0.126655, 0.390449, -0.099535, -0.126655
4182, -0.133090, 0.392178, -0.104672, -0.133090
4233, -0.139467, 0.393702, -0.109440, -0.139467
4284, -0.144298, 0.395061, -0.112771, -0.144298
4335, -0.152192, 0.396268, -0.118714, -0.152192
4386, -0.160092, 0.397343, -0.124881, -0.160092
4437, -0.166924, 0.398238, -0.130646, -0.166924
4488, -0.173851, 0.398966, -0.136219, -0.173851
4539, -0.177517, 0.399501, -0.141030, -0.177517
4590, -0.182529, 0.399834, -0.147484, -0.182529
4641, -0.188340, 0.399975, -0.154154, -0.188340
4692, -0.193848, 0.399916, -0.161337, -0.193848
4743, -0.198422, 0.399635, -0.167999, -0.198422
4794, -0.202077, 0.399139, -0.174129, -0.202077
4845, -0.205871, 0.398469, -0.180148, -0.205871
4896, -0.209034, 0.397602, -0.184574, -0.209034
4947, -0.212206, 0.396558, -0.187786, -0.212206
4998, -0.214292, 0.395372, -0.190871, -0.214292
5049, -0.214609, 0.394044, -0.194196, -0.214609
5100, -0.216811, 0.392562, -0.198798, -0.216811
5151, -0.220551, 0.390933, -0.204539, -0.220551
5202, -0.224202, 0.389155, -0.210572, -0.224202
5253, -0.230197, 0.387234, -0.217517, -0.230197
5304, -0.236502, 0.385223, -0.223122, -0.236502
5355, -0.241947, 0.383206, -0.228941, -0.241947
5406, -0.246735, 0.381222, -0.234564, -0.246735
5457, -0.252817, 0.379243, -0.240761, -0.252817
5508, -0.260982, 0.377205, -0.248456, -0.260982
5559, -0.269420, 0.375055, -0.255824, -0.269420
5610, -0.275019, 0.372796, -0.261152, -0.275019
5661, -0.279165, 0.370442, -0.265959, -0.279165
5712, -0.282062, 0.367988, -0.270878, -0.282062
5763, -0.284780, 0.365420, -0.275058, -0.284780
5814, -0.285696, 0.362735, -0.278014, -0.285696
5865, -0.287890, 0.359936, -0.282627, -0.287890
5916, -0.290033, 0.357072, -0.286750, -0.290033
5967, -0.292594, 0.354147, -0.290638, -0.292594
6018, -0.292584, 0.351136, -0.292646, -0.292584
6069, -0.290735, 0.348041, -0.293410, -0.290735
6120, -0.286712, 0.344876, -0.292964, -0.286712
6171, -0.284813, 0.341649, -0.293208, -0.284813
6222, -0.285625, 0.338351, -0.294390, -0.285625
6273, -0.286869, 0.334971, -0.296565, -0.286869
6324, -0.287887, 0.331489, -0.298829, -0.287887
6375, -0.289035, 0.327926, -0.300775, -0.289035
6426, -0.288242, 0.324355, -0.300177, -0.288242
6477, -0.288883, 0.320889, -0.299245, -0.288883
6528, -0.290209, 0.317400, -0.297999, -0.290209
6579, -0.292138, 0.313869, -0.297067, -0.292138
6630, -0.292509, 0.310255, -0.296722, -0.292509
6681, -0.290897, 0.306534, -0.295320, -0.290897
6732, -0.289388, 0.302715, -0.294456, -0.289388
6783, -0.287675, 0.298785, -0.293125, -0.287675
6834, -0.287401, 0.294751, -0.292114, -0.287401
6885, -0.287750, 0.290601, -0.291853, -0.287750
6936, -0.286217, 0.286381, -0.290796, -0.286217
6987, -0.282838, 0.282152, -0.289663, -0.282838
7038, -0.278899, 0.277964, -0.288493, -0.278899
7089, -0.274669, 0.273934, -0.286542, -0.274669
7140, -0.270105, 0.270199, -0.283505, -0.270105
7191, -0.265333, 0.266746, -0.281125, -0.265333
7242, -0.262455, 0.263478, -0.279277, -0.262455
7293, -0.258358, 0.260283, -0.276626, -0.258358
7344, -0.255799, 0.257184, -0.275265, -0.255799
7395, -0.251627, 0.254207, -0.270775, -0.251627
7446, -0.246240, 0.251329, -0.264962, -0.246240
7497, -0.240945, 0.248461, -0.257789, -0.240945
7548, -0.235101, 0.245608, -0.250329, -0.235101
7599, -0.227388, 0.242827, -0.241616, -0.227388
7650, -0.219690, 0.240161, -0.233078, -0.219690
7701, -0.211069, 0.237580, -0.223720, -0.211069
7752, -0.201509, 0.235082, -0.213959, -0.201509
7803, -0.192835, 0.232584, -0.204743, -0.192835
7854, -0.184172, 0.230059, -0.196356, -0.184172
7905, -0.175392, 0.227520, -0.187426, -0.175392
7956, -0.167885, 0.224941, -0.179401, -0.167885
8007, -0.162235, 0.222380, -0.172041, -0.162235
8058, -0.155512, 0.219769, -0.164396, -0.155512
8109, -0.150173, 0.217102, -0.158328, -0.150173
8160, -0.146912, 0.214357, -0.154327, -0.146912
8211, -0.142489, 0.211522, -0.149380, -0.142489
8262, -0.138135, 0.208618, -0.144653, -0.138135
8313, -0.134345, 0.205673, -0.140490, -0.134345
8364, -0.130449, 0.202758, -0.136806, -0.130449
8415, -0.128246, 0.199912, -0.133794, -0.128246
8466, -0.127320, 0.197240, -0.131708, -0.127320
8517, -0.125329, 0.194702, -0.128785, -0.125329
8568, -0.122060, 0.192222, -0.125716, -0.122060
8619, -0.116315, 0.189811, -0.120745, -0.116315
8670, -0.110220, 0.187439, -0.113867, -0.110220
8721, -0.104168, 0.185072, -0.106226, -0.104168
8772, -0.098350, 0.182683, -0.099168, -0.098350
8823, -0.091468, 0.180311, -0.092936, -0.091468
8874, -0.083725, 0.177900, -0.085844, -0.083725
8925, -0.076807, 0.175463, -0.079281, -0.076807
8976, -0.073192, 0.172981, -0.075079, -0.073192
9027, -0.070627, 0.170445, -0.071713, -0.070627
9078, -0.068172, 0.167857, -0.067638, -0.068172
9129, -0.065462, 0.165231, -0.064414, -0.065462
9180, -0.063022, 0.162569, -0.061393, -0.063022
9231, -0.061027, 0.159862, -0.059457, -0.061027
9282, -0.060838, 0.157123, -0.059104, -0.060838
9333, -0.061465, 0.154399, -0.059784, -0.061465
9384, -0.062743, 0.151787, -0.061668, -0.062743
9435, -0.065891, 0.149370, -0.064601, -0.065891
9486, -0.069008, 0.147151, -0.069141, -0.069008
9537, -0.072066, 0.145056, -0.072778, -0.072066
9588, -0.073238, 0.143062, -0.074514, -0.073238
9639, -0.074613, 0.141226, -0.076295, -0.074613
9690, -0.073584, 0.139541, -0.075598, -0.073584
9741, -0.071752, 0.137965, -0.073446, -0.071752
9792, -0.069279, 0.136501, -0.071419, -0.069279
9843, -0.064783, 0.135052, -0.068139, -0.064783
9894, -0.060819, 0.133635, -0.064744, -0.060819
9945, -0.056849, 0.132289, -0.061749, -0.056849
9996, -0.052072, 0.130990, -0.058456, -0.052072
10047, -0.045115, 0.129730, -0.052780, -0.045115
10098, -0.039407, 0.128483, -0.046544, -0.039407
10149, -0.033256, 0.127254, -0.039722, -0.033256
10200, -0.025632, 0.126041, -0.032016, -0.025632
10251, -0.016408, 0.124853, -0.024953, -0.016408
10302, -0.006467, 0.123703, -0.017671, -0.006467
10353, 0.002018, 0.122614, -0.010030, 0.002018
10404, 0.010502, 0.121602, -0.001584, 0.010502
10455, 0.018992, 0.120652, 0.007652, 0.018992
10506, 0.026438, 0.119767, 0.015682, 0.026438
10557, 0.035496, 0.118973, 0.022953, 0.035496
10608, 0.045151, 0.118280, 0.028804, 0.045151
10659, 0.052497, 0.117730, 0.033408, 0.052497
10710, 0.057415, 0.117316, 0.036711, 0.057415
10761, 0.060549, 0.117003, 0.038646, 0.060549
10812, 0.063288, 0.116789, 0.040756, 0.063288
10863, 0.068123, 0.116679, 0.044493, 0.068123
10914, 0.073194, 0.116672, 0.048137, 0.073194
10965, 0.077323, 0.116747, 0.051209, 0.077323
11016, 0.081247, 0.116914, 0.054422, 0.081247
11067, 0.083487, 0.117166, 0.056729, 0.083487
11118, 0.086817, 0.117481, 0.059130, 0.086817
11169, 0.090763, 0.117835, 0.061103, 0.090763
11220, 0.094263, 0.118232, 0.063487, 0.094263
11271, 0.096348, 0.118647, 0.066060, 0.096348
11322, 0.098165, 0.119067, 0.067167, 0.098165
11373, 0.097664, 0.119485, 0.066736, 0.097664
11424, 0.095742, 0.119887, 0.065796, 0.095742
11475, 0.095371, 0.120254, 0.064790, 0.095371
11526, 0.095227, 0.120575, 0.063510, 0.095227
11577, 0.096502, 0.120834, 0.062785, 0.096502
11628, 0.098334, 0.120987, 0.061908, 0.098334
11679, 0.100158, 0.121006, 0.062270, 0.100158
11730, 0.101082, 0.120873, 0.061911, 0.101082
11781, 0.101563, 0.120571, 0.060958, 0.101563
11832, 0.101876, 0.120107, 0.059806, 0.101876
11883, 0.101768, 0.119474, 0.057933, 0.101768
11934, 0.101314, 0.118652, 0.057730, 0.101314
11985, 0.102604, 0.117642, 0.059059, 0.102604
12036, 0.106150, 0.116458, 0.061957, 0.106150
12087, 0.111371, 0.115100, 0.065710, 0.111371
12138, 0.119062, 0.113568, 0.072011, 0.119062
12189, 0.126529, 0.111852, 0.078833, 0.126529
12240, 0.134170, 0.109948, 0.085604, 0.134170
12291, 0.139382, 0.107855, 0.090663, 0.139382
12342, 0.143109, 0.105575, 0.094233, 0.143109
12393, 0.147265, 0.103121, 0.098188, 0.147265
12444, 0.149880, 0.100528, 0.101371, 0.149880
12495, 0.153896, 0.097800, 0.104755, 0.153896
12546, 0.157947, 0.094960, 0.108815, 0.157947
12597, 0.159364, 0.092002, 0.112789, 0.159364
12648, 0.158823, 0.088918, 0.114655, 0.158823
12699, 0.156325, 0.085712, 0.116766, 0.156325
12750, 0.152942, 0.082406, 0.117743, 0.152942
12801, 0.151072, 0.078976, 0.117918, 0.151072
12852, 0.149790, 0.075414, 0.117358, 0.149790
12903, 0.149611, 0.071721, 0.116286, 0.149611
12954, 0.149805, 0.067906, 0.114942, 0.149805
13005, 0.148120, 0.063982, 0.112618, 0.148120
13056, 0.142617, 0.059959, 0.107325, 0.142617
13107, 0.135728, 0.055845, 0.101079, 0.135728
13158, 0.128758, 0.051653, 0.095334, 0.128758
13209, 0.121247, 0.047387, 0.090234, 0.121247
13260, 0.112365, 0.043050, 0.083845, 0.112365
13311, 0.103206, 0.038636, 0.078325, 0.103206
13362, 0.093510, 0.034146, 0.073800, 0.093510
13413, 0.088377, 0.029582, 0.071637, 0.088377
13464, 0.084223, 0.024943, 0.069591, 0.084223
13515, 0.075892, 0.020234, 0.064979, 0.075892
13566, 0.065044, 0.015460, 0.057075, 0.065044
13617, 0.053706, 0.010619, 0.048116, 0.053706
13668, 0.045210, 0.005715, 0.041225, 0.045210
13719, 0.039380, 0.000747, 0.036799, 0.039380
13770, 0.035753, -0.004274, 0.032669, 0.035753
13821, 0.030932, -0.009335, 0.028076, 0.030932
13872, 0.025321, -0.014437, 0.021807, 0.025321
13923, 0.018402, -0.019589, 0.014379, 0.018402
13974, 0.010743, -0.024809, 0.006415, 0.010743
14025, 0.005325, -0.030117, -0.000946, 0.005325
14076, -0.000006, -0.035531, -0.006756, -0.000006
14127, -0.004095, -0.041079, -0.010940, -0.004095
14178, -0.007099, -0.046757, -0.014199, -0.007099
14229, -0.010601, -0.052544, -0.017230, -0.010601
14280, -0.014464, -0.058385, -0.019146, -0.014464
14331, -0.017750, -0.064247, -0.019597, -0.017750
14382, -0.021733, -0.070183, -0.021585, -0.021733
14433, -0.026125, -0.076189, -0.024793, -0.026125
14484, -0.028770, -0.082259, -0.027529, -0.028770
14535, -0.030812, -0.088382, -0.029217, -0.030812
14586, -0.034910, -0.094417, -0.031154, -0.034910
14637, -0.038738, -0.100230, -0.032583, -0.038738
14688, -0.042651, -0.105791, -0.033984, -0.042651
14739, -0.044850, -0.111026, -0.034934, -0.044850
14790, -0.048043, -0.115877, -0.036208, -0.048043
14841, -0.051876, -0.120452, -0.038606, -0.051876
14892, -0.056241, -0.124772, -0.040526, -0.056241
14943, -0.059836, -0.128923, -0.042260, -0.059836
14994, -0.061669, -0.132857, -0.042607, -0.061669
15045, -0.061538, -0.136488, -0.041557, -0.061538
15096, -0.062653, -0.139860, -0.040581, -0.062653
15147, -0.063468, -0.142963, -0.039776, -0.063468
15198, -0.065119, -0.145809, -0.039030, -0.065119
15249, -0.068213, -0.148415, -0.039471, -0.068213
15300, -0.072193, -0.150836, -0.040364, -0.072193
15351, -0.077541, -0.153133, -0.042985, -0.077541
15402, -0.076332, -0.155303, -0.042080, -0.076332
15453, -0.074436, -0.157310, -0.040870, -0.074436
15504, -0.071429, -0.159194, -0.039023, -0.071429
15555, -0.070772, -0.160930, -0.037047, -0.070772
15606, -0.069975, -0.162600, -0.035134, -0.069975
15657, -0.069081, -0.164189, -0.033355, -0.069081
15708, -0.066397, -0.165658, -0.031356, -0.066397
15759, -0.062501, -0.166996, -0.029325, -0.062501
15810, -0.059791, -0.168225, -0.027523, -0.059791
15861, -0.057935, -0.169326, -0.026498, -0.057935
15912, -0.057097, -0.170353, -0.026723, -0.057097
15963, -0.055283, -0.171368, -0.026667, -0.055283
16014, -0.053232, -0.172400, -0.027255, -0.053232
16065, -0.051481, -0.173490, -0.029862, -0.051481
16116, -0.050641, -0.174695, -0.032965, -0.050641
16167, -0.052506, -0.176057, -0.038235, -0.052506
16218, -0.055486, -0.177577, -0.044171, -0.055486
16269, -0.060034, -0.179222, -0.050127, -0.060034
16320, -0.063854, -0.180950, -0.055297, -0.063854
16371, -0.068957, -0.182761, -0.061134, -0.068957
16422, -0.075018, -0.184686, -0.067112, -0.075018
16473, -0.081333, -0.186751, -0.072118, -0.081333
16524, -0.089406, -0.188996, -0.077713, -0.089406
16575, -0.097859, -0.191457, -0.083559, -0.097859
16626, -0.106672, -0.194127, -0.088796, -0.106672
16677, -0.109493, -0.196998, -0.090558, -0.109493
16728, -0.109277, -0.200040, -0.090458, -0.109277
16779, -0.106764, -0.203212, -0.089519, -0.106764
16830, -0.106275, -0.206497, -0.091071, -0.106275
16881, -0.106604, -0.209905, -0.091870, -0.106604
16932, -0.107662, -0.213437, -0.092941, -0.107662
16983, -0.107401, -0.217057, -0.093070, -0.107401
17034, -0.105669, -0.220697, -0.091689, -0.105669
17085, -0.103442, -0.224277, -0.090343, -0.103442
17136, -0.101921, -0.227717, -0.088912, -0.101921
17187, -0.099342, -0.230960, -0.087163, -0.099342
17238, -0.095991, -0.234069, -0.085850, -0.095991
17289, -0.093205, -0.237064, -0.085625, -0.093205
17340, -0.090936, -0.239993, -0.085475, -0.090936
17391, -0.089616, -0.242942, -0.085816, -0.089616
17442, -0.090418, -0.245905, -0.086453, -0.090418
17493, -0.089944, -0.248892, -0.085883, -0.089944
17544, -0.090271, -0.251892, -0.085810, -0.090271
17595, -0.090005, -0.254928, -0.085438, -0.090005
17646, -0.089794, -0.257993, -0.083230, -0.089794
17697, -0.090129, -0.261069, -0.081887, -0.090129
17748, -0.088521, -0.264132, -0.079605, -0.088521
17799, -0.087123, -0.267150, -0.075197, -0.087123
17850, -0.085571, -0.270151, -0.069483, -0.085571
17901, -0.086245, -0.273142, -0.065857, -0.086245
