Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.967184, 11.000006, 10.974546, 10.967184
21, 20.880643, 20.999852, 20.908217, 20.880643
31, 30.740908, 30.999279, 30.799212, 30.740908
41, 40.565284, 40.997365, 40.665136, 40.565284
51, 50.311188, 50.996114, 50.467605, 50.311188
61, 60.049457, 60.991805, 60.252644, 60.049457
71, 69.734968, 70.988156, 69.994540, 69.734968
81, 79.306964, 80.982523, 79.671292, 79.306964
91, 88.887227, 90.976283, 89.352292, 88.887227
101, 98.497721, 100.962357, 99.032634, 98.497721
111, 107.879540, 110.957473, 108.530691, 107.879540
121, 117.397939, 120.936040, 118.084924, 117.397939
131, 126.616068, 130.922164, 127.537494, 126.616068
141, 136.188194, 140.903244, 137.086916, 136.188194
151, 145.464770, 150.878779, 146.429489, 145.464770
161, 154.385324, 160.853530, 155.634330, 154.385324
171, 163.811082, 170.836823, 165.230530, 163.811082
181, 172.912648, 180.796179, 174.460381, 172.912648
191, 182.170114, 190.781293, 183.691019, 182.170114
201, 191.526049, 200.730620, 193.311947, 191.526049
211, 200.012492, 210.706785, 201.893219, 200.012492
221, 208.907438, 220.685893, 211.019388, 208.907438
231, 218.136443, 230.581976, 220.486466, 218.136443
241, 226.924825, 240.543423, 229.502714, 226.924825
251, 236.059721, 250.417123, 238.361989, 236.059721
261, 245.147777, 260.423043, 247.687955, 245.147777
271, 253.659140, 270.313857, 256.484027, 253.659140
281, 262.569820, 280.359258, 265.436588, 262.569820
291, 270.617482, 290.259115, 273.897155, 270.617482
301, 279.673564, 300.114812, 282.527750, 279.673564
311, 288.402334, 310.116896, 291.487916, 288.402334
321, 296.472119, 320.052625, 299.665580, 296.472119
331, 305.125342, 329.871580, 308.642667, 305.125342
341, 314.011455, 339.776306, 318.050773, 314.011455
351, 322.125112, 349.698729, 327.186520, 322.125112
361, 331.558942, 359.526413, 334.902340, 331.558942
371, 340.402290, 369.406552, 344.524517, 340.402290
381, 346.758888, 379.159933, 351.809047, 346.758888
391, 356.321304, 388.960840, 361.173970, 356.321304
401, 365.536102, 398.842300, 369.564004, 365.536102
411, 373.289942, 408.926554, 378.168589, 373.289942
421, 380.574282, 418.959653, 385.520563, 380.574282
431, 390.588164, 428.605180, 395.987847, 390.588164
441, 398.257099, 438.312852, 402.538481, 398.257099
451, 405.592436, 447.933741, 411.977910, 405.592436
461, 413.076599, 457.860858, 421.053535, 413.076599
471, 419.906188, 468.087298, 427.058096, 419.906188
481, 430.086621, 478.285843, 436.071943, 430.086621
491, 438.203067, 488.274714, 443.486991, 438.203067
501, 446.053267, 497.902747, 452.868267, 446.053267
511, 455.653190, 507.362784, 460.504485, 455.653190
521, 464.573402, 516.595018, 470.522370, 464.573402
531, 469.982674, 525.805269, 475.894935, 469.982674
541, 478.856570, 535.820693, 485.576987, 478.856570
551, 487.404782, 545.914088, 494.160695, 487.404782
561, 494.076238, 556.460674, 502.047210, 494.076238
571, 499.048913, 566.914092, 506.352689, 499.048913
581, 509.132363, 576.956386, 516.137533, 509.132363
591, 513.071977, 587.033405, 519.851472, 513.071977
601, 524.963376, 596.365425, 529.868769, 524.963376
611, 530.617527, 605.879138, 540.743325, 530.617527
621, 543.097176, 614.578756, 550.313080, 543.097176
631, 546.552732, 623.883340, 558.190703, 546.552732
641, 552.600954, 632.731286, 559.799493, 552.600954
651, 561.000400, 642.173958, 569.853926, 561.000400
661, 570.432789, 651.642877, 579.138177, 570.432789
