Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.946675, 10.999841, 10.957122, 10.946675
21, 20.804208, 20.999356, 20.840220, 20.804208
31, 30.581065, 30.998623, 30.655418, 30.581065
41, 40.260025, 40.998949, 40.382107, 40.260025
51, 49.866514, 50.995955, 50.051766, 49.866514
61, 59.353767, 60.995461, 59.600209, 59.353767
71, 68.868348, 70.993592, 69.179102, 68.868348
81, 78.203531, 80.989323, 78.595949, 78.203531
91, 87.508890, 90.981636, 87.975676, 87.508890
101, 96.571426, 100.986698, 97.176499, 96.571426
111, 105.912177, 110.972462, 106.527924, 105.912177
121, 114.970236, 120.974139, 115.719506, 114.970236
131, 123.934676, 130.972312, 124.841656, 123.934676
141, 132.723193, 140.970445, 133.631578, 132.723193
151, 141.779668, 150.968916, 142.714737, 141.779668
161, 150.451049, 160.961790, 151.569888, 150.451049
171, 159.530328, 170.923221, 160.688215, 159.530328
181, 168.076787, 180.925664, 169.523526, 168.076787
191, 176.791602, 190.907129, 178.256264, 176.791602
201, 184.695444, 200.896911, 186.433064, 184.695444
211, 193.808114, 210.861528, 195.420381, 193.808114
221, 202.436579, 220.886590, 203.957848, 202.436579
231, 210.305182, 230.850434, 212.099199, 210.305182
241, 218.946959, 240.819258, 220.939404, 218.946959
251, 225.892809, 250.835410, 228.267802, 225.892809
261, 233.928303, 260.835735, 236.117358, 233.928303
271, 242.546121, 270.830093, 244.651310, 242.546121
281, 251.270712, 280.734362, 253.820281, 251.270712
291, 258.614518, 290.735942, 260.974386, 258.614518
301, 266.090515, 300.795731, 268.851639, 266.090515
311, 273.378866, 310.722250, 275.981702, 273.378866
321, 279.578113, 320.708214, 282.687973, 279.578113
331, 289.645498, 330.746615, 292.414184, 289.645498
341, 296.750960, 340.695921, 300.331046, 296.750960
351, 306.560770, 350.524527, 309.966321, 306.560770
361, 310.860190, 360.678769, 314.059673, 310.860190
371, 322.604380, 370.539592, 326.102185, 322.604380
381, 329.015169, 380.549919, 332.022436, 329.015169
391, 333.532829, 390.454424, 338.231143, 333.532829
401, 343.203388, 400.487396, 346.540579, 343.203388
411, 347.382866, 410.510993, 351.789934, 347.382866
421, 354.044907, 420.510246, 358.180056, 354.044907
431, 359.650106, 430.631307, 364.638653, 359.650106
441, 373.579384, 440.324078, 377.349303, 373.579384
451, 375.818274, 450.369597, 380.317618, 375.818274
461, 389.384766, 460.311907, 393.086248, 389.384766
471, 392.579509, 470.392113, 397.292582, 392.579509
481, 398.262001, 480.202381, 403.182817, 398.262001
491, 407.819672, 490.167106, 413.248109, 407.819672
501, 410.707251, 500.256329, 414.876228, 410.707251
511, 423.516731, 510.088607, 428.849750, 423.516731
521, 425.617773, 519.933934, 431.690520, 425.617773
531, 432.774080, 530.019633, 437.377746, 432.774080
541, 438.542855, 539.863265, 443.538698, 438.542855
551, 446.309635, 549.822356, 451.506370, 446.309635
561, 446.499182, 560.157408, 453.294560, 446.499182
571, 456.581572, 569.909248, 464.046851, 456.581572
581, 465.517512, 579.891670, 471.122378, 465.517512
591, 469.804406, 589.818312, 474.355133, 469.804406
601, 478.846466, 599.424183, 486.238502, 478.846466
611, 486.822378, 609.497792, 492.940097, 486.822378
621, 490.468169, 619.796293, 497.156817, 490.468169
631, 499.396551, 629.417803, 506.590980, 499.396551
641, 508.768697, 639.786424, 516.619685, 508.768697
651, 505.870484, 649.278985, 513.750901, 505.870484
661, 506.012526, 659.247542, 512.461149, 506.012526
671, 532.692765, 669.415209, 539.995268, 532.692765
681, 520.061858, 678.792191, 526.668313, 520.061858
691, 537.967409, 688.726593, 546.954390, 537.967409
701, 535.741886, 698.857679, 543.537669, 535.741886
711, 555.699556, 708.960747, 562.885844, 555.699556
721, 559.343287, 718.823718, 566.199891, 559.343287
731, 547.140792, 728.534749, 556.786898, 547.140792
741, 565.348087, 738.362524, 573.652671, 565.348087
751, 577.644822, 749.027025, 586.152546, 577.644822
761, 584.767544, 758.699386, 592.127680, 584.767544
771, 589.725517, 768.179353, 595.870017, 589.725517
781, 596.129241, 778.808412, 603.930139, 596.129241
791, 587.258390, 788.622361, 594.413956, 587.258390
801, 604.127312, 798.064379, 610.603323, 604.127312
811, 604.814920, 808.640151, 611.967358, 604.814920
821, 602.938695, 817.952610, 611.564711, 602.938695
831, 605.037362, 828.625079, 615.481577, 605.037362
841, 624.542927, 838.096254, 634.713376, 624.542927
851, 624.602487, 848.464551, 637.505597, 624.602487
861, 629.342356, 858.719876, 640.015678, 629.342356
871, 643.604043, 867.497623, 654.201995, 643.604043
881, 644.751742, 877.809325, 653.442220, 644.751742
891, 632.592504, 888.276948, 643.526106, 632.592504
901, 655.590094, 897.046878, 667.574266, 655.590094
911, 665.566929, 907.077502, 674.715370, 665.566929
921, 672.032952, 917.338180, 681.722570, 672.032952
931, 650.082214, 927.496698, 658.930097, 650.082214
941, 674.654922, 937.430263, 686.301615, 674.654922
951, 684.317298, 947.812667, 695.288098, 684.317298
961, 700.883547, 957.891294, 710.635174, 700.883547
971, 698.386444, 966.247234, 708.773641, 698.386444
981, 692.481156, 976.144147, 703.676821, 692.481156
991, 699.813822, 986.169265, 712.147612, 699.813822
1001, 706.176218, 996.279892, 718.113746, 706.176218
1011, 706.422419, 1005.932108, 714.931469, 706.422419
1021, 708.159131, 1015.947846, 716.745370, 708.159131
1031, 709.081941, 1025.764743, 724.898252, 709.081941
1041, 724.999425, 1037.204817, 736.029295, 724.999425
1051, 752.058547, 1046.362456, 763.073278, 752.058547
1061, 769.422158, 1056.094718, 782.290213, 769.422158
1071, 724.970022, 1065.806949, 737.237358, 724.970022
1081, 736.916894, 1075.648821, 751.528119, 736.916894
1091, 750.961023, 1085.030658, 763.860295, 750.961023
1101, 737.346590, 1094.652620, 746.540879, 737.346590
1111, 774.850544, 1106.153977, 789.552457, 774.850544
1121, 760.231474, 1115.854862, 773.447041, 760.231474
1131, 777.655176, 1124.656223, 791.184417, 777.655176
1141, 769.253716, 1133.547789, 781.497102, 769.253716
1151, 770.118181, 1142.443306, 782.658865, 770.118181
1161, 808.781040, 1154.370157, 825.028234, 808.781040
1171, 784.323110, 1164.091160, 794.928026, 784.323110
1181, 789.865112, 1173.399381, 804.060012, 789.865112
1191, 775.253338, 1182.844400, 785.203221, 775.253338
1201, 791.218475, 1194.563898, 809.370989, 791.218475
1211, 796.247823, 1203.775553, 807.088169, 796.247823
1221, 815.226212, 1212.873684, 829.225484, 815.226212
1231, 815.635810, 1224.088351, 831.745364, 815.635810
1241, 842.043423, 1232.609622, 856.097712, 842.043423
1251, 822.936266, 1240.879708, 834.593917, 822.936266
1261, 859.205788, 1252.343716, 872.727213, 859.205788
1271, 837.239049, 1261.605621, 848.663954, 837.239049
1281, 858.162394, 1273.546555, 876.846050, 858.162394
1291, 846.906814, 1282.852702, 860.998772, 846.906814
1301, 859.440065, 1291.863872, 873.637637, 859.440065
1311, 831.086645, 1303.590427, 850.148736, 831.086645
1321, 832.214576, 1312.086315, 843.153249, 832.214576
1331, 837.212879, 1324.202277, 857.002736, 837.212879
1341, 870.836380, 1332.162713, 890.374848, 870.836380
1351, 861.162766, 1343.228169, 874.256665, 861.162766
1361, 873.540501, 1351.144182, 888.716246, 873.540501
1371, 904.522177, 1358.632026, 921.873387, 904.522177
1381, 874.582499, 1369.293581, 893.773971, 874.582499
1391, 912.249251, 1377.367065, 926.155980, 912.249251
1401, 914.144784, 1389.161502, 932.820091, 914.144784
1411, 898.786511, 1397.271470, 907.938263, 898.786511
1421, 886.636192, 1409.795392, 901.996911, 886.636192
1431, 923.824997, 1418.595824, 941.944771, 923.824997
1441, 951.333092, 1430.772262, 963.489172, 951.333092
1451, 899.693373, 1438.684294, 920.013019, 899.693373
1461, 920.203990, 1450.852435, 938.944585, 920.203990
1471, 852.272347, 1458.776167, 869.786684, 852.272347
1481, 897.389682, 1470.370724, 913.948592, 897.389682
1491, 934.726498, 1481.442868, 955.959814, 934.726498
1501, 923.678366, 1488.675491, 946.807633, 923.678366
1511, 970.700368, 1499.611634, 984.760162, 970.700368
1521, 941.060686, 1506.260839, 952.233094, 941.060686
1531, 906.587952, 1517.249161, 926.988073, 906.587952
1541, 939.093643, 1524.099413, 947.928118, 939.093643
1551, 966.990995, 1535.390444, 985.300375, 966.990995
1561, 980.136967, 1546.951356, 1001.246121, 980.136967
1571, 1003.263595, 1554.076957, 1021.121694, 1003.263595
1581, 976.783545, 1566.579797, 1000.793586, 976.783545
1591, 984.774306, 1574.418579, 1003.269698, 984.774306
1601, 949.404369, 1587.197195, 959.472224, 949.404369
1611, 925.101173, 1599.670445, 951.260633, 925.101173
1621, 1042.794966, 1606.751960, 1063.341410, 1042.794966
1631, 1011.406296, 1619.013098, 1028.440380, 1011.406296
1641, 912.656791, 1626.349357, 933.665680, 912.656791
1651, 1003.110615, 1638.217721, 1019.041202, 1003.110615
1661, 1021.956205, 1650.186732, 1039.214871, 1021.956205
1671, 928.596888, 1656.960417, 942.359457, 928.596888
1681, 959.999112, 1668.719202, 970.299205, 959.999112
1691, 1013.213791, 1680.026176, 1032.712199, 1013.213791
1701, 1008.840881, 1685.590671, 1043.700709, 1008.840881
1711, 1016.628494, 1695.603603, 1037.365547, 1016.628494
1721, 1034.732976, 1706.132392, 1053.604854, 1034.732976
1731, 1015.881671, 1712.110655, 1035.660581, 1015.881671
1741, 1030.670990, 1723.268741, 1055.095991, 1030.670990
1751, 982.108187, 1734.549725, 1002.746935, 982.108187
1761, 1007.276642, 1739.886305, 1012.909289, 1007.276642
