Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
101, 97.328255, 100.967223, 97.805308, 97.328255
201, 187.291362, 200.610790, 188.298016, 187.291362
301, 272.691153, 300.259410, 274.521137, 272.691153
401, 351.773723, 399.461388, 354.224937, 351.773723
501, 422.342083, 497.479523, 426.302512, 422.342083
601, 503.653453, 596.301136, 508.894375, 503.653453
701, 556.388711, 692.965313, 562.464339, 556.388711
801, 615.882163, 788.291062, 620.663023, 615.882163
901, 672.129860, 881.829689, 678.332161, 672.129860
1001, 732.948989, 979.245520, 742.257056, 732.948989
1101, 765.958359, 1075.320515, 775.437450, 765.958359
1201, 860.818893, 1181.122375, 869.728139, 860.818893
1301, 866.207923, 1269.411285, 881.009483, 866.207923
1401, 925.022503, 1373.662122, 936.252272, 925.022503
1501, 966.356063, 1462.035768, 984.597354, 966.356063
1601, 971.638151, 1563.612312, 986.999065, 971.638151
1701, 1046.236425, 1641.091813, 1063.148333, 1046.236425
1801, 1025.419625, 1731.755926, 1039.081496, 1025.419625
1901, 1061.944641, 1815.678906, 1076.683019, 1061.944641
2001, 1089.581529, 1896.809224, 1105.784900, 1089.581529
2101, 1118.678677, 1995.861168, 1139.007583, 1118.678677
2201, 1130.544873, 2081.815701, 1151.626765, 1130.544873
2301, 1130.749799, 2153.285934, 1144.208813, 1130.749799
2401, 1258.066302, 2211.159849, 1274.245973, 1258.066302
2501, 1054.572246, 2276.752026, 1069.443614, 1054.572246
2601, 1300.974057, 2400.718930, 1329.571966, 1300.974057
2701, 1153.787488, 2513.877289, 1170.830818, 1153.787488
2801, 1062.762534, 2544.092577, 1077.081568, 1062.762534
2901, 1240.103074, 2632.664179, 1256.659101, 1240.103074
3001, 982.715136, 2732.371513, 999.321100, 982.715136
3101, 1261.356420, 2808.187848, 1276.134834, 1261.356420
3201, 1026.289413, 2905.618871, 1035.142394, 1026.289413
3301, 1268.566243, 2957.572404, 1290.558324, 1268.566243
3401, 1321.079177, 3040.059705, 1353.385574, 1321.079177
3501, 1311.264965, 3071.384134, 1339.792789, 1311.264965
3601, 1235.966745, 3127.489754, 1248.771855, 1235.966745
3701, 1181.930667, 3350.414533, 1203.793602, 1181.930667
3801, 1461.479380, 3348.197561, 1495.460978, 1461.479380
3901, 1099.904542, 3388.040592, 1114.004727, 1099.904542
4001, 1322.070977, 3415.601527, 1355.569147, 1322.070977
4101, 1203.500281, 3611.427170, 1208.582298, 1203.500281
4201, 1696.189283, 3546.755081, 1738.067314, 1696.189284
4301, 988.125920, 3754.015730, 991.372097, 988.125920
4401, 1382.366407, 3724.785301, 1419.943994, 1382.366407
4501, 923.879074, 3928.759255, 932.124030, 923.879074
4601, 1513.589199, 3802.480898, 1542.476849, 1513.589199
4701, 1216.180086, 4018.484701, 1214.005107, 1216.180086
4801, 984.335033, 3938.076820, 1008.977727, 984.335033
4901, 1214.197640, 4162.413466, 1256.817158, 1214.197640
5001, 767.427323, 4080.023015, 767.896123, 767.427323
5101, 1119.692618, 4194.445559, 1147.972631, 1119.692618
5201, 1609.207601, 4392.971480, 1645.166711, 1609.207601
5301, 1136.507631, 4296.053223, 1144.676403, 1136.507631
5401, 981.120542, 4470.949586, 1011.777547, 981.120542
5501, 1187.280305, 4708.619915, 1210.951051, 1187.280305
5601, 927.394467, 4581.392912, 917.348990, 927.394467
5701, 1104.841729, 4711.321109, 1117.907509, 1104.841729
5801, 1505.905466, 4855.344443, 1535.888652, 1505.905466
5901, 1709.345480, 4657.291182, 1732.671694, 1709.345480
6001, 791.951411, 4912.087187, 801.673183, 791.951411
6101, 865.279473, 5070.030595, 895.693353, 865.279472
6201, 973.982723, 5271.194008, 1007.428953, 973.982723
6301, 1339.661804, 5055.233266, 1368.172088, 1339.661804
6401, 1165.995566, 5316.784215, 1164.381852, 1165.995566
6501, 1009.757586, 5434.632548, 1025.366458, 1009.757586
6601, 1270.092125, 5551.990682, 1295.221855, 1270.092125
6701, 1315.985420, 5138.625593, 1340.544835, 1315.985420
6801, 1307.545142, 5388.123443, 1332.094066, 1307.545142
6901, 557.466997, 5615.597294, 568.828360, 557.466997
7001, 541.428619, 5750.198663, 555.664108, 541.428619
7101, 883.159833, 5915.436110, 908.045041, 883.159833
7201, 1383.805263, 5452.090393, 1406.401868, 1383.805263
7301, 1612.725156, 5758.472044, 1645.308865, 1612.725156
7401, 1372.857147, 6063.989866, 1399.331592, 1372.857147
7501, 1012.860845, 6261.429529, 1023.631973, 1012.860845
7601, 1092.042901, 6359.509656, 1108.677152, 1092.042901
7701, 1333.388130, 5645.075486, 1358.238684, 1333.388130
7801, 1489.557603, 5844.528299, 1501.399258, 1489.557603
7901, 1574.098457, 6060.551621, 1589.809828, 1574.098457
8001, 1517.831781, 6287.216190, 1537.682228, 1517.831781
8101, 1020.481170, 6506.570939, 1027.987760, 1020.481170
8201, 872.108871, 6660.573436, 871.054298, 872.108871
8301, 727.719726, 6768.532675, 743.953999, 727.719726
8401, 742.300177, 5900.567006, 782.593801, 742.300176
8501, 832.571929, 6136.971459, 876.091618, 832.571929
8601, 1133.270113, 6388.342360, 1166.909569, 1133.270112
8701, 1148.760299, 6662.280442, 1188.694065, 1148.760299
8801, 1159.153149, 6952.418933, 1195.981243, 1159.153149
