N, Var_U, Var_CV, Var_P, Var_R
100000, 0.358131, 0.000091, 0.000017, 0.000059
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.925656, 0.996423, 0.933046, 0.925656
102, 0.867356, 0.992406, 0.876580, 0.867356
153, 0.817335, 0.987787, 0.826163, 0.817335
204, 0.769325, 0.982574, 0.777954, 0.769325
255, 0.727418, 0.977223, 0.735121, 0.727418
306, 0.692562, 0.971666, 0.698074, 0.692562
357, 0.658137, 0.965640, 0.662140, 0.658137
408, 0.625233, 0.959142, 0.628002, 0.625233
459, 0.592407, 0.952202, 0.595033, 0.592407
510, 0.563701, 0.944826, 0.565303, 0.563701
561, 0.536029, 0.937034, 0.537969, 0.536029
612, 0.506204, 0.928823, 0.508898, 0.506204
663, 0.481957, 0.920204, 0.484279, 0.481957
714, 0.459221, 0.911186, 0.461756, 0.459221
765, 0.439382, 0.901776, 0.441424, 0.439382
816, 0.421354, 0.892056, 0.425467, 0.421354
867, 0.409046, 0.882193, 0.412296, 0.409046
918, 0.398591, 0.872119, 0.401862, 0.398591
969, 0.390642, 0.861801, 0.393185, 0.390642
1020, 0.378499, 0.851151, 0.381928, 0.378499
1071, 0.366543, 0.840202, 0.371264, 0.366543
1122, 0.351952, 0.828976, 0.357423, 0.351952
1173, 0.336371, 0.817491, 0.342050, 0.336371
1224, 0.322980, 0.805758, 0.327921, 0.322980
1275, 0.308078, 0.793782, 0.312545, 0.308078
1326, 0.290494, 0.781618, 0.295011, 0.290494
1377, 0.276219, 0.769322, 0.279140, 0.276219
1428, 0.260835, 0.756932, 0.261782, 0.260835
1479, 0.242642, 0.744525, 0.243279, 0.242642
1530, 0.225153, 0.732151, 0.225135, 0.225153
1581, 0.208978, 0.719837, 0.209421, 0.208978
1632, 0.194595, 0.707595, 0.195255, 0.194595
1683, 0.178796, 0.695343, 0.179396, 0.178796
1734, 0.163995, 0.683038, 0.163071, 0.163995
1785, 0.152133, 0.670718, 0.151085, 0.152133
1836, 0.137972, 0.658377, 0.137285, 0.137972
1887, 0.123026, 0.645994, 0.121679, 0.123026
1938, 0.112010, 0.633567, 0.110036, 0.112010
1989, 0.102757, 0.621100, 0.101350, 0.102757
2040, 0.094169, 0.608593, 0.093219, 0.094169
2091, 0.087759, 0.596092, 0.087863, 0.087759
2142, 0.081546, 0.583681, 0.083157, 0.081546
2193, 0.073436, 0.571323, 0.076634, 0.073436
2244, 0.066012, 0.558947, 0.069746, 0.066012
2295, 0.059831, 0.546570, 0.062565, 0.059831
2346, 0.056619, 0.534168, 0.057607, 0.056619
2397, 0.048815, 0.521750, 0.048557, 0.048815
2448, 0.041325, 0.509321, 0.039545, 0.041325
2499, 0.033862, 0.496951, 0.032012, 0.033862
2550, 0.026686, 0.484677, 0.024781, 0.026686
2601, 0.022725, 0.472503, 0.020626, 0.022725
2652, 0.019740, 0.460415, 0.018100, 0.019740
2703, 0.017085, 0.448411, 0.015692, 0.017085
2754, 0.014997, 0.436459, 0.012959, 0.014997
2805, 0.012217, 0.424548, 0.009642, 0.012217
2856, 0.009396, 0.412647, 0.006846, 0.009396
2907, 0.003597, 0.400741, 0.001974, 0.003597
2958, -0.003533, 0.388821, -0.004734, -0.003533
3009, -0.012121, 0.376883, -0.013285, -0.012121
3060, -0.020538, 0.364979, -0.021507, -0.020538
3111, -0.025366, 0.353192, -0.026741, -0.025366
3162, -0.029663, 0.341527, -0.030896, -0.029663
3213, -0.032443, 0.329980, -0.035277, -0.032443
3264, -0.031753, 0.318556, -0.033864, -0.031753
3315, -0.032510, 0.307248, -0.034844, -0.032510
3366, -0.034136, 0.296112, -0.037375, -0.034136
3417, -0.038074, 0.285098, -0.039745, -0.038074
3468, -0.036883, 0.274212, -0.039361, -0.036883
3519, -0.035719, 0.263508, -0.039746, -0.035719
3570, -0.036446, 0.253009, -0.042082, -0.036446
3621, -0.035967, 0.242686, -0.042501, -0.035967
3672, -0.031377, 0.232542, -0.038736, -0.031377
3723, -0.029754, 0.222564, -0.036862, -0.029754
3774, -0.023430, 0.212777, -0.030277, -0.023430
3825, -0.018387, 0.203258, -0.023571, -0.018387
3876, -0.012379, 0.193978, -0.016246, -0.012379
3927, -0.010853, 0.184923, -0.012674, -0.010853
3978, -0.010672, 0.176101, -0.009927, -0.010672
4029, -0.008265, 0.167546, -0.006446, -0.008265
4080, -0.004261, 0.159258, -0.001262, -0.004261
4131, 0.002838, 0.151214, 0.005975, 0.002838
4182, 0.006141, 0.143382, 0.009497, 0.006141
4233, 0.008968, 0.135743, 0.012044, 0.008968
4284, 0.008334, 0.128341, 0.011117, 0.008334
4335, 0.006864, 0.121350, 0.008333, 0.006864
4386, 0.001213, 0.114817, 0.003867, 0.001213
4437, -0.004079, 0.108714, -0.000348, -0.004079
4488, -0.006014, 0.103176, -0.001856, -0.006014
4539, -0.007235, 0.098435, -0.002826, -0.007235
4590, -0.006138, 0.094397, -0.003060, -0.006138
4641, -0.005163, 0.090901, -0.003294, -0.005163
4692, -0.005042, 0.087926, -0.003097, -0.005042
4743, -0.003163, 0.085475, -0.002192, -0.003163
4794, -0.003560, 0.083514, -0.003369, -0.003560
4845, -0.005499, 0.081874, -0.004810, -0.005499
4896, -0.000993, 0.080515, -0.000543, -0.000993
4947, 0.001252, 0.079319, 0.001544, 0.001252
4998, 0.001673, 0.078222, 0.001097, 0.001673
5049, -0.001921, 0.077244, -0.000713, -0.001921
5100, -0.007528, 0.076361, -0.006166, -0.007528
5151, -0.014916, 0.075587, -0.012190, -0.014916
5202, -0.020868, 0.074982, -0.018622, -0.020868
5253, -0.022701, 0.074578, -0.021781, -0.022701
5304, -0.022443, 0.074483, -0.022997, -0.022443
5355, -0.021029, 0.074837, -0.023119, -0.021029
5406, -0.019677, 0.075696, -0.022059, -0.019677
5457, -0.019010, 0.076895, -0.020547, -0.019010
5508, -0.012310, 0.078266, -0.014132, -0.012310
5559, -0.006475, 0.079784, -0.008936, -0.006475
5610, 0.002922, 0.081431, -0.000123, 0.002922
5661, 0.012019, 0.083206, 0.009569, 0.012019
5712, 0.019781, 0.085114, 0.016665, 0.019781
5763, 0.027788, 0.087151, 0.023687, 0.027788
5814, 0.030118, 0.089314, 0.026751, 0.030118
5865, 0.033022, 0.091600, 0.029090, 0.033022
5916, 0.033302, 0.093979, 0.028731, 0.033302
5967, 0.033494, 0.096395, 0.028651, 0.033494
6018, 0.031215, 0.098841, 0.026841, 0.031215
6069, 0.028145, 0.101314, 0.024847, 0.028145
6120, 0.028649, 0.103756, 0.025870, 0.028649
6171, 0.032656, 0.106146, 0.030093, 0.032656
6222, 0.037258, 0.108484, 0.035087, 0.037258
6273, 0.043373, 0.110775, 0.041555, 0.043373
6324, 0.048868, 0.113024, 0.046989, 0.048868
6375, 0.049417, 0.115233, 0.046651, 0.049417
6426, 0.044783, 0.117405, 0.042354, 0.044783
6477, 0.038578, 0.119535, 0.037132, 0.038578
6528, 0.030130, 0.121620, 0.030402, 0.030130
6579, 0.023686, 0.123662, 0.025221, 0.023686
6630, 0.017523, 0.125668, 0.018964, 0.017523
6681, 0.009065, 0.127685, 0.011012, 0.009065
6732, 0.001510, 0.129766, 0.003224, 0.001510
6783, -0.007326, 0.131905, -0.005861, -0.007326
6834, -0.015421, 0.134102, -0.014361, -0.015421
6885, -0.024214, 0.136409, -0.020924, -0.024214
6936, -0.030797, 0.138762, -0.027426, -0.030797
6987, -0.040148, 0.141119, -0.036582, -0.040148
7038, -0.046105, 0.143488, -0.043668, -0.046105
7089, -0.050732, 0.145865, -0.047339, -0.050732
7140, -0.050329, 0.148249, -0.047532, -0.050329
7191, -0.052181, 0.150641, -0.050586, -0.052181
7242, -0.055248, 0.153038, -0.054102, -0.055248
7293, -0.057613, 0.155444, -0.056876, -0.057613
7344, -0.059701, 0.157863, -0.060079, -0.059701
7395, -0.058047, 0.160295, -0.059765, -0.058047
7446, -0.054719, 0.162732, -0.056405, -0.054719
7497, -0.053737, 0.165154, -0.054476, -0.053737
7548, -0.048112, 0.167552, -0.049422, -0.048112
7599, -0.043331, 0.169922, -0.044567, -0.043331
7650, -0.040838, 0.172276, -0.041007, -0.040838
7701, -0.041146, 0.174622, -0.040813, -0.041146
7752, -0.041225, 0.176979, -0.041603, -0.041225
7803, -0.039608, 0.179332, -0.041031, -0.039608
7854, -0.040990, 0.181653, -0.041538, -0.040990
7905, -0.037135, 0.183955, -0.037320, -0.037135
7956, -0.029817, 0.186269, -0.030728, -0.029817
8007, -0.023333, 0.188623, -0.024793, -0.023333
8058, -0.023613, 0.190967, -0.024803, -0.023613
8109, -0.026490, 0.193273, -0.027834, -0.026490
8160, -0.026846, 0.195534, -0.029676, -0.026846
8211, -0.025593, 0.197746, -0.029180, -0.025593
8262, -0.028785, 0.199902, -0.031407, -0.028785
8313, -0.032943, 0.201998, -0.035644, -0.032943
8364, -0.037906, 0.204031, -0.040528, -0.037906
8415, -0.043943, 0.205994, -0.045693, -0.043943
8466, -0.048227, 0.207894, -0.049243, -0.048227
8517, -0.052326, 0.209729, -0.052215, -0.052326
8568, -0.051800, 0.211481, -0.050747, -0.051800
8619, -0.050198, 0.213126, -0.049741, -0.050198
8670, -0.048969, 0.214651, -0.048694, -0.048969
8721, -0.046543, 0.216050, -0.045592, -0.046543
8772, -0.047170, 0.217326, -0.045720, -0.047170
8823, -0.048547, 0.218479, -0.047391, -0.048547
8874, -0.051878, 0.219512, -0.050507, -0.051878
8925, -0.055633, 0.220433, -0.053067, -0.055633
8976, -0.056669, 0.221248, -0.055582, -0.056669
9027, -0.057531, 0.221958, -0.057972, -0.057531
9078, -0.059707, 0.222564, -0.059064, -0.059707
9129, -0.057500, 0.223065, -0.056653, -0.057500
9180, -0.052653, 0.223466, -0.052413, -0.052653
9231, -0.046762, 0.223767, -0.046760, -0.046762
9282, -0.041852, 0.223975, -0.042470, -0.041852
