N, Var_U, Var_CV, Var_P, Var_R
100000, 2.058800, 0.000124, 0.000136, 0.000338
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.934437, 0.981951, 0.942630, 0.934437
102, 0.877186, 0.959494, 0.887501, 0.877186
153, 0.824092, 0.933955, 0.834967, 0.824092
204, 0.778711, 0.909159, 0.788681, 0.778711
255, 0.732494, 0.883701, 0.741490, 0.732494
306, 0.691373, 0.857859, 0.699186, 0.691373
357, 0.654578, 0.829955, 0.663279, 0.654578
408, 0.620730, 0.799512, 0.628704, 0.620730
459, 0.584923, 0.766650, 0.592840, 0.584923
510, 0.549400, 0.730300, 0.557488, 0.549400
561, 0.517326, 0.691507, 0.525163, 0.517326
612, 0.487085, 0.651971, 0.494804, 0.487085
663, 0.461665, 0.613944, 0.466588, 0.461665
714, 0.440121, 0.580135, 0.442364, 0.440121
765, 0.415401, 0.551817, 0.416580, 0.415401
816, 0.393368, 0.524765, 0.392106, 0.393368
867, 0.373896, 0.498781, 0.369320, 0.373896
918, 0.351332, 0.473247, 0.346194, 0.351332
969, 0.327290, 0.447685, 0.324212, 0.327290
1020, 0.304970, 0.422134, 0.304178, 0.304970
1071, 0.281341, 0.398784, 0.281314, 0.281341
1122, 0.258716, 0.377068, 0.258928, 0.258716
1173, 0.237141, 0.357632, 0.238696, 0.237141
1224, 0.219945, 0.340614, 0.223985, 0.219945
1275, 0.205810, 0.325218, 0.210998, 0.205810
1326, 0.190583, 0.310831, 0.197077, 0.190583
1377, 0.177123, 0.297443, 0.182170, 0.177123
1428, 0.166334, 0.284735, 0.168352, 0.166334
1479, 0.156271, 0.272773, 0.156700, 0.156271
1530, 0.144647, 0.262407, 0.143853, 0.144647
1581, 0.133775, 0.254030, 0.130642, 0.133775
1632, 0.121990, 0.246694, 0.116956, 0.121990
1683, 0.111412, 0.239934, 0.103931, 0.111412
1734, 0.098129, 0.234501, 0.089760, 0.098129
1785, 0.084725, 0.231089, 0.074742, 0.084725
1836, 0.071348, 0.230097, 0.059397, 0.071348
1887, 0.059347, 0.230788, 0.046030, 0.059347
1938, 0.048042, 0.231940, 0.033778, 0.048042
1989, 0.043609, 0.232982, 0.029182, 0.043609
2040, 0.039025, 0.233491, 0.024131, 0.039025
2091, 0.033610, 0.233415, 0.020075, 0.033610
2142, 0.023161, 0.233204, 0.012747, 0.023161
2193, 0.009845, 0.232965, 0.002885, 0.009845
2244, 0.001966, 0.232657, -0.003739, 0.001966
2295, -0.001180, 0.232336, -0.007774, -0.001180
2346, -0.003995, 0.231680, -0.011340, -0.003995
2397, -0.004616, 0.230640, -0.013537, -0.004616
2448, -0.003857, 0.229286, -0.011834, -0.003857
2499, 0.000238, 0.227541, -0.008609, 0.000238
2550, 0.007557, 0.225256, -0.002905, 0.007557
2601, 0.017646, 0.222472, 0.006044, 0.017646
2652, 0.025198, 0.219283, 0.012825, 0.025198
2703, 0.035759, 0.215773, 0.020860, 0.035759
2754, 0.046741, 0.211996, 0.030595, 0.046741
2805, 0.056399, 0.207933, 0.040689, 0.056399
2856, 0.065831, 0.203668, 0.051365, 0.065831
2907, 0.071960, 0.199329, 0.058625, 0.071960
2958, 0.078084, 0.195024, 0.065810, 0.078084
3009, 0.083111, 0.190495, 0.073040, 0.083111
3060, 0.086013, 0.185674, 0.076982, 0.086013
3111, 0.089859, 0.180719, 0.082252, 0.089859
3162, 0.096020, 0.175843, 0.088091, 0.096020
3213, 0.098908, 0.171282, 0.091799, 0.098908
3264, 0.103690, 0.167284, 0.097181, 0.103690
3315, 0.110070, 0.163502, 0.102033, 0.110070
3366, 0.113646, 0.159918, 0.105351, 0.113646
3417, 0.113946, 0.156391, 0.105004, 0.113946
3468, 0.116067, 0.152884, 0.105934, 0.116067
3519, 0.119510, 0.149397, 0.109706, 0.119510
3570, 0.123409, 0.145880, 0.114485, 0.123409
3621, 0.126820, 0.142354, 0.117099, 0.126820
3672, 0.131038, 0.138871, 0.118991, 0.131038
3723, 0.134255, 0.135546, 0.120091, 0.134255
3774, 0.136135, 0.132581, 0.119553, 0.136135
3825, 0.135150, 0.130034, 0.117313, 0.135150
3876, 0.132818, 0.127944, 0.114830, 0.132818
3927, 0.129227, 0.126327, 0.110253, 0.129227
3978, 0.124066, 0.125110, 0.103509, 0.124066
4029, 0.117877, 0.123973, 0.094748, 0.117877
4080, 0.113157, 0.122810, 0.088265, 0.113157
4131, 0.107685, 0.121550, 0.082926, 0.107685
4182, 0.103841, 0.120185, 0.078190, 0.103841
4233, 0.097416, 0.118709, 0.072382, 0.097416
4284, 0.088041, 0.117108, 0.065282, 0.088041
4335, 0.077851, 0.115360, 0.057189, 0.077851
4386, 0.065917, 0.113469, 0.045948, 0.065917
4437, 0.053619, 0.111462, 0.034676, 0.053619
4488, 0.041790, 0.109376, 0.023130, 0.041790
4539, 0.033727, 0.107164, 0.014705, 0.033727
4590, 0.026663, 0.104836, 0.007673, 0.026663
4641, 0.020182, 0.102554, 0.001219, 0.020182
4692, 0.017157, 0.100409, -0.003697, 0.017157
