Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.943269, 11.000822, 10.955741, 10.943269
21, 20.792087, 21.002636, 20.836756, 20.792087
31, 30.562005, 31.004173, 30.654344, 30.562005
41, 40.242293, 40.995081, 40.398457, 40.242293
51, 49.823957, 51.008107, 50.068088, 49.823957
61, 59.352429, 60.995117, 59.673848, 59.352429
71, 68.779972, 70.993469, 69.235859, 68.779972
81, 78.119445, 80.995466, 78.681508, 78.119445
91, 87.398058, 91.015138, 88.103990, 87.398058
101, 96.727082, 100.963776, 97.528708, 96.727082
111, 105.810259, 111.004505, 106.813668, 105.810259
121, 115.012077, 120.912268, 116.100783, 115.012077
131, 124.177994, 130.905034, 125.254456, 124.177994
141, 132.801090, 140.906821, 134.203662, 132.801090
151, 142.040089, 150.925364, 143.653125, 142.040089
161, 150.604001, 160.849117, 152.565731, 150.604001
171, 159.372284, 170.911375, 161.369533, 159.372284
181, 167.944273, 180.734986, 170.296311, 167.944273
191, 176.185475, 190.669059, 179.037446, 176.185475
201, 185.208358, 200.582128, 187.927801, 185.208358
211, 193.748649, 210.706616, 196.600002, 193.748649
221, 202.073541, 220.519131, 205.102787, 202.073541
231, 211.451725, 230.731099, 214.598522, 211.451725
241, 219.566819, 240.809780, 222.900158, 219.566819
251, 226.954831, 250.612059, 230.803178, 226.954831
261, 236.188309, 260.537564, 240.089031, 236.188309
271, 243.713349, 270.490402, 247.676396, 243.713349
281, 252.775736, 281.079660, 257.118675, 252.775736
291, 257.998297, 290.974146, 263.079167, 257.998297
301, 268.529773, 300.640990, 272.342035, 268.529773
311, 275.381922, 310.778579, 280.354778, 275.381922
321, 284.438178, 320.670970, 289.462365, 284.438178
331, 292.445593, 330.120492, 297.788057, 292.445593
341, 298.666493, 340.079932, 304.274702, 298.666493
351, 307.299013, 350.486704, 312.471015, 307.299013
361, 313.654281, 359.335754, 319.174762, 313.654281
371, 323.423672, 369.669946, 329.583616, 323.423672
381, 328.053515, 379.388863, 335.181714, 328.053515
391, 335.400227, 389.591761, 342.175186, 335.400227
401, 347.496098, 398.799210, 354.989596, 347.496098
411, 352.897215, 408.458570, 359.856515, 352.897215
421, 361.203404, 418.579461, 367.583420, 361.203404
431, 371.465273, 427.528758, 378.843977, 371.465273
441, 375.626313, 438.497448, 383.482875, 375.626313
451, 383.261905, 448.351946, 391.108757, 383.261905
461, 392.435282, 458.555957, 400.619783, 392.435282
471, 394.003633, 467.277061, 404.358653, 394.003633
481, 404.100480, 478.239759, 413.179557, 404.100480
491, 415.715371, 487.636343, 425.211471, 415.715371
501, 423.199945, 497.268340, 430.132975, 423.199945
511, 427.301203, 507.288944, 435.180326, 427.301203
521, 432.123372, 517.716738, 441.379781, 432.123372
531, 436.433215, 526.131266, 447.653935, 436.433215
541, 450.370179, 537.228431, 459.911848, 450.370179
551, 449.492241, 546.267764, 461.250153, 449.492241
561, 450.203669, 555.590854, 462.852728, 450.203669
571, 467.228624, 565.172725, 478.050796, 467.228624
581, 470.219794, 575.048000, 480.231325, 470.219794
591, 476.156501, 585.118824, 488.570265, 476.156501
601, 496.367019, 595.453488, 508.328469, 496.367019
611, 498.905184, 606.136161, 510.013133, 498.905184
621, 502.069644, 613.981586, 512.302946, 502.069644
631, 500.861300, 625.317645, 515.283237, 500.861300
641, 512.681323, 633.644836, 523.806334, 512.681323
651, 524.402416, 645.547351, 536.352171, 524.402416
661, 532.568983, 654.016142, 543.628618, 532.568983
671, 527.453743, 662.801652, 539.554671, 527.453743
681, 550.940273, 675.805759, 561.715193, 550.940273
691, 552.461195, 685.317076, 564.717602, 552.461195
701, 553.860101, 694.991959, 567.394862, 553.860101
711, 563.514988, 705.068613, 578.844410, 563.514988
721, 564.239397, 715.379246, 579.923890, 564.239397
731, 577.108796, 725.747638, 589.159658, 577.108796
741, 583.326433, 736.391880, 599.868691, 583.326433
751, 582.037973, 742.564606, 594.907174, 582.037973
761, 594.400319, 753.669813, 605.713052, 594.400319
771, 605.947418, 764.931140, 618.372825, 605.947418
781, 599.750958, 771.602666, 614.117917, 599.750958
791, 618.755241, 783.317909, 634.684448, 618.755241
801, 615.864739, 795.350728, 632.040173, 615.864739
811, 631.421934, 802.266823, 648.283390, 631.421934
821, 627.858873, 815.059262, 643.648080, 627.858873
831, 639.508878, 822.196885, 657.183930, 639.508878
841, 648.830132, 835.499110, 666.614690, 648.830132
851, 656.629399, 842.815526, 671.349974, 656.629399
861, 657.307283, 850.681754, 676.938845, 657.307283
871, 664.976452, 864.531662, 680.830117, 664.976452
881, 664.311115, 872.377027, 682.283317, 664.311115
891, 653.814410, 880.626715, 665.834684, 653.814410
901, 675.121546, 895.442940, 691.708103, 675.121546
911, 674.883437, 904.206872, 696.034653, 674.883437
921, 684.812172, 912.593085, 700.755071, 684.812172
931, 686.323304, 920.774584, 709.449314, 686.323304
941, 702.281197, 929.926253, 718.729498, 702.281197
951, 704.379006, 938.690865, 721.495035, 704.379006
961, 711.278803, 947.677046, 734.637485, 711.278803
971, 711.006443, 965.024951, 732.090562, 711.006443
981, 717.535394, 974.136800, 738.379436, 717.535394
991, 746.266161, 983.631243, 765.799737, 746.266161
1001, 736.795139, 994.141248, 756.965910, 736.795139
1011, 735.158489, 1004.047919, 752.127619, 735.158489
1021, 753.082010, 1014.071325, 773.670351, 753.082010
1031, 764.360617, 1025.101387, 778.707319, 764.360617
1041, 728.239592, 1026.684573, 748.259289, 728.239592
1051, 778.096863, 1036.659704, 802.272232, 778.096863
1061, 762.592679, 1047.937206, 781.845680, 762.592679
1071, 738.964169, 1059.496360, 757.366508, 738.964169
1081, 799.989475, 1070.082806, 821.756954, 799.989475
1091, 788.487793, 1081.033895, 807.833417, 788.487793
1101, 795.079932, 1093.300276, 813.883893, 795.079932
1111, 795.069214, 1094.639193, 819.103340, 795.069214
1121, 797.049813, 1105.692773, 828.805419, 797.049813
1131, 801.646340, 1117.445068, 824.522489, 801.646340
1141, 834.814720, 1130.673388, 848.929530, 834.814720
1151, 783.639210, 1143.242323, 808.464054, 783.639210
1161, 828.366941, 1144.042362, 855.679874, 828.366941
1171, 824.110980, 1156.323445, 846.219012, 824.110980
1181, 845.578952, 1170.159944, 867.045091, 845.578952
1191, 821.056976, 1183.552194, 845.698639, 821.056976
1201, 842.416248, 1184.484411, 868.204771, 842.416248
1211, 846.434792, 1197.353188, 866.244869, 846.434792
1221, 849.544253, 1211.775018, 873.999856, 849.544253
1231, 821.683184, 1214.758023, 845.458807, 821.683184
1241, 887.172779, 1229.094412, 911.198567, 887.172779
1251, 824.919825, 1242.799784, 853.272577, 824.919825
1261, 865.840572, 1243.870145, 896.306849, 865.840572
1271, 902.336587, 1259.482906, 920.766982, 902.336587
1281, 836.929260, 1262.294098, 865.290037, 836.929260
1291, 919.212418, 1277.489844, 942.668721, 919.212418
1301, 865.493874, 1291.996760, 888.977328, 865.493874
1311, 904.438176, 1292.738652, 930.691331, 904.438176
1321, 923.551048, 1308.846242, 941.694817, 923.551048
1331, 896.197880, 1311.687225, 917.172789, 896.197880
1341, 937.651188, 1328.125037, 966.000157, 937.651188
1351, 902.406549, 1328.896882, 922.849209, 902.406549
1361, 906.503111, 1344.000664, 939.965133, 906.503111
1371, 945.132074, 1359.972336, 973.915222, 945.132074
1381, 941.029468, 1362.255687, 955.134284, 941.029468
1391, 960.516685, 1380.563521, 988.354871, 960.516685
1401, 958.585468, 1382.331520, 984.387526, 958.585468
1411, 928.584699, 1398.921383, 955.600015, 928.584699
1421, 948.287579, 1398.893841, 988.543973, 948.287579
1431, 974.368149, 1416.324914, 1004.884939, 974.368149
1441, 932.821444, 1418.439156, 955.147707, 932.821444
1451, 957.450170, 1438.277369, 986.911031, 957.450170
1461, 977.542262, 1440.085236, 1006.059916, 977.542262
1471, 937.497775, 1458.410591, 962.786060, 937.497775
1481, 981.931829, 1457.747530, 1012.508308, 981.931829
1491, 1021.237155, 1457.406947, 1052.878720, 1021.237155
1501, 991.950697, 1476.634622, 1022.666772, 991.950697
1511, 993.329377, 1479.304668, 1021.628684, 993.329377
1521, 1045.779391, 1501.201051, 1075.304440, 1045.779391
1531, 1000.379069, 1503.378398, 1029.625807, 1000.379069
1541, 950.482637, 1523.929666, 982.826890, 950.482637
1551, 1008.225492, 1523.926251, 1040.159840, 1008.225492
1561, 1071.527925, 1524.078708, 1092.982260, 1071.527925
1571, 993.369354, 1545.572531, 1028.652146, 993.369354
1581, 1002.604883, 1548.443859, 1043.318588, 1002.604883
1591, 1050.078844, 1572.709040, 1089.016772, 1050.078844
1601, 1070.737379, 1575.893203, 1098.828424, 1070.737379
1611, 1036.678961, 1577.885122, 1067.702363, 1036.678961
1621, 1018.025480, 1600.292977, 1059.462689, 1018.025480
1631, 1036.212531, 1600.759835, 1083.255367, 1036.212531
