Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
101, 95.333273, 100.815791, 99.683397, 95.333273
201, 179.295230, 200.067192, 195.844418, 179.295230
301, 256.719233, 297.938264, 290.018574, 256.719233
401, 317.904950, 395.546646, 380.300548, 317.904950
501, 391.271489, 485.272179, 468.744417, 391.271489
601, 442.741406, 585.865999, 557.994524, 442.741406
701, 499.969722, 646.997214, 639.956609, 499.969722
801, 530.748149, 738.120180, 721.834717, 530.748149
901, 569.608943, 850.665823, 799.112414, 569.608943
1001, 662.772833, 968.636668, 879.370362, 662.772833
1101, 640.872073, 1072.346337, 952.218346, 640.872073
1201, 636.660185, 1140.713473, 1040.684849, 636.660185
1301, 692.007839, 1181.520285, 1096.214874, 692.007839
1401, 728.187984, 1192.440082, 1150.754387, 728.187984
1501, 841.583416, 1222.764296, 1245.049759, 841.583416
1601, 768.023267, 1261.399163, 1342.155664, 768.023267
1701, 865.776779, 1303.142739, 1365.685849, 865.776779
1801, 818.258436, 1340.804847, 1433.669310, 818.258436
1901, 942.827164, 1400.895778, 1451.041145, 942.827164
2001, 776.918608, 1461.084439, 1579.577577, 776.918608
2101, 898.916714, 1516.956787, 1582.789143, 898.916714
2201, 851.138203, 1565.219377, 1677.264285, 851.138203
2301, 864.023999, 1640.544033, 1741.537513, 864.023999
2401, 878.926598, 1699.535253, 1823.306562, 878.926598
2501, 811.926847, 1774.726520, 1866.210085, 811.926847
2601, 950.803316, 1837.775051, 1918.119136, 950.803316
2701, 1022.498106, 1859.667898, 1889.786234, 1022.498106
2801, 827.566921, 1947.549443, 2072.597855, 827.566921
2901, 944.197088, 2032.126728, 2065.142458, 944.197088
3001, 868.331192, 2094.680407, 2189.966389, 868.331192
3101, 925.398271, 2127.024428, 2259.346245, 925.398271
3201, 949.091105, 2186.829618, 2403.218128, 949.091105
3301, 933.061069, 2280.393665, 2154.297653, 933.061069
3401, 1111.130807, 2368.347726, 2314.412754, 1111.130807
3501, 1205.134123, 2444.116026, 2493.894013, 1205.134123
3601, 1024.953248, 2504.987906, 2279.336387, 1024.953248
3701, 855.751954, 2504.795550, 2428.438423, 855.751954
3801, 1349.129744, 2590.122183, 2549.040282, 1349.129744
3901, 776.969254, 2702.537776, 2472.167186, 776.969254
4001, 1055.651560, 2826.405585, 2591.585783, 1055.651560
4101, 1117.651330, 2870.253144, 2550.431215, 1117.651330
4201, 659.233416, 2980.760046, 2736.505590, 659.233416
4301, 1044.739274, 2953.006708, 2707.370641, 1044.739274
4401, 883.843574, 3068.738863, 2653.388038, 883.843574
4501, 930.612576, 3056.092833, 2747.698431, 930.612576
4601, 1246.282125, 3158.585772, 2731.330012, 1246.282125
4701, 1073.891906, 3182.296892, 3018.658879, 1073.891906
4801, 843.652583, 3364.531715, 3303.685360, 843.652583
4901, 1167.823304, 3384.017413, 2713.129336, 1167.823304
5001, 1133.162165, 3545.820280, 2899.872807, 1133.162165
5101, 790.245818, 3592.764552, 2923.841921, 790.245818
5201, 716.965897, 3634.464193, 2893.301182, 716.965897
5301, 970.029598, 3776.574247, 3468.235984, 970.029598
5401, 1241.790038, 3731.192587, 3307.638637, 1241.790038
5501, 1192.796728, 3691.634532, 3184.640256, 1192.796728
5601, 916.885077, 3850.063927, 3415.682552, 916.885077
5701, 1024.107838, 3835.488329, 3166.435969, 1024.107838
5801, 915.059340, 3820.515792, 2862.307399, 915.059340
5901, 1071.371365, 4006.495899, 2850.454852, 1071.371366
6001, 1116.096449, 4041.433762, 3359.098073, 1116.096449
