Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.955559, 11.000864, 10.962205, 10.955559
21, 20.836917, 21.003060, 20.859249, 20.836917
31, 30.649418, 31.005759, 30.698428, 30.649418
41, 40.428253, 40.999188, 40.506694, 40.428253
51, 50.086699, 51.014271, 50.204513, 50.086699
61, 59.727369, 61.006713, 59.891162, 59.727369
71, 69.251699, 71.012845, 69.479478, 69.251699
81, 78.732997, 81.021717, 79.010821, 78.732997
91, 88.152088, 91.047257, 88.469396, 88.152088
101, 97.676652, 100.992995, 98.043761, 97.676652
111, 106.797241, 111.067617, 107.249557, 106.797241
121, 116.092209, 121.025530, 116.584015, 116.092209
131, 125.317103, 131.017883, 125.869560, 125.317103
141, 134.762889, 140.990501, 135.367017, 134.762889
151, 144.006070, 150.993451, 144.569123, 144.006070
161, 152.795493, 160.966879, 153.540014, 152.795493
171, 161.815506, 171.118692, 162.612412, 161.815506
181, 170.445971, 181.041550, 171.526424, 170.445971
191, 179.460881, 191.062714, 180.466154, 179.460881
201, 188.121060, 201.039897, 189.205703, 188.121060
211, 196.984351, 211.196268, 198.337522, 196.984351
221, 205.892863, 221.045485, 207.236599, 205.892863
231, 215.062423, 231.230895, 216.644442, 215.062423
241, 223.022593, 241.266674, 224.590580, 223.022593
251, 231.862269, 251.014696, 233.571936, 231.862269
261, 240.923005, 260.855168, 242.676455, 240.923005
271, 248.533151, 270.748432, 250.489300, 248.533151
281, 257.716452, 281.278770, 259.490489, 257.716452
291, 265.092363, 291.129436, 267.694763, 265.092363
301, 272.987226, 300.826122, 275.270273, 272.987226
311, 282.500216, 311.009803, 285.429303, 282.500216
321, 290.391904, 320.971776, 293.334174, 290.391904
331, 298.224315, 330.559277, 301.032738, 298.224315
341, 306.791773, 340.650463, 310.494573, 306.791773
351, 314.469292, 351.248892, 317.210342, 314.469292
361, 325.307300, 360.329940, 328.677088, 325.307300
371, 330.815793, 370.888580, 334.102468, 330.815793
381, 341.890682, 380.801663, 345.026198, 341.890682
391, 346.952972, 391.184028, 350.369592, 346.952972
401, 355.909676, 400.801261, 360.343831, 355.909676
411, 362.954887, 410.683451, 367.744507, 362.954887
421, 368.500999, 420.939966, 372.144151, 368.500999
431, 379.259254, 430.222417, 382.924188, 379.259254
441, 387.133928, 441.423810, 392.103824, 387.133928
451, 395.477546, 451.284117, 399.674380, 395.477546
461, 398.740401, 461.584740, 402.877716, 398.740401
471, 411.665114, 470.568904, 416.316417, 411.665114
481, 417.546964, 481.687206, 422.164485, 417.546964
491, 423.530028, 491.189952, 428.279119, 423.530028
501, 429.190351, 500.991417, 433.952968, 429.190351
511, 441.092859, 511.049094, 446.667218, 441.092859
521, 449.365499, 521.566286, 454.183802, 449.365499
531, 452.526517, 530.329584, 457.142402, 452.526517
541, 459.296668, 541.383478, 464.156831, 459.296668
551, 468.210932, 550.434465, 474.277374, 468.210932
561, 479.855241, 559.741818, 486.944616, 479.855241
571, 489.279033, 569.310542, 493.455213, 489.279033
581, 494.328412, 579.187859, 501.004824, 494.328412
591, 501.521007, 589.227653, 508.617607, 501.521007
601, 505.035530, 599.978730, 510.375868, 505.035530
611, 518.106747, 610.678366, 524.617042, 518.106747
621, 518.549936, 618.551832, 525.026051, 518.549936
631, 526.231126, 629.942178, 534.016345, 526.231126
641, 532.560386, 638.194054, 539.818099, 532.560386
651, 540.840782, 649.913187, 549.534532, 540.840782
661, 553.617225, 658.781028, 560.934573, 553.617225
671, 556.891135, 668.052815, 564.513869, 556.891135
681, 559.570696, 680.747886, 567.745580, 559.570696
691, 572.825815, 690.227683, 578.906427, 572.825815
701, 578.754210, 700.277684, 585.004033, 578.754210
711, 578.406747, 710.324562, 587.053455, 578.406747
721, 588.904258, 720.187257, 595.879739, 588.904258
731, 590.994013, 730.480924, 600.946906, 590.994013
741, 604.221246, 741.164550, 613.834333, 604.221246
751, 607.089046, 747.707067, 616.149919, 607.089046
761, 617.749210, 758.227063, 625.905133, 617.749210
