Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
101, 98.371469, 101.003221, 99.152212, 98.371469
201, 191.003048, 201.160597, 193.850823, 191.003048
301, 277.480905, 301.057934, 283.781165, 277.480905
401, 362.842400, 401.246771, 373.088878, 362.842400
501, 442.293523, 501.930413, 460.189072, 442.293523
601, 513.936651, 601.473319, 535.880601, 513.936651
701, 595.368572, 702.477510, 621.218293, 595.368572
801, 664.245686, 804.478266, 697.514771, 664.245686
901, 720.456323, 905.849591, 768.077724, 720.456323
1001, 785.553228, 1006.210801, 841.370494, 785.553228
1101, 858.483299, 1105.471686, 925.944450, 858.483299
1201, 891.104686, 1197.304900, 966.092393, 891.104686
1301, 963.830437, 1308.316384, 1030.445716, 963.830437
1401, 995.614284, 1399.355921, 1077.686861, 995.614284
1501, 1072.061725, 1501.720980, 1171.225471, 1072.061725
1601, 1141.435609, 1600.957262, 1236.315072, 1141.435609
1701, 1171.553724, 1708.509962, 1302.382694, 1171.553724
1801, 1225.586980, 1799.897830, 1346.538897, 1225.586980
1901, 1232.097312, 1908.235971, 1374.396781, 1232.097312
2001, 1244.041417, 2018.684139, 1401.672613, 1244.041417
2101, 1322.224695, 2094.302612, 1468.535577, 1322.224695
2201, 1392.291731, 2194.579263, 1590.559957, 1392.291731
2301, 1380.409153, 2299.373818, 1543.585790, 1380.409153
2401, 1481.658282, 2395.120463, 1664.840952, 1481.658282
2501, 1405.643260, 2514.945601, 1583.226202, 1405.643260
2601, 1432.047017, 2576.923910, 1613.761023, 1432.047017
2701, 1640.755743, 2645.599459, 1842.158664, 1640.755743
2801, 1745.866404, 2814.962155, 1888.205600, 1745.866404
2901, 1424.385715, 2910.064990, 1709.531664, 1424.385715
3001, 1705.831126, 2974.806751, 1937.925232, 1705.831126
3101, 1662.467525, 3047.374202, 1920.341991, 1662.467525
3201, 1657.055672, 3142.256968, 1902.564353, 1657.055672
3301, 1862.698862, 3255.484009, 2096.987559, 1862.698862
3401, 1708.193035, 3369.871150, 2034.364035, 1708.193035
3501, 1885.895456, 3485.489379, 2031.814910, 1885.895456
3601, 1751.939709, 3616.133255, 2030.306274, 1751.939709
3701, 1957.470849, 3623.574162, 2244.801653, 1957.470849
3801, 1957.580282, 3772.818188, 2296.262946, 1957.580282
3901, 1854.992087, 3927.392046, 2155.490937, 1854.992087
4001, 2044.555574, 4086.710288, 2403.222731, 2044.555574
4101, 1856.370909, 4072.338615, 2206.819878, 1856.370909
4201, 1800.707701, 4217.000672, 2074.803733, 1800.707701
4301, 1659.749453, 4183.479430, 1955.419894, 1659.749453
4401, 1821.480867, 4350.028271, 2141.398467, 1821.480867
4501, 1861.730474, 4329.330410, 2152.506030, 1861.730474
4601, 2367.796102, 4518.261885, 2714.795523, 2367.796102
4701, 2435.287398, 4517.504017, 2791.404139, 2435.287398
4801, 2246.288960, 4763.538741, 2547.234534, 2246.288960
4901, 1969.833494, 4790.754378, 2426.144764, 1969.833494
5001, 2042.186866, 5061.428209, 2421.296506, 2042.186866
5101, 2190.891448, 5073.655554, 2535.412736, 2190.891448
5201, 2149.337264, 5077.734516, 2501.764231, 2149.337264
5301, 1934.097980, 5348.747560, 2300.070034, 1934.097980
5401, 1949.221363, 5334.044614, 2275.380276, 1949.221363
5501, 2329.375829, 5325.178070, 2573.843039, 2329.375829
5601, 2327.886244, 5642.162400, 2499.771093, 2327.886244
5701, 1881.155896, 5647.069791, 2200.366628, 1881.155896
5801, 1785.252187, 5641.578435, 2262.043526, 1785.252187
5901, 1919.264059, 5967.084379, 2440.383823, 1919.264059
6001, 2141.182085, 5933.384137, 2673.557410, 2141.182084
6101, 2188.302499, 5907.581464, 2674.221534, 2188.302499
6201, 2191.202791, 5890.473489, 2713.090417, 2191.202791
6301, 2130.805146, 6274.688382, 2611.285108, 2130.805146
6401, 2217.650169, 6274.216093, 2777.097009, 2217.650169
6501, 2485.722830, 6278.025676, 2957.444352, 2485.722830
6601, 2778.536438, 6276.416814, 3165.602067, 2778.536438
6701, 2747.758400, 6716.191911, 2995.555331, 2747.758400
6801, 2450.005920, 6702.263788, 2825.437392, 2450.005920
6901, 2454.540560, 6685.194420, 2870.393898, 2454.540560
7001, 2388.692046, 6660.214562, 2706.564577, 2388.692046
7101, 2143.134328, 6634.643148, 2485.542771, 2143.134328
7201, 2015.201859, 7117.326479, 2295.856809, 2015.201859
7301, 1973.643876, 7086.997937, 2196.737575, 1973.643876
7401, 1836.902803, 7053.530312, 2038.825732, 1836.902803
7501, 1739.213877, 7020.458714, 1955.202391, 1739.213877
7601, 1464.597617, 6991.961840, 1845.850037, 1464.597617
7701, 1475.932072, 7548.809600, 1846.519041, 1475.932072
7801, 1795.559074, 7525.561553, 2248.524348, 1795.559074
7901, 2075.179809, 7503.960748, 2587.819760, 2075.179809
8001, 2384.086009, 7487.595267, 2962.739148, 2384.086009
8101, 2601.420022, 7475.274354, 3136.007605, 2601.420022
8201, 2784.946629, 7463.438776, 3226.632768, 2784.946629
8301, 2867.561585, 7455.344013, 3201.074044, 2867.561585
8401, 2835.948006, 8129.594687, 3088.005881, 2835.948006
8501, 2681.947799, 8133.053548, 3021.865593, 2681.947799
8601, 2483.235844, 8150.528568, 2964.096360, 2483.235844
8701, 2448.895076, 8179.441571, 3025.021298, 2448.895076
8801, 2454.007435, 8211.495868, 3034.530046, 2454.007435
8901, 2597.057700, 8243.820176, 3170.979553, 2597.057700
9001, 2634.457463, 8276.975559, 3258.326427, 2634.457463
9101, 2848.176075, 9142.708065, 3485.727306, 2848.176075
9201, 2901.904939, 9181.779463, 3344.189828, 2901.904939
9301, 2975.556205, 9223.584796, 3219.203512, 2975.556205
9401, 2789.989876, 9267.943520, 2931.587545, 2789.989876
9501, 2352.361932, 9311.390771, 2349.010692, 2352.361932
9601, 2041.768737, 9356.879673, 1995.518509, 2041.768737
9701, 1657.728048, 9398.716506, 1729.673157, 1657.728048
9801, 1474.340980, 9433.440338, 1669.474221, 1474.340980
9901, 1550.749398, 9458.051672, 1819.627711, 1550.749398
10001, 1624.774703, 10527.220805, 1983.092434, 1624.774703
10101, 1616.702930, 10539.127324, 2098.754320, 1616.702930
10201, 1589.850834, 10545.968494, 2121.717780, 1589.850834
10301, 1638.889730, 10551.988362, 2233.273226, 1638.889730
10401, 1711.344267, 10550.932242, 2265.904799, 1711.344267
10501, 1615.475663, 10543.452345, 2152.545508, 1615.475663
10601, 1569.528680, 10535.402582, 2106.870623, 1569.528680
10701, 1513.540470, 10529.613021, 2004.589532, 1513.540469
10801, 1488.703561, 10526.684603, 1871.290295, 1488.703561
10901, 1624.556205, 10522.662278, 1876.351573, 1624.556205
11001, 1679.054907, 10517.178582, 1837.109240, 1679.054907
11101, 1686.414986, 10511.386092, 1722.266017, 1686.414986
11201, 1683.552278, 11815.390408, 1619.423295, 1683.552278
11301, 1305.978795, 11798.721954, 1292.949324, 1305.978795
11401, 923.047677, 11775.359609, 1085.067239, 923.047677
11501, 848.655591, 11741.224145, 1123.409705, 848.655591
11601, 854.447664, 11696.017465, 1222.702438, 854.447664
11701, 1007.275627, 11640.098844, 1449.579102, 1007.275627
11801, 1243.547032, 11575.834030, 1787.953505, 1243.547032
11901, 1477.680157, 11506.913804, 2144.843233, 1477.680157
12001, 1706.530360, 11440.547930, 2449.192125, 1706.530360
12101, 1778.455258, 11376.917334, 2566.485091, 1778.455258
12201, 1765.619052, 11315.616489, 2563.838733, 1765.619052
12301, 1788.628878, 11257.050644, 2523.689433, 1788.628878
12401, 1946.003806, 11200.694826, 2668.487520, 1946.003806
12501, 2279.831091, 12740.415755, 2933.320633, 2279.831091
12601, 2240.752148, 12685.581974, 2882.092119, 2240.752148
12701, 2233.922900, 12636.122602, 2850.855025, 2233.922900
12801, 2214.348266, 12592.651044, 2783.507947, 2214.348266
12901, 2234.052149, 12553.879024, 2710.549555, 2234.052149
13001, 2292.984751, 12517.232016, 2665.873334, 2292.984751
13101, 2288.297029, 12480.473345, 2582.489139, 2288.297029
13201, 2164.184386, 12443.427533, 2417.877608, 2164.184386
13301, 2138.645259, 12406.889536, 2282.653578, 2138.645259
13401, 2134.742291, 12371.219029, 2244.444693, 2134.742291
13501, 1991.808493, 12334.771292, 2117.536228, 1991.808493
13601, 1874.243922, 12297.491434, 2015.843652, 1874.243922
13701, 1872.993004, 12263.202501, 2054.100671, 1872.993004
13801, 1868.169243, 12229.344819, 2073.794402, 1868.169243
13901, 1793.200826, 12194.458619, 2038.900555, 1793.200826
14001, 1691.681649, 12161.141745, 1927.113952, 1691.681649
14101, 1583.654784, 12128.826757, 1846.961270, 1583.654784
14201, 1475.647663, 12096.268361, 1762.864239, 1475.647663
14301, 1320.311398, 14075.759081, 1622.616082, 1320.311398
14401, 1263.613218, 14045.085334, 1635.849850, 1263.613218
14501, 1288.903439, 14009.803537, 1728.016280, 1288.903439
14601, 1331.508121, 13968.545463, 1808.160415, 1331.508121
14701, 1436.435045, 13920.980832, 1935.902050, 1436.435045
14801, 1538.646057, 13869.956336, 2087.169947, 1538.646057
14901, 1713.752849, 13818.058862, 2265.411635, 1713.752849
15001, 1779.468423, 13767.229517, 2311.839167, 1779.468423
15101, 1657.657241, 13718.957539, 2202.563190, 1657.657241
15201, 1588.642027, 13672.249294, 2159.136270, 1588.642027
15301, 1498.572523, 13625.136748, 2038.449798, 1498.572523
15401, 1503.036536, 13579.244140, 2011.060570, 1503.036536
15501, 1608.314703, 13533.234134, 2097.397496, 1608.314703
15601, 1745.571122, 13486.841084, 2186.844978, 1745.571122
15701, 1727.720668, 13442.132319, 2192.622524, 1727.720668
15801, 1712.845934, 13398.709983, 2190.913613, 1712.845934
15901, 1699.792148, 13358.356739, 2183.513760, 1699.792148
16001, 1683.920905, 13320.225291, 2180.207743, 1683.920905
16101, 1696.140652, 13283.028215, 2139.716503, 1696.140652
16201, 1709.721417, 13246.627230, 2065.479654, 1709.721417
16301, 1851.235256, 13210.211644, 2041.359662, 1851.235256
16401, 1983.774062, 13174.642387, 2081.408512, 1983.774062
16501, 2001.601614, 13142.141999, 2087.439978, 2001.601614
16601, 1947.722966, 13113.230896, 1957.103008, 1947.722966
16701, 1968.269174, 15697.344292, 1695.419437, 1968.269174
16801, 1968.990985, 15673.477368, 1640.775427, 1968.990985
16901, 1803.071344, 15652.725210, 1423.682595, 1803.071344
17001, 1457.795592, 15635.946405, 1114.840918, 1457.795592
17101, 1118.494799, 15627.130732, 890.405729, 1118.494799
17201, 941.534732, 15624.065040, 776.659423, 941.534732
17301, 800.052074, 15624.956848, 683.033939, 800.052074
17401, 574.588424, 15629.102134, 539.127623, 574.588424
17501, 383.268396, 15637.435288, 412.869487, 383.268396
17601, 287.220875, 15648.508351, 358.069980, 287.220875
17701, 266.224045, 15660.671310, 357.343841, 266.224045
17801, 276.410275, 15673.276151, 369.616970, 276.410275
17901, 266.976979, 15687.571817, 368.555348, 266.976979
18001, 270.204176, 15703.884077, 369.600781, 270.204176
18101, 300.949135, 15721.310644, 386.209171, 300.949135
18201, 323.286478, 15738.514699, 398.247200, 323.286478
18301, 342.642077, 15755.024179, 405.230208, 342.642077
18401, 351.582345, 15772.731642, 393.218442, 351.582345
18501, 376.533554, 15792.802924, 396.931803, 376.533554
18601, 398.027984, 15815.042227, 413.082743, 398.027984
18701, 400.285880, 15839.818228, 436.340215, 400.285880
18801, 436.977830, 15866.818121, 512.145463, 436.977830
18901, 481.555566, 15895.188792, 587.551740, 481.555566
19001, 575.553271, 15924.625128, 718.725904, 575.553271
19101, 741.507746, 15956.173953, 916.137959, 741.507746
19201, 917.222166, 15988.844649, 1130.493836, 917.222166
19301, 1074.113260, 16021.105841, 1359.898462, 1074.113260
19401, 1194.479126, 16050.450033, 1560.510568, 1194.479126
19501, 1298.204095, 16075.733456, 1724.474951, 1298.204095
19601, 1424.830759, 16095.370702, 1919.179288, 1424.830759
19701, 1628.222192, 16109.721901, 2188.515878, 1628.222192
19801, 1791.454028, 16117.839582, 2388.752699, 1791.454028
19901, 1943.157865, 16117.690156, 2571.673615, 1943.157865
20001, 2201.163990, 20098.091210, 2924.103255, 2201.163990
20101, 2273.780523, 20083.474846, 3058.227351, 2273.780523
20201, 2324.389795, 20056.517680, 3195.331195, 2324.389795
20301, 2377.179083, 20020.346781, 3295.719061, 2377.179083
20401, 2404.343546, 19976.885961, 3365.743724, 2404.343546
20501, 2490.416199, 19927.146410, 3492.328849, 2490.416199
20601, 2649.710218, 19868.422351, 3682.630075, 2649.710218
20701, 2762.820695, 19799.283455, 3763.528949, 2762.820695
20801, 2802.495985, 19718.095220, 3762.946348, 2802.495985
20901, 2728.576750, 19627.539724, 3679.950283, 2728.576750
21001, 2655.827320, 19531.467195, 3585.032167, 2655.827320
21101, 2605.332539, 19433.816409, 3514.470949, 2605.332539
21201, 2547.188997, 19336.151526, 3432.070677, 2547.188997
21301, 2379.978825, 19238.649962, 3258.055672, 2379.978825
21401, 2217.878658, 19142.105168, 3047.206805, 2217.878658
21501, 2135.241457, 19045.718636, 2903.742400, 2135.241457
21601, 2109.521262, 18948.359879, 2820.582023, 2109.521262
21701, 2123.490687, 18849.227123, 2756.881695, 2123.490687
21801, 2150.891856, 18747.904204, 2728.512581, 2150.891856
21901, 2062.994083, 18645.773206, 2596.210240, 2062.994083
22001, 1970.402110, 18543.588300, 2472.524707, 1970.402110
22101, 1910.427111, 18441.124266, 2360.554905, 1910.427111
22201, 1863.969932, 18338.076179, 2227.236165, 1863.969932
22301, 1864.233952, 18234.004122, 2161.727380, 1864.233952
22401, 1801.501278, 18128.251664, 2094.218095, 1801.501278
22501, 1671.604259, 18021.098725, 1942.083406, 1671.604259
22601, 1472.238315, 17915.205823, 1754.904089, 1472.238315
22701, 1232.163009, 17812.896603, 1570.177932, 1232.163009
22801, 1148.012511, 17712.847101, 1506.859427, 1148.012511
22901, 1143.668650, 17611.697675, 1517.775625, 1143.668650
23001, 1131.051646, 17511.028843, 1514.775986, 1131.051646
23101, 1114.855945, 17409.643705, 1531.342139, 1114.855944
23201, 1043.028067, 17306.262500, 1512.318920, 1043.028067
23301, 999.731491, 17199.443431, 1495.180797, 999.731491
23401, 969.085353, 17090.357045, 1507.164979, 969.085353
