Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
101, 98.334119, 100.955852, 100.802535, 98.334119
201, 190.745861, 200.714305, 200.330443, 190.745861
301, 279.527619, 300.014848, 299.263535, 279.527619
401, 365.911335, 399.168512, 398.289472, 365.911335
501, 447.485052, 496.975091, 497.166716, 447.485052
601, 528.340735, 596.306500, 593.864458, 528.340735
701, 602.602925, 688.816530, 693.244068, 602.602925
801, 680.654688, 787.329382, 792.481961, 680.654688
901, 767.340715, 885.063413, 890.180810, 767.340715
1001, 814.829602, 983.323638, 986.785865, 814.829602
1101, 905.950191, 1078.086356, 1083.903188, 905.950191
1201, 958.957528, 1174.654841, 1174.501313, 958.957528
1301, 1030.831741, 1266.956884, 1278.942432, 1030.831741
1401, 1072.427362, 1347.382478, 1368.083695, 1072.427362
1501, 1128.921915, 1440.012534, 1459.941264, 1128.921915
1601, 1210.873967, 1526.294462, 1556.549892, 1210.873967
1701, 1284.556015, 1597.329154, 1653.222859, 1284.556015
1801, 1299.076839, 1667.621358, 1745.215034, 1299.076839
1901, 1342.186129, 1748.817700, 1848.357514, 1342.186129
2001, 1456.708993, 1828.127979, 1962.665871, 1456.708993
2101, 1444.192728, 1900.945338, 2021.095610, 1444.192728
2201, 1491.791114, 1973.684267, 2122.320035, 1491.791114
2301, 1574.983655, 2064.810072, 2204.928165, 1574.983655
2401, 1545.510188, 2154.679138, 2308.406268, 1545.510188
2501, 1622.168345, 2213.298013, 2408.872883, 1622.168345
2601, 1751.236343, 2233.679278, 2471.055514, 1751.236343
2701, 1757.408670, 2283.154612, 2538.622575, 1757.408670
2801, 1896.630567, 2366.419009, 2670.435480, 1896.630567
2901, 1895.250634, 2415.540584, 2745.209752, 1895.250634
3001, 1860.833442, 2467.468735, 2803.227979, 1860.833442
3101, 2041.538036, 2544.561469, 2930.624183, 2041.538036
3201, 1863.185323, 2643.178678, 3023.507717, 1863.185323
3301, 1915.242124, 2730.366044, 3072.853865, 1915.242124
3401, 1987.693097, 2799.142129, 3162.439586, 1987.693097
3501, 2161.584137, 2874.386015, 3299.160197, 2161.584137
3601, 2066.731883, 2970.088413, 3420.823090, 2066.731883
3701, 2452.725256, 3010.925400, 3403.853531, 2452.725256
3801, 2210.156623, 3130.628623, 3494.832927, 2210.156623
3901, 2404.068479, 3253.632498, 3678.292085, 2404.068479
4001, 2300.509239, 3414.435667, 3855.118994, 2300.509239
4101, 2430.776337, 3475.410408, 3830.187838, 2430.776337
4201, 2274.220619, 3613.617451, 3929.243419, 2274.220619
4301, 2469.209649, 3647.000358, 3886.219910, 2469.209649
4401, 2235.510508, 3751.718674, 3993.878852, 2235.510508
4501, 2134.239613, 3787.375059, 4083.229127, 2134.239613
4601, 2238.693704, 3897.027830, 4296.466828, 2238.693704
4701, 2399.900021, 3931.154075, 4355.305192, 2399.900021
4801, 2596.813208, 4047.777966, 4560.760731, 2596.813208
4901, 2560.504318, 4043.239865, 4431.078136, 2560.504318
5001, 2731.930579, 4147.333406, 4612.913058, 2731.930579
5101, 2882.576175, 4149.790769, 4588.555121, 2882.576176
5201, 2678.755066, 4154.054976, 4578.995646, 2678.755066
5301, 2498.844951, 4252.651842, 4911.550347, 2498.844951
5401, 2511.444013, 4249.440184, 4902.009527, 2511.444013
5501, 2451.679022, 4258.030094, 4881.554017, 2451.679022
5601, 2785.423517, 4350.001240, 5289.819083, 2785.423517
5701, 2800.195654, 4306.489775, 5304.046003, 2800.195654
5801, 2682.587408, 4277.422312, 5197.227247, 2682.587408
5901, 2357.043568, 4377.489630, 5391.655638, 2357.043568
6001, 2197.881505, 4355.100201, 5326.834041, 2197.881505
6101, 2569.437362, 4317.056938, 5241.520300, 2569.437362
6201, 2998.577648, 4279.827196, 5271.367728, 2998.577648
6301, 3103.518397, 4367.303189, 5673.263989, 3103.518397
