Block_size, U, C_V, P, R
1681, 1025.380919, 1561.307963, 1088.194972, 1025.380919
1691, 999.940832, 1564.488071, 1032.667128, 999.940832
1701, 967.882575, 1586.604117, 995.861497, 967.882575
1711, 933.765377, 1588.847079, 978.910180, 933.765377
1721, 928.281949, 1590.905693, 985.270994, 928.281949
1731, 961.856151, 1614.474946, 1014.545096, 961.856151
1741, 952.664835, 1617.187284, 989.981577, 952.664835
1751, 910.579448, 1618.726287, 952.982614, 910.579448
1761, 985.835413, 1642.012885, 1027.856984, 985.835413
1771, 1066.915617, 1644.049940, 1099.142202, 1066.915617
1781, 976.076771, 1647.012501, 1019.958152, 976.076771
1791, 908.241698, 1671.329903, 951.359755, 908.241698
1801, 948.548238, 1672.227545, 1003.964008, 948.548238
1811, 1014.733204, 1672.502933, 1060.784376, 1014.733204
1821, 997.335751, 1695.998898, 1032.975038, 997.335751
1831, 949.505560, 1699.143273, 995.922293, 949.505560
1841, 915.937504, 1701.420466, 968.078037, 915.937504
1851, 925.981161, 1701.424002, 992.757813, 925.981161
1861, 973.081196, 1725.076141, 1007.040791, 973.081196
1871, 1023.395609, 1725.978699, 1048.425188, 1023.395609
1881, 1017.829160, 1727.859058, 1073.849247, 1017.829160
1891, 1008.773247, 1754.034243, 1070.662173, 1008.773247
1901, 1042.161517, 1755.194941, 1110.753463, 1042.161517
1911, 1062.911638, 1756.295277, 1118.835008, 1062.911638
1921, 1034.306560, 1757.047974, 1081.228383, 1034.306560
1931, 1045.547527, 1783.708818, 1095.688369, 1045.547527
1941, 1060.721622, 1786.726130, 1109.690511, 1060.721622
1951, 1076.583938, 1789.421005, 1122.848610, 1076.583938
1961, 1063.354626, 1816.204615, 1122.814366, 1063.354626
1971, 1018.988635, 1818.269531, 1080.269148, 1018.988635
1981, 1054.961123, 1820.383491, 1103.953071, 1054.961123
1991, 1112.373518, 1823.305910, 1171.036522, 1112.373518
2001, 1076.216727, 1853.991967, 1138.668587, 1076.216727
2011, 1002.993465, 1858.664222, 1043.956186, 1002.993465
2021, 970.095860, 1860.929256, 1015.240898, 970.095860
2031, 1009.061359, 1862.131865, 1064.962033, 1009.061359
2041, 1094.276840, 1890.998403, 1159.018811, 1094.276840
2051, 1065.369233, 1894.401699, 1138.273832, 1065.369233
2061, 1024.706207, 1899.356080, 1098.313876, 1024.706207
2071, 987.076605, 1904.577817, 1038.659816, 987.076605
2081, 1013.137410, 1907.611263, 1042.727083, 1013.137410
2091, 1068.711791, 1938.675657, 1124.794419, 1068.711791
2101, 1058.446134, 1940.432611, 1105.728971, 1058.446134
2111, 1033.413612, 1941.532902, 1085.542349, 1033.413612
2121, 1058.214529, 1943.101277, 1107.541984, 1058.214529
2131, 1109.697869, 1976.254886, 1139.420573, 1109.697869
2141, 1098.298057, 1980.134926, 1116.153052, 1098.298057
2151, 1016.181346, 1981.731460, 1053.887747, 1016.181346
2161, 1062.183133, 1981.377200, 1102.789544, 1062.183133
2171, 1091.834031, 1981.094352, 1140.097179, 1091.834031
2181, 1144.041088, 2013.450838, 1214.419974, 1144.041088
2191, 1145.746172, 2016.330241, 1200.624803, 1145.746172
2201, 1092.204599, 2020.375492, 1155.540481, 1092.204599
2211, 1027.361423, 2024.797253, 1078.874417, 1027.361423
2221, 953.063502, 2027.856703, 994.485334, 953.063502
2231, 987.830558, 2062.549702, 1028.868173, 987.830558
2241, 994.332307, 2064.055497, 1042.939438, 994.332307
2251, 1027.699270, 2065.097095, 1077.367873, 1027.699270
2261, 1119.826932, 2065.674019, 1169.357163, 1119.826932
2271, 1185.391792, 2066.912636, 1259.469696, 1185.391792
2281, 1205.710323, 2104.456727, 1271.500581, 1205.710323
2291, 1195.772792, 2108.780094, 1249.934304, 1195.772792
2301, 1137.362708, 2111.968695, 1192.007024, 1137.362708
2311, 1117.200325, 2113.812346, 1143.692394, 1117.200325
2321, 1133.827841, 2115.283807, 1142.167474, 1133.827841
2331, 1220.030837, 2152.864058, 1239.378851, 1220.030837
2341, 1216.023883, 2155.134526, 1259.293219, 1216.023883
2351, 1202.821953, 2157.547259, 1265.010742, 1202.821953
2361, 1169.984482, 2160.501405, 1232.712609, 1169.984482
2371, 1124.587885, 2163.766047, 1179.292724, 1124.587885
2381, 1143.972074, 2203.736504, 1173.405922, 1143.972074
2391, 1238.892487, 2204.815921, 1265.430091, 1238.892487
2401, 1289.062450, 2205.413766, 1327.531452, 1289.062450
2411, 1240.670969, 2206.174240, 1289.723819, 1240.670969
2421, 1211.509131, 2207.284080, 1268.839618, 1211.509131
2431, 1182.561587, 2209.054316, 1246.472691, 1182.561587
2441, 1099.728355, 2250.475306, 1148.800853, 1099.728355
2451, 1034.840018, 2253.302799, 1051.735866, 1034.840018
2461, 1125.886041, 2255.938017, 1142.297937, 1125.886041
2471, 1195.464643, 2257.997344, 1239.981499, 1195.464643
2481, 1227.103682, 2258.151896, 1275.862061, 1227.103682
2491, 1180.659098, 2257.259536, 1216.997927, 1180.659098
2501, 1125.190727, 2297.088127, 1165.866798, 1125.190727
2511, 1139.885253, 2296.919645, 1184.076597, 1139.885253
2521, 1150.962202, 2297.329866, 1190.715554, 1150.962202
2531, 1109.755831, 2298.764161, 1157.072279, 1109.755831
2541, 1131.825365, 2301.228725, 1199.581806, 1131.825365
2551, 1188.959828, 2304.532604, 1261.648780, 1188.959828
2561, 1216.741148, 2307.777531, 1286.332976, 1216.741148
2571, 1226.846483, 2353.664014, 1291.408096, 1226.846483
2581, 1202.079721, 2355.654285, 1248.918231, 1202.079721
2591, 1155.818882, 2357.189306, 1186.443103, 1155.818882
2601, 1085.957083, 2358.754237, 1114.514746, 1085.957083
2611, 1072.576636, 2359.921063, 1097.874445, 1072.576636
2621, 1069.876730, 2361.054859, 1099.276072, 1069.876730
2631, 1033.070369, 2362.794084, 1076.336571, 1033.070369
2641, 1051.063042, 2411.117910, 1100.655100, 1051.063042
2651, 1098.365438, 2415.558607, 1136.818701, 1098.365438
2661, 1119.455127, 2421.036526, 1148.404127, 1119.455127
2671, 1132.625734, 2426.942175, 1175.933882, 1132.625734
2681, 1108.926755, 2431.789189, 1161.962971, 1108.926755
2691, 1106.955203, 2434.248318, 1160.201874, 1106.955203
2701, 1128.046862, 2435.660181, 1194.456063, 1128.046862
2711, 1200.902489, 2485.472548, 1278.090043, 1200.902489
2721, 1242.760807, 2487.841454, 1332.745678, 1242.760807
2731, 1252.962294, 2491.099592, 1337.049224, 1252.962294
2741, 1277.159953, 2495.315569, 1345.685511, 1277.159953
2751, 1288.761614, 2500.139010, 1332.472068, 1288.761614
2761, 1250.078935, 2505.458703, 1272.225981, 1250.078935
2771, 1212.957113, 2511.262418, 1220.994993, 1212.957113
2781, 1144.119629, 2568.069291, 1163.356404, 1144.119629
2791, 1129.338652, 2574.911444, 1143.453172, 1129.338652
2801, 1184.027885, 2580.072729, 1203.416782, 1184.027885
2811, 1242.423257, 2583.999144, 1279.402730, 1242.423257
2821, 1269.887721, 2587.255810, 1308.135100, 1269.887721
2831, 1239.741989, 2589.757627, 1289.529541, 1239.741989
2841, 1199.272124, 2591.439012, 1287.085673, 1199.272124
2851, 1224.146809, 2593.223034, 1330.729359, 1224.146809
2861, 1226.010662, 2649.274036, 1326.649599, 1226.010662
2871, 1160.694802, 2652.843966, 1240.390141, 1160.694802
2881, 1154.803175, 2656.627381, 1228.361628, 1154.803175
2891, 1214.041509, 2660.992515, 1284.772642, 1214.041509
2901, 1259.584275, 2666.100194, 1334.628447, 1259.584275
2911, 1284.103400, 2671.648687, 1339.955062, 1284.103400
2921, 1281.004431, 2676.610963, 1314.717375, 1281.004431
2931, 1282.108601, 2679.657347, 1309.788670, 1282.108601
2941, 1283.284958, 2681.079245, 1308.875005, 1283.284958
2951, 1243.457853, 2740.002597, 1267.326159, 1243.457853
2961, 1168.955667, 2741.628037, 1197.521615, 1168.955667
2971, 1131.870163, 2742.480348, 1164.687130, 1131.870163
2981, 1126.795309, 2743.133907, 1164.982021, 1126.795309
2991, 1147.284326, 2743.775893, 1191.173862, 1147.284326
3001, 1188.559290, 2744.223800, 1259.392687, 1188.559290
3011, 1229.933230, 2744.698234, 1305.894688, 1229.933230
3021, 1292.098819, 2745.413059, 1367.707182, 1292.098819
3031, 1343.375749, 2806.833946, 1426.789981, 1343.375749
3041, 1323.316578, 2810.396794, 1405.887021, 1323.316578
3051, 1315.663101, 2814.007210, 1371.413548, 1315.663101
3061, 1296.478482, 2817.041445, 1327.574099, 1296.478482
3071, 1299.539921, 2818.835829, 1326.403309, 1299.539921
3081, 1278.528632, 2820.151098, 1295.645743, 1278.528632
3091, 1255.607713, 2821.534956, 1284.059513, 1255.607713
3101, 1241.461381, 2823.107718, 1275.613738, 1241.461381
3111, 1198.582033, 2824.425511, 1245.882031, 1198.582033
3121, 1209.230387, 2825.663849, 1263.306017, 1209.230387
3131, 1257.366951, 2891.096111, 1331.394641, 1257.366951
3141, 1267.157454, 2893.923591, 1350.744591, 1267.157454
3151, 1221.543380, 2896.933854, 1298.598017, 1221.543380
3161, 1185.198418, 2899.929583, 1251.174492, 1185.198418
3171, 1145.553796, 2903.118156, 1220.384615, 1145.553796
3181, 1166.031647, 2906.766153, 1245.078531, 1166.031647
3191, 1184.682391, 2910.532517, 1237.439896, 1184.682391
3201, 1192.302265, 2914.034285, 1223.644236, 1192.302265
3211, 1152.820924, 2917.006662, 1178.388749, 1152.820924
3221, 1099.174768, 2917.936080, 1131.510066, 1099.174768
3231, 1130.335651, 2984.964192, 1167.617494, 1130.335651
3241, 1183.768528, 2984.642835, 1226.214155, 1183.768528
3251, 1209.957043, 2984.178413, 1265.197572, 1209.957043
3261, 1235.817433, 2983.469621, 1289.634350, 1235.817433
3271, 1247.583882, 2983.131253, 1309.291762, 1247.583882
3281, 1252.271932, 2983.406974, 1306.958732, 1252.271932
3291, 1273.585666, 2984.205055, 1327.383414, 1273.585666
3301, 1275.776102, 2985.580755, 1325.907993, 1275.776102
3311, 1274.101348, 2987.509016, 1332.338572, 1274.101349
3321, 1287.519476, 2989.779000, 1351.854373, 1287.519476
3331, 1248.294857, 2992.437346, 1325.707757, 1248.294857
3341, 1288.857172, 3067.895039, 1385.970991, 1288.857172
3351, 1314.079971, 3073.689343, 1420.632550, 1314.079971
3361, 1295.507171, 3079.722471, 1390.451893, 1295.507171
3371, 1242.413793, 3085.734215, 1317.726277, 1242.413793
3381, 1176.166528, 3091.222703, 1232.314788, 1176.166528
3391, 1124.059522, 3094.912498, 1175.752843, 1124.059522
3401, 1096.208965, 3097.004106, 1144.746386, 1096.208965
3411, 1064.265986, 3098.313868, 1114.396714, 1064.265986
3421, 1041.714969, 3099.163513, 1091.150201, 1041.714969
3431, 1053.239700, 3099.208248, 1092.470064, 1053.239700
3441, 1080.622585, 3098.817268, 1116.022145, 1080.622585
3451, 1124.537617, 3174.548366, 1162.065806, 1124.537617
3461, 1143.486722, 3176.031509, 1179.379221, 1143.486722
3471, 1136.973123, 3177.760992, 1177.777295, 1136.973123
3481, 1156.557377, 3179.970141, 1201.425358, 1156.557377
3491, 1192.024162, 3182.849224, 1236.318924, 1192.024162
3501, 1192.807498, 3186.447362, 1256.160270, 1192.807498
3511, 1213.128537, 3190.670123, 1301.032779, 1213.128537
3521, 1298.428768, 3195.026869, 1404.405989, 1298.428768
3531, 1406.366336, 3199.104429, 1508.452480, 1406.366336
3541, 1422.898858, 3203.434795, 1522.928593, 1422.898858
3551, 1380.666548, 3207.916575, 1492.942839, 1380.666548
3561, 1344.269465, 3212.355397, 1444.929073, 1344.269465
3571, 1287.476253, 3215.864269, 1374.695246, 1287.476253
3581, 1266.364815, 3300.101552, 1343.918319, 1266.364815
3591, 1234.710327, 3301.554545, 1311.812267, 1234.710327
3601, 1208.429657, 3301.862496, 1286.921232, 1208.429657
3611, 1161.068193, 3301.881026, 1235.617021, 1161.068193
3621, 1120.167651, 3301.336103, 1168.514469, 1120.167651
3631, 1112.358633, 3300.545678, 1154.506703, 1112.358633
3641, 1122.887960, 3300.028655, 1155.761626, 1122.887960
3651, 1137.631399, 3299.638718, 1170.669857, 1137.631399
3661, 1150.531248, 3298.983261, 1192.197468, 1150.531248
3671, 1157.527947, 3297.970441, 1195.593508, 1157.527947
3681, 1204.381566, 3296.807071, 1243.671257, 1204.381566
3691, 1276.833923, 3295.557344, 1331.430686, 1276.833923
3701, 1341.865223, 3294.465101, 1421.218144, 1341.865223
3711, 1441.136356, 3380.392821, 1524.858085, 1441.136356
3721, 1474.318737, 3381.751023, 1528.599811, 1474.318737
3731, 1447.508104, 3383.543679, 1480.518156, 1447.508104
3741, 1409.862628, 3385.888628, 1438.539835, 1409.862628
3751, 1364.177823, 3388.348872, 1413.090105, 1364.177823
3761, 1318.403462, 3390.447411, 1370.769508, 1318.403462
3771, 1243.531617, 3392.228725, 1297.768778, 1243.531617
3781, 1177.947252, 3393.216246, 1234.872304, 1177.947252
3791, 1126.379093, 3392.813905, 1190.813183, 1126.379093
3801, 1107.152304, 3391.555052, 1179.067687, 1107.152304
3811, 1109.505870, 3389.851176, 1183.959807, 1109.505870
3821, 1129.359511, 3388.071699, 1198.644126, 1129.359511
3831, 1178.271121, 3385.900851, 1238.882087, 1178.271121
3841, 1237.179517, 3383.128757, 1306.664835, 1237.179517
3851, 1343.890786, 3470.934958, 1424.286207, 1343.890786
3861, 1398.674204, 3469.692249, 1485.862750, 1398.674204
3871, 1460.902917, 3468.844161, 1546.232406, 1460.902917
3881, 1506.851437, 3468.352561, 1591.304140, 1506.851437
3891, 1552.843597, 3468.299977, 1630.714800, 1552.843597
3901, 1617.254902, 3468.640495, 1682.659478, 1617.254902
3911, 1667.284787, 3469.125752, 1729.963283, 1667.284787
3921, 1667.153372, 3470.024168, 1734.328791, 1667.153372
3931, 1640.407536, 3471.685861, 1710.589728, 1640.407536
3941, 1612.514207, 3474.066958, 1674.729225, 1612.514207
3951, 1577.994018, 3476.880467, 1637.931942, 1577.994018
3961, 1546.416703, 3480.057013, 1590.825187, 1546.416703
3971, 1522.563598, 3483.795851, 1553.765334, 1522.563598
3981, 1476.540568, 3488.125555, 1492.479931, 1476.540568
3991, 1416.632385, 3492.703855, 1427.229588, 1416.632385
4001, 1392.779952, 3593.640575, 1404.358365, 1392.779952
4011, 1304.059135, 3599.865194, 1312.254897, 1304.059135
4021, 1253.092707, 3604.542279, 1259.593460, 1253.092707
4031, 1235.556499, 3607.157775, 1237.952612, 1235.556499
4041, 1231.257621, 3608.642778, 1237.677479, 1231.257621
