Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
101, 92.729827, 100.689464, 93.103858, 92.729827
201, 167.257143, 199.469334, 168.442727, 167.257143
301, 231.492586, 304.065268, 231.472866, 231.492586
401, 300.873895, 387.626066, 302.418016, 300.873895
501, 371.338512, 502.885805, 372.143653, 371.338512
601, 403.505001, 621.618736, 406.626851, 403.505001
701, 526.025849, 672.051031, 524.598724, 526.025849
801, 469.314240, 788.892685, 475.812596, 469.314240
901, 624.881883, 990.558137, 627.665038, 624.881883
1001, 420.377934, 963.868162, 427.875976, 420.377934
1101, 568.348881, 1109.476596, 581.412693, 568.348881
1201, 619.293399, 1071.894619, 628.189422, 619.293399
1301, 457.603277, 1053.190502, 459.082691, 457.603277
1401, 563.852222, 1367.131581, 563.899335, 563.852222
1501, 563.966423, 1436.086837, 567.188710, 563.966423
1601, 628.970076, 1466.071378, 636.449021, 628.970076
1701, 709.743979, 1475.487008, 714.577407, 709.743979
1801, 864.407692, 1781.925135, 864.249177, 864.407692
1901, 502.676567, 1809.526220, 502.994364, 502.676567
2001, 309.459055, 1778.192072, 306.884107, 309.459056
2101, 202.938744, 1675.114764, 200.324156, 202.938744
2201, 124.782380, 1519.203695, 119.977313, 124.782380
2301, 117.811071, 1356.167352, 114.161534, 117.811071
2401, 117.121194, 1212.654504, 109.406785, 117.121194
2501, 113.343880, 1086.122001, 105.032263, 113.343880
2601, 132.969768, 976.206316, 124.552879, 132.969768
2701, 0.000000, 0.000000, 0.000000, 0.000000
2801, 0.000000, 0.000000, 0.000000, 0.000000
2901, 0.000000, 0.000000, 0.000000, 0.000000
3001, 0.000000, 0.000000, 0.000000, 0.000000
3101, 0.000000, 0.000000, 0.000000, 0.000000
