U, C_V, P, R
0.797312, 0.949583, 0.890218, 0.797312
0.797207, 0.949545, 0.890135, 0.797207
0.797102, 0.949508, 0.890051, 0.797102
0.796995, 0.949470, 0.889966, 0.796995
0.796888, 0.949433, 0.889881, 0.796888
0.796780, 0.949395, 0.889796, 0.796780
0.796672, 0.949358, 0.889711, 0.796672
0.796563, 0.949320, 0.889626, 0.796563
0.796454, 0.949283, 0.889541, 0.796454
0.796345, 0.949245, 0.889456, 0.796345
0.796237, 0.949208, 0.889373, 0.796237
0.796130, 0.949170, 0.889289, 0.796130
0.796023, 0.949133, 0.889206, 0.796023
0.795916, 0.949095, 0.889123, 0.795916
0.795811, 0.949057, 0.889040, 0.795811
0.795707, 0.949020, 0.888957, 0.795707
0.795604, 0.948982, 0.888875, 0.795604
0.795502, 0.948944, 0.888792, 0.795502
0.795398, 0.948907, 0.888710, 0.795398
0.795299, 0.948869, 0.888629, 0.795299
0.795200, 0.948831, 0.888547, 0.795200
0.795103, 0.948793, 0.888466, 0.795103
0.795006, 0.948755, 0.888384, 0.795006
0.794909, 0.948718, 0.888302, 0.794909
0.794811, 0.948680, 0.888221, 0.794811
0.794714, 0.948642, 0.888140, 0.794714
0.794618, 0.948604, 0.888059, 0.794618
0.794522, 0.948566, 0.887978, 0.794522
0.794425, 0.948528, 0.887897, 0.794425
0.794327, 0.948490, 0.887815, 0.794327
0.794228, 0.948452, 0.887733, 0.794228
0.794131, 0.948414, 0.887651, 0.794131
0.794033, 0.948376, 0.887568, 0.794033
0.793936, 0.948338, 0.887486, 0.793936
0.793839, 0.948300, 0.887404, 0.793839
0.793743, 0.948262, 0.887322, 0.793743
0.793647, 0.948224, 0.887240, 0.793647
0.793552, 0.948186, 0.887159, 0.793552
0.793456, 0.948148, 0.887077, 0.793456
0.793360, 0.948109, 0.886995, 0.793360
0.793263, 0.948071, 0.886912, 0.793263
0.793166, 0.948033, 0.886829, 0.793166
0.793069, 0.947995, 0.886745, 0.793069
0.792972, 0.947957, 0.886661, 0.792972
0.792876, 0.947918, 0.886577, 0.792876
0.792781, 0.947880, 0.886494, 0.792781
0.792686, 0.947842, 0.886410, 0.792686
0.792592, 0.947803, 0.886327, 0.792592
0.792497, 0.947765, 0.886243, 0.792497
0.792403, 0.947727, 0.886159, 0.792403
0.792309, 0.947688, 0.886075, 0.792309
0.792218, 0.947650, 0.885992, 0.792218
0.792125, 0.947612, 0.885908, 0.792125
0.792032, 0.947573, 0.885824, 0.792032
0.791942, 0.947535, 0.885740, 0.791942
0.791850, 0.947496, 0.885656, 0.791850
0.791759, 0.947458, 0.885572, 0.791759
0.791667, 0.947419, 0.885488, 0.791667
0.791575, 0.947381, 0.885403, 0.791575
0.791483, 0.947342, 0.885320, 0.791483
0.791388, 0.947304, 0.885236, 0.791388
0.791292, 0.947265, 0.885152, 0.791292
0.791195, 0.947227, 0.885067, 0.791195
0.791097, 0.947188, 0.884982, 0.791097
0.790998, 0.947150, 0.884897, 0.790998
0.790902, 0.947111, 0.884812, 0.790902
0.790806, 0.947072, 0.884727, 0.790806
0.790711, 0.947034, 0.884642, 0.790711
0.790614, 0.946995, 0.884556, 0.790614
0.790519, 0.946956, 0.884469, 0.790519
0.790424, 0.946918, 0.884383, 0.790424
0.790328, 0.946879, 0.884297, 0.790328
0.790232, 0.946840, 0.884211, 0.790232
0.790134, 0.946801, 0.884124, 0.790134
0.790039, 0.946763, 0.884038, 0.790039
0.789945, 0.946724, 0.883953, 0.789945
0.789851, 0.946685, 0.883867, 0.789851
0.789757, 0.946646, 0.883781, 0.789757
0.789662, 0.946607, 0.883694, 0.789662
0.789566, 0.946568, 0.883607, 0.789566
0.789469, 0.946530, 0.883520, 0.789469
0.789372, 0.946491, 0.883432, 0.789372
0.789273, 0.946452, 0.883344, 0.789273
0.789174, 0.946413, 0.883257, 0.789174
0.789075, 0.946374, 0.883169, 0.789075
0.788974, 0.946335, 0.883081, 0.788974
0.788873, 0.946296, 0.882993, 0.788873
0.788773, 0.946257, 0.882905, 0.788773
0.788674, 0.946218, 0.882817, 0.788674
0.788574, 0.946179, 0.882729, 0.788574
0.788473, 0.946140, 0.882641, 0.788473
0.788372, 0.946100, 0.882553, 0.788372
0.788270, 0.946061, 0.882465, 0.788270
0.788168, 0.946022, 0.882377, 0.788168
0.788067, 0.945983, 0.882289, 0.788067
0.787965, 0.945944, 0.882202, 0.787965
0.787863, 0.945905, 0.882114, 0.787863
0.787762, 0.945865, 0.882026, 0.787762
0.787662, 0.945826, 0.881939, 0.787662
0.787561, 0.945787, 0.881852, 0.787561
0.787461, 0.945748, 0.881765, 0.787461
0.787359, 0.945708, 0.881678, 0.787359
0.787258, 0.945669, 0.881593, 0.787258
0.787156, 0.945630, 0.881507, 0.787156
0.787054, 0.945590, 0.881421, 0.787054
0.786953, 0.945551, 0.881335, 0.786953
0.786851, 0.945512, 0.881250, 0.786851
0.786748, 0.945472, 0.881165, 0.786748
0.786645, 0.945433, 0.881080, 0.786645
0.786539, 0.945394, 0.880994, 0.786539
0.786432, 0.945354, 0.880908, 0.786432
0.786326, 0.945315, 0.880822, 0.786326
0.786219, 0.945275, 0.880735, 0.786219
0.786112, 0.945236, 0.880648, 0.786112
0.786004, 0.945196, 0.880562, 0.786004
0.785896, 0.945157, 0.880475, 0.785896
0.785789, 0.945117, 0.880388, 0.785789
0.785681, 0.945078, 0.880302, 0.785681
0.785572, 0.945038, 0.880215, 0.785572
0.785461, 0.944999, 0.880128, 0.785461
0.785350, 0.944959, 0.880040, 0.785350
0.785241, 0.944919, 0.879954, 0.785241
0.785130, 0.944880, 0.879867, 0.785130
0.785018, 0.944840, 0.879780, 0.785018
0.784907, 0.944800, 0.879692, 0.784907
0.784795, 0.944761, 0.879606, 0.784795
0.784684, 0.944721, 0.879519, 0.784684
0.784573, 0.944681, 0.879433, 0.784573
0.784462, 0.944642, 0.879347, 0.784462
0.784353, 0.944602, 0.879262, 0.784353
0.784244, 0.944562, 0.879176, 0.784244
0.784135, 0.944522, 0.879090, 0.784135
0.784026, 0.944483, 0.879005, 0.784026
0.783917, 0.944443, 0.878919, 0.783917
0.783807, 0.944403, 0.878833, 0.783807
0.783697, 0.944363, 0.878747, 0.783697
0.783587, 0.944323, 0.878660, 0.783587
0.783477, 0.944284, 0.878574, 0.783477
0.783365, 0.944244, 0.878487, 0.783365
0.783253, 0.944204, 0.878400, 0.783253
0.783140, 0.944164, 0.878313, 0.783140
0.783026, 0.944124, 0.878226, 0.783026
0.782913, 0.944084, 0.878139, 0.782913
0.782800, 0.944044, 0.878053, 0.782800
0.782687, 0.944004, 0.877967, 0.782687
0.782574, 0.943964, 0.877879, 0.782574
0.782462, 0.943925, 0.877793, 0.782462
0.782349, 0.943885, 0.877706, 0.782349
0.782237, 0.943845, 0.877620, 0.782237
0.782124, 0.943805, 0.877533, 0.782124
0.782012, 0.943765, 0.877448, 0.782012
0.781899, 0.943725, 0.877361, 0.781899
0.781786, 0.943685, 0.877275, 0.781786
0.781673, 0.943645, 0.877189, 0.781673
0.781559, 0.943605, 0.877102, 0.781559
0.781444, 0.943565, 0.877016, 0.781444
0.781330, 0.943525, 0.876928, 0.781330
0.781215, 0.943484, 0.876842, 0.781215
0.781100, 0.943444, 0.876755, 0.781100
0.780983, 0.943404, 0.876668, 0.780983
0.780868, 0.943364, 0.876580, 0.780868
0.780751, 0.943324, 0.876493, 0.780751
0.780635, 0.943284, 0.876405, 0.780635
0.780518, 0.943244, 0.876318, 0.780518
0.780399, 0.943204, 0.876231, 0.780399
0.780277, 0.943163, 0.876144, 0.780277
0.780156, 0.943123, 0.876057, 0.780156
0.780034, 0.943083, 0.875970, 0.780034
0.779914, 0.943043, 0.875883, 0.779914
0.779793, 0.943003, 0.875797, 0.779793
0.779673, 0.942962, 0.875710, 0.779673
0.779553, 0.942922, 0.875623, 0.779553
0.779434, 0.942882, 0.875536, 0.779434
0.779316, 0.942841, 0.875449, 0.779316
0.779197, 0.942801, 0.875362, 0.779197
0.779077, 0.942761, 0.875276, 0.779077
0.778958, 0.942720, 0.875189, 0.778958
0.778839, 0.942680, 0.875103, 0.778839
0.778718, 0.942640, 0.875017, 0.778718
0.778598, 0.942599, 0.874930, 0.778598
0.778476, 0.942559, 0.874845, 0.778476
0.778355, 0.942518, 0.874759, 0.778355
0.778233, 0.942478, 0.874672, 0.778233
0.778111, 0.942438, 0.874585, 0.778111
0.777990, 0.942397, 0.874499, 0.777990
0.777869, 0.942357, 0.874412, 0.777869
0.777748, 0.942316, 0.874325, 0.777748
0.777626, 0.942275, 0.874239, 0.777626
0.777504, 0.942235, 0.874153, 0.777504
0.777382, 0.942194, 0.874066, 0.777382
0.777258, 0.942154, 0.873978, 0.777258
0.777133, 0.942113, 0.873890, 0.777133
0.777008, 0.942073, 0.873801, 0.777008
0.776884, 0.942032, 0.873713, 0.776884
0.776759, 0.941991, 0.873626, 0.776759
0.776634, 0.941951, 0.873538, 0.776634
0.776510, 0.941910, 0.873450, 0.776510
0.776386, 0.941869, 0.873363, 0.776386
0.776263, 0.941828, 0.873275, 0.776263
0.776141, 0.941788, 0.873187, 0.776141
0.776019, 0.941747, 0.873099, 0.776019
0.775896, 0.941706, 0.873010, 0.775896
0.775773, 0.941665, 0.872921, 0.775773
0.775650, 0.941624, 0.872833, 0.775650
0.775527, 0.941584, 0.872745, 0.775527
0.775405, 0.941543, 0.872657, 0.775405
0.775281, 0.941502, 0.872570, 0.775281
0.775160, 0.941461, 0.872483, 0.775160
0.775038, 0.941420, 0.872396, 0.775038
0.774917, 0.941379, 0.872308, 0.774917
0.774795, 0.941338, 0.872221, 0.774795
0.774673, 0.941297, 0.872134, 0.774673
0.774551, 0.941256, 0.872046, 0.774551
0.774427, 0.941215, 0.871958, 0.774427
0.774305, 0.941174, 0.871871, 0.774305
0.774183, 0.941133, 0.871783, 0.774183
0.774062, 0.941092, 0.871696, 0.774062
0.773941, 0.941051, 0.871608, 0.773941
0.773823, 0.941010, 0.871521, 0.773823
0.773704, 0.940969, 0.871432, 0.773704
0.773585, 0.940928, 0.871344, 0.773585
0.773466, 0.940886, 0.871257, 0.773466
0.773348, 0.940845, 0.871170, 0.773348
0.773226, 0.940804, 0.871081, 0.773226
0.773105, 0.940763, 0.870993, 0.773105
0.772983, 0.940722, 0.870905, 0.772983
0.772863, 0.940680, 0.870817, 0.772863
0.772741, 0.940639, 0.870730, 0.772741
0.772619, 0.940598, 0.870641, 0.772619
0.772497, 0.940557, 0.870553, 0.772497
0.772375, 0.940515, 0.870464, 0.772375
0.772251, 0.940474, 0.870375, 0.772251
0.772126, 0.940433, 0.870286, 0.772126
0.772002, 0.940391, 0.870197, 0.772002
0.771879, 0.940350, 0.870108, 0.771879
0.771758, 0.940309, 0.870020, 0.771758
0.771638, 0.940267, 0.869931, 0.771638
0.771519, 0.940226, 0.869843, 0.771519
0.771402, 0.940184, 0.869755, 0.771402
0.771285, 0.940143, 0.869667, 0.771285
0.771169, 0.940101, 0.869579, 0.771169
0.771054, 0.940060, 0.869491, 0.771054
0.770938, 0.940018, 0.869403, 0.770938
0.770821, 0.939977, 0.869315, 0.770821
0.770706, 0.939935, 0.869227, 0.770706
0.770591, 0.939894, 0.869138, 0.770591
0.770476, 0.939852, 0.869050, 0.770476
0.770362, 0.939811, 0.868962, 0.770362
0.770249, 0.939769, 0.868873, 0.770249
0.770136, 0.939727, 0.868785, 0.770136
0.770025, 0.939686, 0.868697, 0.770025
0.769914, 0.939644, 0.868610, 0.769914
0.769803, 0.939603, 0.868522, 0.769803
0.769693, 0.939561, 0.868435, 0.769693
0.769584, 0.939519, 0.868350, 0.769584
0.769475, 0.939477, 0.868263, 0.769475
0.769365, 0.939436, 0.868177, 0.769365
0.769255, 0.939394, 0.868090, 0.769255
0.769147, 0.939352, 0.868004, 0.769147
0.769041, 0.939310, 0.867919, 0.769041
0.768934, 0.939269, 0.867833, 0.768934
0.768828, 0.939227, 0.867747, 0.768828
0.768719, 0.939185, 0.867661, 0.768719
0.768612, 0.939143, 0.867575, 0.768612
0.768505, 0.939101, 0.867490, 0.768505
0.768397, 0.939059, 0.867404, 0.768397
0.768289, 0.939017, 0.867319, 0.768289
0.768182, 0.938975, 0.867233, 0.768182
0.768074, 0.938933, 0.867148, 0.768074
0.767966, 0.938891, 0.867063, 0.767966
0.767858, 0.938849, 0.866978, 0.767858
0.767750, 0.938807, 0.866893, 0.767750
0.767644, 0.938765, 0.866809, 0.767644
0.767538, 0.938723, 0.866724, 0.767538
0.767432, 0.938681, 0.866638, 0.767432
0.767326, 0.938639, 0.866552, 0.767326
0.767220, 0.938597, 0.866465, 0.767220
0.767114, 0.938555, 0.866379, 0.767114
0.767010, 0.938513, 0.866294, 0.767010
0.766907, 0.938471, 0.866209, 0.766907
0.766805, 0.938429, 0.866125, 0.766805
0.766703, 0.938386, 0.866040, 0.766703
0.766603, 0.938344, 0.865956, 0.766603
0.766503, 0.938302, 0.865872, 0.766503
0.766402, 0.938260, 0.865786, 0.766402
0.766301, 0.938218, 0.865702, 0.766301
0.766201, 0.938175, 0.865617, 0.766201
0.766102, 0.938133, 0.865534, 0.766102
0.766004, 0.938091, 0.865450, 0.766004
0.765906, 0.938049, 0.865368, 0.765906
0.765808, 0.938006, 0.865285, 0.765808
0.765712, 0.937964, 0.865202, 0.765712
0.765616, 0.937921, 0.865119, 0.765616
0.765520, 0.937879, 0.865036, 0.765520
0.765424, 0.937837, 0.864951, 0.765424
0.765328, 0.937794, 0.864867, 0.765328
0.765233, 0.937752, 0.864783, 0.765233
0.765136, 0.937709, 0.864698, 0.765136
0.765037, 0.937667, 0.864613, 0.765037
0.764937, 0.937624, 0.864527, 0.764937
0.764838, 0.937582, 0.864442, 0.764838
0.764740, 0.937539, 0.864358, 0.764740
0.764641, 0.937497, 0.864272, 0.764641
0.764543, 0.937454, 0.864187, 0.764543
0.764442, 0.937412, 0.864101, 0.764442
0.764339, 0.937369, 0.864014, 0.764339
0.764236, 0.937327, 0.863927, 0.764236
0.764133, 0.937284, 0.863839, 0.764133
0.764031, 0.937241, 0.863752, 0.764031
0.763929, 0.937199, 0.863665, 0.763929
0.763828, 0.937156, 0.863578, 0.763828
0.763727, 0.937113, 0.863491, 0.763727
0.763623, 0.937071, 0.863403, 0.763623
0.763521, 0.937028, 0.863316, 0.763521
0.763421, 0.936985, 0.863230, 0.763421
0.763323, 0.936942, 0.863145, 0.763323
0.763224, 0.936900, 0.863059, 0.763224
0.763124, 0.936857, 0.862973, 0.763124
0.763022, 0.936814, 0.862887, 0.763022
0.762921, 0.936771, 0.862801, 0.762921
0.762818, 0.936728, 0.862714, 0.762818
0.762716, 0.936686, 0.862628, 0.762716
0.762615, 0.936643, 0.862541, 0.762615
0.762513, 0.936600, 0.862455, 0.762513
0.762412, 0.936557, 0.862368, 0.762412
0.762308, 0.936514, 0.862281, 0.762308
0.762204, 0.936471, 0.862194, 0.762204
0.762098, 0.936428, 0.862106, 0.762098
0.761992, 0.936385, 0.862018, 0.761992
0.761886, 0.936342, 0.861929, 0.761886
0.761778, 0.936299, 0.861840, 0.761778
0.761673, 0.936256, 0.861751, 0.761673
0.761567, 0.936213, 0.861662, 0.761567
0.761460, 0.936170, 0.861573, 0.761460
0.761355, 0.936127, 0.861484, 0.761355
0.761249, 0.936084, 0.861396, 0.761249
0.761143, 0.936041, 0.861309, 0.761143
0.761038, 0.935998, 0.861222, 0.761038
0.760931, 0.935954, 0.861136, 0.760931
0.760824, 0.935911, 0.861048, 0.760824
0.760718, 0.935868, 0.860961, 0.760718
0.760611, 0.935825, 0.860875, 0.760611
0.760506, 0.935782, 0.860789, 0.760506
0.760401, 0.935738, 0.860703, 0.760401
0.760297, 0.935695, 0.860618, 0.760297
0.760192, 0.935652, 0.860531, 0.760192
0.760089, 0.935609, 0.860444, 0.760089
0.759985, 0.935565, 0.860358, 0.759985
0.759883, 0.935522, 0.860272, 0.759883
0.759783, 0.935479, 0.860186, 0.759783
0.759683, 0.935435, 0.860101, 0.759683
0.759582, 0.935392, 0.860015, 0.759582
0.759482, 0.935349, 0.859930, 0.759482
0.759382, 0.935305, 0.859845, 0.759382
0.759284, 0.935262, 0.859760, 0.759284
0.759188, 0.935218, 0.859676, 0.759188
0.759092, 0.935175, 0.859592, 0.759092
0.758996, 0.935132, 0.859508, 0.758996
0.758900, 0.935088, 0.859424, 0.758900
0.758803, 0.935045, 0.859339, 0.758803
0.758708, 0.935001, 0.859254, 0.758708
0.758615, 0.934958, 0.859171, 0.758615
0.758523, 0.934914, 0.859087, 0.758523
0.758431, 0.934871, 0.859003, 0.758431
0.758337, 0.934827, 0.858919, 0.758337
0.758242, 0.934783, 0.858835, 0.758242
0.758145, 0.934740, 0.858751, 0.758145
0.758047, 0.934696, 0.858668, 0.758047
0.757951, 0.934653, 0.858585, 0.757951
0.757854, 0.934609, 0.858502, 0.757854
0.757757, 0.934565, 0.858418, 0.757757
0.757658, 0.934522, 0.858335, 0.757658
0.757557, 0.934478, 0.858251, 0.757557
0.757457, 0.934434, 0.858166, 0.757457
0.757357, 0.934391, 0.858082, 0.757357
0.757256, 0.934347, 0.857997, 0.757256
0.757155, 0.934303, 0.857912, 0.757155
0.757054, 0.934259, 0.857827, 0.757054
0.756953, 0.934216, 0.857741, 0.756953
0.756853, 0.934172, 0.857656, 0.756853
0.756753, 0.934128, 0.857570, 0.756753
0.756653, 0.934084, 0.857485, 0.756653
0.756552, 0.934041, 0.857400, 0.756552
0.756451, 0.933997, 0.857314, 0.756451
0.756351, 0.933953, 0.857228, 0.756351
0.756251, 0.933909, 0.857141, 0.756251
0.756151, 0.933865, 0.857054, 0.756151
0.756052, 0.933821, 0.856967, 0.756052
0.755953, 0.933778, 0.856881, 0.755953
0.755854, 0.933734, 0.856794, 0.755854
0.755754, 0.933690, 0.856708, 0.755754
0.755654, 0.933646, 0.856620, 0.755654
0.755553, 0.933602, 0.856533, 0.755553
0.755452, 0.933558, 0.856445, 0.755452
0.755353, 0.933514, 0.856358, 0.755353
0.755253, 0.933470, 0.856271, 0.755253
0.755152, 0.933426, 0.856183, 0.755152
0.755052, 0.933382, 0.856094, 0.755052
0.754950, 0.933338, 0.856006, 0.754950
0.754849, 0.933294, 0.855917, 0.754849
0.754750, 0.933250, 0.855829, 0.754750
0.754652, 0.933206, 0.855740, 0.754652
0.754552, 0.933162, 0.855651, 0.754552
0.754451, 0.933118, 0.855562, 0.754451
0.754353, 0.933074, 0.855474, 0.754353
0.754253, 0.933030, 0.855385, 0.754253
0.754152, 0.932986, 0.855297, 0.754152
0.754050, 0.932942, 0.855208, 0.754050
0.753947, 0.932898, 0.855120, 0.753947
0.753846, 0.932854, 0.855032, 0.753846
0.753744, 0.932810, 0.854944, 0.753744
0.753643, 0.932766, 0.854857, 0.753643
0.753543, 0.932722, 0.854769, 0.753543
0.753442, 0.932678, 0.854682, 0.753442
0.753341, 0.932633, 0.854594, 0.753341
0.753238, 0.932589, 0.854506, 0.753238
0.753136, 0.932545, 0.854418, 0.753136
0.753033, 0.932501, 0.854330, 0.753033
0.752930, 0.932457, 0.854242, 0.752930
0.752827, 0.932413, 0.854153, 0.752827
0.752722, 0.932369, 0.854064, 0.752722
0.752616, 0.932325, 0.853975, 0.752616
0.752510, 0.932280, 0.853886, 0.752510
0.752404, 0.932236, 0.853797, 0.752404
0.752300, 0.932192, 0.853708, 0.752300
0.752195, 0.932148, 0.853619, 0.752195
0.752088, 0.932104, 0.853530, 0.752088
0.751981, 0.932060, 0.853441, 0.751981
0.751873, 0.932016, 0.853352, 0.751873
0.751766, 0.931971, 0.853264, 0.751766
0.751659, 0.931927, 0.853176, 0.751659
0.751551, 0.931883, 0.853088, 0.751551
0.751444, 0.931839, 0.853000, 0.751444
0.751334, 0.931795, 0.852913, 0.751334
0.751225, 0.931750, 0.852826, 0.751225
0.751116, 0.931706, 0.852738, 0.751116
0.751009, 0.931662, 0.852652, 0.751009
0.750901, 0.931618, 0.852566, 0.750901
0.750791, 0.931573, 0.852479, 0.750791
0.750682, 0.931529, 0.852392, 0.750682
0.750574, 0.931485, 0.852305, 0.750574
0.750465, 0.931441, 0.852219, 0.750465
0.750355, 0.931396, 0.852132, 0.750355
0.750244, 0.931352, 0.852045, 0.750244
0.750133, 0.931308, 0.851958, 0.750133
0.750023, 0.931263, 0.851871, 0.750023
0.749914, 0.931219, 0.851784, 0.749914
0.749804, 0.931175, 0.851697, 0.749804
0.749696, 0.931130, 0.851610, 0.749696
0.749587, 0.931086, 0.851524, 0.749587
0.749479, 0.931042, 0.851437, 0.749479
0.749370, 0.930997, 0.851350, 0.749370
0.749259, 0.930953, 0.851264, 0.749259
0.749150, 0.930908, 0.851178, 0.749150
0.749040, 0.930864, 0.851092, 0.749040
0.748930, 0.930820, 0.851006, 0.748930
0.748819, 0.930775, 0.850919, 0.748819
0.748709, 0.930731, 0.850833, 0.748709
0.748597, 0.930686, 0.850747, 0.748597
0.748484, 0.930642, 0.850660, 0.748484
0.748371, 0.930597, 0.850573, 0.748371
0.748258, 0.930553, 0.850485, 0.748258
0.748145, 0.930508, 0.850397, 0.748145
0.748031, 0.930464, 0.850310, 0.748031
0.747918, 0.930419, 0.850222, 0.747918
0.747803, 0.930375, 0.850135, 0.747803
0.747688, 0.930330, 0.850047, 0.747688
0.747570, 0.930286, 0.849960, 0.747570
0.747452, 0.930241, 0.849873, 0.747452
0.747331, 0.930196, 0.849785, 0.747331
0.747213, 0.930152, 0.849697, 0.747213
0.747095, 0.930107, 0.849609, 0.747095
0.746977, 0.930062, 0.849522, 0.746977
0.746859, 0.930018, 0.849434, 0.746859
0.746742, 0.929973, 0.849346, 0.746742
0.746627, 0.929928, 0.849259, 0.746627
0.746514, 0.929884, 0.849172, 0.746514
0.746398, 0.929839, 0.849085, 0.746398
0.746284, 0.929794, 0.848999, 0.746284
0.746170, 0.929750, 0.848912, 0.746170
0.746058, 0.929705, 0.848827, 0.746058
0.745947, 0.929660, 0.848741, 0.745947
0.745835, 0.929615, 0.848655, 0.745835
0.745722, 0.929571, 0.848569, 0.745722
0.745609, 0.929526, 0.848482, 0.745609
0.745496, 0.929481, 0.848395, 0.745496
0.745383, 0.929436, 0.848309, 0.745383
0.745269, 0.929391, 0.848222, 0.745269
0.745155, 0.929347, 0.848135, 0.745155
0.745041, 0.929302, 0.848049, 0.745041
0.744928, 0.929257, 0.847962, 0.744928
0.744817, 0.929212, 0.847875, 0.744817
0.744706, 0.929167, 0.847789, 0.744706
0.744595, 0.929122, 0.847703, 0.744595
0.744486, 0.929077, 0.847617, 0.744486
0.744377, 0.929032, 0.847531, 0.744377
0.744266, 0.928987, 0.847445, 0.744266
0.744157, 0.928942, 0.847359, 0.744157
0.744046, 0.928897, 0.847273, 0.744046
0.743934, 0.928852, 0.847187, 0.743934
0.743822, 0.928807, 0.847100, 0.743822
0.743709, 0.928762, 0.847014, 0.743709
0.743598, 0.928717, 0.846928, 0.743598
0.743488, 0.928672, 0.846842, 0.743488
0.743378, 0.928627, 0.846755, 0.743378
0.743267, 0.928582, 0.846669, 0.743267
0.743157, 0.928537, 0.846583, 0.743157
0.743048, 0.928492, 0.846496, 0.743048
0.742940, 0.928447, 0.846410, 0.742940
0.742833, 0.928402, 0.846324, 0.742833
0.742725, 0.928357, 0.846238, 0.742725
0.742617, 0.928311, 0.846152, 0.742617
0.742508, 0.928266, 0.846065, 0.742508
0.742398, 0.928221, 0.845978, 0.742398
0.742287, 0.928176, 0.845891, 0.742287
0.742177, 0.928131, 0.845804, 0.742177
0.742067, 0.928085, 0.845718, 0.742067
0.741956, 0.928040, 0.845632, 0.741956
0.741846, 0.927995, 0.845546, 0.741846
0.741735, 0.927950, 0.845460, 0.741735
0.741626, 0.927904, 0.845374, 0.741626
0.741516, 0.927859, 0.845288, 0.741516
0.741407, 0.927814, 0.845203, 0.741407
0.741299, 0.927768, 0.845116, 0.741299
0.741190, 0.927723, 0.845031, 0.741190
0.741079, 0.927677, 0.844945, 0.741079
0.740969, 0.927632, 0.844860, 0.740969
0.740858, 0.927587, 0.844774, 0.740858
0.740746, 0.927541, 0.844688, 0.740746
0.740634, 0.927496, 0.844602, 0.740634
0.740520, 0.927450, 0.844515, 0.740520
0.740407, 0.927405, 0.844428, 0.740407
0.740292, 0.927359, 0.844341, 0.740292
0.740178, 0.927314, 0.844254, 0.740178
0.740064, 0.927268, 0.844167, 0.740064
0.739948, 0.927223, 0.844079, 0.739948
0.739834, 0.927177, 0.843992, 0.739834
0.739720, 0.927132, 0.843904, 0.739720
0.739605, 0.927086, 0.843816, 0.739605
0.739491, 0.927041, 0.843728, 0.739491
0.739379, 0.926995, 0.843640, 0.739379
0.739268, 0.926949, 0.843553, 0.739268
0.739157, 0.926904, 0.843465, 0.739157
0.739047, 0.926858, 0.843378, 0.739047
0.738936, 0.926812, 0.843290, 0.738936
0.738824, 0.926767, 0.843203, 0.738824
0.738713, 0.926721, 0.843116, 0.738713
0.738602, 0.926675, 0.843028, 0.738602
0.738491, 0.926630, 0.842940, 0.738491
0.738380, 0.926584, 0.842852, 0.738380
0.738269, 0.926538, 0.842765, 0.738269
0.738159, 0.926492, 0.842677, 0.738159
0.738048, 0.926447, 0.842590, 0.738048
0.737937, 0.926401, 0.842503, 0.737937
0.737826, 0.926355, 0.842415, 0.737826
0.737713, 0.926309, 0.842328, 0.737713
0.737598, 0.926263, 0.842239, 0.737598
0.737481, 0.926217, 0.842151, 0.737481
0.737366, 0.926172, 0.842063, 0.737366
0.737252, 0.926126, 0.841974, 0.737252
0.737138, 0.926080, 0.841886, 0.737138
0.737023, 0.926034, 0.841797, 0.737023
0.736907, 0.925988, 0.841709, 0.736907
0.736790, 0.925942, 0.841620, 0.736790
0.736672, 0.925896, 0.841531, 0.736672
0.736554, 0.925850, 0.841442, 0.736554
0.736438, 0.925804, 0.841354, 0.736438
0.736323, 0.925758, 0.841265, 0.736323
0.736206, 0.925712, 0.841177, 0.736206
0.736088, 0.925666, 0.841087, 0.736088
0.735971, 0.925620, 0.840999, 0.735971
0.735853, 0.925574, 0.840910, 0.735853
0.735737, 0.925528, 0.840821, 0.735737
0.735621, 0.925482, 0.840732, 0.735621
0.735507, 0.925436, 0.840645, 0.735507
0.735391, 0.925390, 0.840556, 0.735391
0.735276, 0.925343, 0.840468, 0.735276
0.735161, 0.925297, 0.840381, 0.735161
0.735046, 0.925251, 0.840293, 0.735046
0.734931, 0.925205, 0.840206, 0.734931
0.734815, 0.925159, 0.840119, 0.734815
0.734701, 0.925113, 0.840032, 0.734701
0.734586, 0.925066, 0.839945, 0.734586
0.734473, 0.925020, 0.839859, 0.734473
0.734359, 0.924974, 0.839772, 0.734359
0.734244, 0.924928, 0.839687, 0.734244
0.734130, 0.924882, 0.839602, 0.734130
0.734018, 0.924835, 0.839518, 0.734018
0.733904, 0.924789, 0.839434, 0.733904
0.733790, 0.924743, 0.839350, 0.733790
0.733677, 0.924696, 0.839265, 0.733677
0.733563, 0.924650, 0.839181, 0.733563
0.733451, 0.924604, 0.839097, 0.733451
0.733341, 0.924557, 0.839012, 0.733341
0.733231, 0.924511, 0.838926, 0.733231
0.733120, 0.924465, 0.838842, 0.733120
0.733010, 0.924418, 0.838757, 0.733010
0.732901, 0.924372, 0.838672, 0.732901
0.732791, 0.924325, 0.838587, 0.732791
0.732681, 0.924279, 0.838501, 0.732681
0.732570, 0.924233, 0.838415, 0.732570
0.732460, 0.924186, 0.838330, 0.732460
0.732353, 0.924140, 0.838245, 0.732353
0.732247, 0.924093, 0.838160, 0.732247
0.732141, 0.924047, 0.838075, 0.732141
0.732036, 0.924000, 0.837990, 0.732036
0.731931, 0.923954, 0.837905, 0.731931
0.731827, 0.923907, 0.837820, 0.731827
