U, C_V, P, R
0.967789, 0.994735, 0.987817, 0.967789
0.967586, 0.994695, 0.987733, 0.967586
0.967386, 0.994655, 0.987650, 0.967386
0.967188, 0.994615, 0.987568, 0.967188
0.966989, 0.994575, 0.987485, 0.966989
0.966790, 0.994535, 0.987403, 0.966790
0.966590, 0.994495, 0.987319, 0.966590
0.966388, 0.994455, 0.987235, 0.966388
0.966186, 0.994415, 0.987151, 0.966186
0.965985, 0.994374, 0.987066, 0.965985
0.965784, 0.994334, 0.986982, 0.965784
0.965584, 0.994294, 0.986897, 0.965584
0.965385, 0.994254, 0.986813, 0.965385
0.965185, 0.994213, 0.986729, 0.965185
0.964986, 0.994173, 0.986645, 0.964986
0.964787, 0.994133, 0.986562, 0.964787
0.964588, 0.994092, 0.986478, 0.964588
0.964390, 0.994052, 0.986395, 0.964390
0.964192, 0.994011, 0.986311, 0.964192
0.963997, 0.993971, 0.986228, 0.963997
0.963801, 0.993930, 0.986145, 0.963801
0.963605, 0.993890, 0.986061, 0.963605
0.963410, 0.993849, 0.985978, 0.963410
0.963216, 0.993809, 0.985895, 0.963216
0.963024, 0.993768, 0.985812, 0.963024
0.962832, 0.993728, 0.985729, 0.962832
0.962639, 0.993687, 0.985646, 0.962639
0.962447, 0.993647, 0.985562, 0.962447
0.962256, 0.993606, 0.985479, 0.962256
0.962066, 0.993565, 0.985395, 0.962066
0.961875, 0.993525, 0.985312, 0.961875
0.961684, 0.993484, 0.985229, 0.961684
0.961493, 0.993443, 0.985146, 0.961493
0.961301, 0.993402, 0.985063, 0.961301
0.961109, 0.993362, 0.984979, 0.961109
0.960916, 0.993321, 0.984895, 0.960916
0.960724, 0.993280, 0.984811, 0.960724
0.960530, 0.993239, 0.984726, 0.960530
0.960336, 0.993198, 0.984641, 0.960336
0.960143, 0.993158, 0.984555, 0.960143
0.959950, 0.993117, 0.984469, 0.959950
0.959755, 0.993076, 0.984383, 0.959755
0.959560, 0.993035, 0.984297, 0.959560
0.959367, 0.992994, 0.984211, 0.959367
0.959174, 0.992953, 0.984125, 0.959174
0.958982, 0.992912, 0.984039, 0.958982
0.958788, 0.992871, 0.983952, 0.958788
0.958596, 0.992830, 0.983867, 0.958596
0.958404, 0.992789, 0.983781, 0.958404
0.958212, 0.992748, 0.983695, 0.958212
0.958019, 0.992708, 0.983609, 0.958019
0.957827, 0.992666, 0.983524, 0.957827
0.957636, 0.992625, 0.983439, 0.957636
0.957444, 0.992584, 0.983354, 0.957444
0.957254, 0.992543, 0.983268, 0.957254
0.957065, 0.992502, 0.983183, 0.957065
0.956877, 0.992461, 0.983098, 0.956877
0.956689, 0.992420, 0.983013, 0.956689
0.956499, 0.992379, 0.982928, 0.956499
0.956311, 0.992338, 0.982843, 0.956311
0.956121, 0.992297, 0.982759, 0.956121
0.955932, 0.992255, 0.982675, 0.955932
0.955744, 0.992214, 0.982592, 0.955744
0.955556, 0.992173, 0.982508, 0.955556
0.955369, 0.992132, 0.982425, 0.955369
0.955184, 0.992090, 0.982341, 0.955184
0.955000, 0.992049, 0.982257, 0.955000
0.954817, 0.992008, 0.982174, 0.954817
0.954634, 0.991967, 0.982090, 0.954634
0.954452, 0.991925, 0.982007, 0.954452
0.954267, 0.991884, 0.981924, 0.954267
0.954084, 0.991843, 0.981841, 0.954084
0.953901, 0.991801, 0.981758, 0.953901
0.953717, 0.991760, 0.981675, 0.953717
0.953532, 0.991719, 0.981592, 0.953532
0.953346, 0.991677, 0.981507, 0.953346
0.953159, 0.991636, 0.981424, 0.953159
0.952972, 0.991595, 0.981340, 0.952972
0.952784, 0.991553, 0.981256, 0.952784
0.952596, 0.991512, 0.981171, 0.952596
0.952406, 0.991470, 0.981086, 0.952406
0.952216, 0.991429, 0.981000, 0.952216
0.952028, 0.991387, 0.980915, 0.952028
0.951840, 0.991346, 0.980831, 0.951840
0.951653, 0.991304, 0.980747, 0.951653
0.951465, 0.991263, 0.980663, 0.951465
0.951277, 0.991221, 0.980580, 0.951277
0.951089, 0.991180, 0.980496, 0.951089
0.950903, 0.991138, 0.980412, 0.950903
0.950716, 0.991097, 0.980327, 0.950716
0.950530, 0.991055, 0.980243, 0.950530
0.950345, 0.991013, 0.980159, 0.950345
0.950159, 0.990972, 0.980075, 0.950159
0.949972, 0.990930, 0.979991, 0.949972
0.949787, 0.990888, 0.979906, 0.949787
0.949600, 0.990847, 0.979821, 0.949600
0.949413, 0.990805, 0.979737, 0.949413
0.949226, 0.990763, 0.979652, 0.949226
0.949039, 0.990721, 0.979568, 0.949039
0.948853, 0.990680, 0.979483, 0.948853
0.948670, 0.990638, 0.979399, 0.948670
0.948487, 0.990596, 0.979315, 0.948487
0.948301, 0.990554, 0.979231, 0.948301
0.948115, 0.990513, 0.979146, 0.948115
0.947929, 0.990471, 0.979062, 0.947929
0.947745, 0.990429, 0.978977, 0.947745
0.947560, 0.990387, 0.978892, 0.947560
0.947375, 0.990345, 0.978807, 0.947375
0.947190, 0.990303, 0.978722, 0.947190
0.947005, 0.990261, 0.978637, 0.947005
0.946821, 0.990219, 0.978552, 0.946821
0.946637, 0.990178, 0.978468, 0.946637
0.946455, 0.990136, 0.978384, 0.946455
0.946272, 0.990094, 0.978299, 0.946272
0.946088, 0.990052, 0.978215, 0.946088
0.945905, 0.990010, 0.978131, 0.945905
0.945724, 0.989968, 0.978047, 0.945724
0.945543, 0.989926, 0.977963, 0.945543
0.945361, 0.989883, 0.977878, 0.945361
0.945179, 0.989841, 0.977794, 0.945179
0.944998, 0.989799, 0.977710, 0.944998
0.944816, 0.989757, 0.977625, 0.944816
0.944633, 0.989715, 0.977541, 0.944633
0.944450, 0.989673, 0.977456, 0.944450
0.944268, 0.989631, 0.977371, 0.944268
0.944085, 0.989589, 0.977287, 0.944085
0.943902, 0.989547, 0.977202, 0.943902
0.943718, 0.989504, 0.977116, 0.943718
0.943532, 0.989462, 0.977031, 0.943532
0.943345, 0.989420, 0.976946, 0.943345
0.943160, 0.989378, 0.976860, 0.943160
0.942974, 0.989335, 0.976776, 0.942974
0.942789, 0.989293, 0.976691, 0.942789
0.942606, 0.989251, 0.976607, 0.942606
0.942425, 0.989209, 0.976523, 0.942425
0.942243, 0.989166, 0.976439, 0.942243
0.942061, 0.989124, 0.976355, 0.942061
0.941878, 0.989082, 0.976270, 0.941878
0.941696, 0.989039, 0.976186, 0.941696
0.941512, 0.988997, 0.976103, 0.941512
0.941328, 0.988954, 0.976019, 0.941328
0.941145, 0.988912, 0.975935, 0.941145
0.940963, 0.988869, 0.975851, 0.940963
0.940781, 0.988827, 0.975767, 0.940781
0.940600, 0.988784, 0.975683, 0.940600
0.940419, 0.988742, 0.975600, 0.940419
0.940238, 0.988699, 0.975516, 0.940238
0.940057, 0.988657, 0.975431, 0.940057
0.939876, 0.988614, 0.975346, 0.939876
0.939696, 0.988572, 0.975261, 0.939696
0.939515, 0.988529, 0.975176, 0.939515
0.939336, 0.988486, 0.975092, 0.939336
0.939158, 0.988444, 0.975008, 0.939158
0.938980, 0.988401, 0.974923, 0.938980
0.938801, 0.988359, 0.974838, 0.938801
0.938621, 0.988316, 0.974753, 0.938621
0.938442, 0.988273, 0.974668, 0.938442
0.938261, 0.988230, 0.974582, 0.938261
0.938082, 0.988188, 0.974497, 0.938082
0.937902, 0.988145, 0.974411, 0.937902
0.937724, 0.988102, 0.974325, 0.937724
0.937548, 0.988059, 0.974240, 0.937548
0.937371, 0.988017, 0.974155, 0.937371
0.937196, 0.987974, 0.974069, 0.937196
0.937021, 0.987931, 0.973984, 0.937021
0.936847, 0.987888, 0.973900, 0.936847
0.936673, 0.987845, 0.973816, 0.936673
0.936500, 0.987802, 0.973733, 0.936500
0.936326, 0.987759, 0.973648, 0.936326
0.936152, 0.987716, 0.973564, 0.936152
0.935981, 0.987673, 0.973479, 0.935981
0.935809, 0.987630, 0.973395, 0.935809
0.935638, 0.987587, 0.973311, 0.935638
0.935465, 0.987544, 0.973228, 0.935465
0.935291, 0.987501, 0.973144, 0.935291
0.935117, 0.987458, 0.973060, 0.935117
0.934944, 0.987415, 0.972976, 0.934944
0.934770, 0.987372, 0.972894, 0.934770
0.934595, 0.987329, 0.972811, 0.934595
0.934421, 0.987286, 0.972728, 0.934421
0.934249, 0.987242, 0.972645, 0.934249
0.934077, 0.987199, 0.972562, 0.934077
0.933904, 0.987156, 0.972479, 0.933904
0.933731, 0.987113, 0.972396, 0.933731
0.933557, 0.987069, 0.972313, 0.933557
0.933384, 0.987026, 0.972230, 0.933384
0.933212, 0.986983, 0.972146, 0.933212
0.933039, 0.986940, 0.972062, 0.933039
0.932864, 0.986896, 0.971977, 0.932864
0.932691, 0.986853, 0.971893, 0.932691
0.932517, 0.986809, 0.971809, 0.932517
0.932343, 0.986766, 0.971724, 0.932343
0.932169, 0.986723, 0.971640, 0.932169
0.931995, 0.986679, 0.971555, 0.931995
0.931823, 0.986636, 0.971471, 0.931823
0.931650, 0.986592, 0.971386, 0.931650
0.931478, 0.986549, 0.971301, 0.931478
0.931305, 0.986505, 0.971216, 0.931305
0.931131, 0.986462, 0.971132, 0.931131
0.930958, 0.986418, 0.971048, 0.930958
0.930785, 0.986374, 0.970965, 0.930785
0.930612, 0.986331, 0.970881, 0.930612
0.930440, 0.986287, 0.970797, 0.930440
0.930267, 0.986244, 0.970713, 0.930267
0.930096, 0.986200, 0.970629, 0.930096
0.929923, 0.986156, 0.970544, 0.929923
0.929751, 0.986113, 0.970460, 0.929751
0.929578, 0.986069, 0.970376, 0.929578
0.929405, 0.986025, 0.970291, 0.929405
0.929233, 0.985981, 0.970206, 0.929233
0.929061, 0.985937, 0.970121, 0.929061
0.928890, 0.985894, 0.970035, 0.928890
0.928718, 0.985850, 0.969949, 0.928718
0.928547, 0.985806, 0.969864, 0.928547
0.928376, 0.985762, 0.969779, 0.928376
0.928204, 0.985718, 0.969695, 0.928204
0.928033, 0.985674, 0.969610, 0.928033
0.927861, 0.985630, 0.969526, 0.927861
0.927688, 0.985587, 0.969441, 0.927688
0.927518, 0.985543, 0.969356, 0.927518
0.927347, 0.985499, 0.969270, 0.927347
0.927178, 0.985455, 0.969184, 0.927178
0.927009, 0.985411, 0.969097, 0.927009
0.926840, 0.985367, 0.969011, 0.926840
0.926671, 0.985323, 0.968926, 0.926671
0.926501, 0.985279, 0.968840, 0.926501
0.926331, 0.985235, 0.968754, 0.926331
0.926160, 0.985191, 0.968667, 0.926160
0.925990, 0.985147, 0.968581, 0.925990
0.925819, 0.985103, 0.968495, 0.925819
0.925649, 0.985058, 0.968409, 0.925649
0.925480, 0.985014, 0.968322, 0.925480
0.925312, 0.984970, 0.968236, 0.925312
0.925143, 0.984926, 0.968150, 0.925143
0.924974, 0.984882, 0.968062, 0.924974
0.924805, 0.984838, 0.967975, 0.924805
0.924635, 0.984794, 0.967888, 0.924635
0.924464, 0.984749, 0.967801, 0.924464
0.924294, 0.984705, 0.967714, 0.924294
0.924125, 0.984661, 0.967626, 0.924125
0.923956, 0.984617, 0.967540, 0.923956
0.923786, 0.984572, 0.967453, 0.923786
0.923616, 0.984528, 0.967365, 0.923616
0.923448, 0.984484, 0.967279, 0.923448
0.923280, 0.984440, 0.967192, 0.923280
0.923114, 0.984395, 0.967106, 0.923114
0.922948, 0.984351, 0.967020, 0.922948
0.922781, 0.984306, 0.966933, 0.922781
0.922612, 0.984262, 0.966846, 0.922612
0.922443, 0.984218, 0.966760, 0.922443
0.922273, 0.984173, 0.966672, 0.922273
0.922104, 0.984129, 0.966585, 0.922104
0.921934, 0.984085, 0.966498, 0.921934
0.921764, 0.984040, 0.966412, 0.921764
0.921594, 0.983996, 0.966324, 0.921594
0.921423, 0.983951, 0.966237, 0.921423
0.921251, 0.983907, 0.966149, 0.921251
0.921080, 0.983863, 0.966062, 0.921080
0.920909, 0.983818, 0.965975, 0.920909
0.920738, 0.983774, 0.965888, 0.920738
0.920568, 0.983729, 0.965802, 0.920568
0.920397, 0.983685, 0.965716, 0.920397
0.920228, 0.983640, 0.965630, 0.920228
0.920058, 0.983596, 0.965544, 0.920058
0.919890, 0.983552, 0.965458, 0.919890
0.919722, 0.983507, 0.965373, 0.919722
0.919554, 0.983463, 0.965287, 0.919554
0.919387, 0.983418, 0.965201, 0.919387
0.919218, 0.983374, 0.965115, 0.919218
0.919051, 0.983329, 0.965029, 0.919051
0.918884, 0.983285, 0.964944, 0.918884
0.918717, 0.983240, 0.964859, 0.918717
0.918550, 0.983196, 0.964775, 0.918550
0.918385, 0.983151, 0.964690, 0.918385
0.918221, 0.983107, 0.964605, 0.918221
0.918058, 0.983062, 0.964520, 0.918058
0.917896, 0.983017, 0.964436, 0.917896
0.917734, 0.982973, 0.964351, 0.917734
0.917572, 0.982928, 0.964266, 0.917572
0.917410, 0.982884, 0.964182, 0.917410
0.917248, 0.982839, 0.964097, 0.917248
0.917086, 0.982794, 0.964011, 0.917086
0.916925, 0.982750, 0.963927, 0.916925
0.916762, 0.982705, 0.963842, 0.916762
0.916599, 0.982661, 0.963758, 0.916599
0.916435, 0.982616, 0.963673, 0.916435
0.916272, 0.982571, 0.963589, 0.916272
0.916110, 0.982527, 0.963505, 0.916110
0.915947, 0.982482, 0.963421, 0.915947
0.915785, 0.982437, 0.963337, 0.915785
0.915624, 0.982392, 0.963254, 0.915624
0.915464, 0.982348, 0.963170, 0.915464
0.915302, 0.982303, 0.963087, 0.915302
0.915140, 0.982258, 0.963003, 0.915140
0.914978, 0.982214, 0.962919, 0.914978
0.914817, 0.982169, 0.962835, 0.914817
0.914655, 0.982124, 0.962751, 0.914655
0.914494, 0.982079, 0.962668, 0.914494
0.914331, 0.982035, 0.962585, 0.914331
0.914169, 0.981990, 0.962502, 0.914169
0.914004, 0.981945, 0.962417, 0.914004
0.913838, 0.981900, 0.962333, 0.913838
0.913675, 0.981856, 0.962248, 0.913675
0.913510, 0.981811, 0.962164, 0.913510
0.913346, 0.981766, 0.962080, 0.913346
0.913180, 0.981721, 0.961996, 0.913180
0.913015, 0.981677, 0.961911, 0.913015
0.912848, 0.981632, 0.961827, 0.912848
0.912682, 0.981587, 0.961743, 0.912682
0.912516, 0.981543, 0.961659, 0.912516
0.912352, 0.981498, 0.961576, 0.912352
0.912188, 0.981453, 0.961493, 0.912188
