N, Var_U, Var_CV, Var_P, Var_R
100000, 5.409485, 0.002097, 0.000690, 0.000889
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.960500, 0.997181, 0.972045, 0.960500
102, 0.923688, 0.994184, 0.944952, 0.923688
153, 0.887138, 0.991149, 0.917378, 0.887138
204, 0.851909, 0.988292, 0.891659, 0.851909
255, 0.819000, 0.985495, 0.866130, 0.819000
306, 0.787363, 0.982815, 0.840916, 0.787363
357, 0.754646, 0.980023, 0.816019, 0.754646
408, 0.724342, 0.977048, 0.793615, 0.724342
459, 0.694345, 0.973929, 0.771748, 0.694345
510, 0.666243, 0.970760, 0.749746, 0.666243
561, 0.640298, 0.967604, 0.728437, 0.640298
612, 0.616548, 0.964584, 0.708096, 0.616548
663, 0.594168, 0.961647, 0.687965, 0.594168
714, 0.573046, 0.958714, 0.668775, 0.573046
765, 0.552198, 0.955788, 0.650240, 0.552198
816, 0.532929, 0.952759, 0.632033, 0.532929
867, 0.514783, 0.949623, 0.614784, 0.514783
918, 0.497768, 0.946412, 0.597969, 0.497768
969, 0.483951, 0.943176, 0.582964, 0.483951
1020, 0.471272, 0.939932, 0.568419, 0.471272
1071, 0.459129, 0.936642, 0.555348, 0.459129
1122, 0.447110, 0.933294, 0.542025, 0.447110
1173, 0.434408, 0.929913, 0.529336, 0.434408
1224, 0.421402, 0.926495, 0.517506, 0.421402
1275, 0.408367, 0.923026, 0.505585, 0.408367
1326, 0.396434, 0.919521, 0.493191, 0.396434
1377, 0.384301, 0.916004, 0.481578, 0.384301
1428, 0.372324, 0.912499, 0.469883, 0.372324
1479, 0.359656, 0.909018, 0.458695, 0.359656
1530, 0.347603, 0.905565, 0.445420, 0.347603
1581, 0.333479, 0.902096, 0.429633, 0.333479
1632, 0.320661, 0.898592, 0.413875, 0.320661
1683, 0.308008, 0.895049, 0.398402, 0.308008
1734, 0.296821, 0.891468, 0.383589, 0.296821
1785, 0.287399, 0.887858, 0.370516, 0.287399
1836, 0.278624, 0.884254, 0.358076, 0.278624
1887, 0.269557, 0.880632, 0.345632, 0.269557
1938, 0.263815, 0.876985, 0.335282, 0.263815
1989, 0.259368, 0.873343, 0.326029, 0.259368
2040, 0.257298, 0.869684, 0.318720, 0.257298
2091, 0.256658, 0.865997, 0.313478, 0.256658
2142, 0.254077, 0.862283, 0.308275, 0.254077
2193, 0.250236, 0.858544, 0.302638, 0.250236
2244, 0.245106, 0.854776, 0.297493, 0.245106
2295, 0.239587, 0.850980, 0.291998, 0.239587
2346, 0.234095, 0.847154, 0.285985, 0.234095
2397, 0.228775, 0.843297, 0.278735, 0.228775
2448, 0.223051, 0.839401, 0.272582, 0.223051
2499, 0.217131, 0.835467, 0.265626, 0.217131
2550, 0.209733, 0.831497, 0.257318, 0.209733
2601, 0.201410, 0.827491, 0.249626, 0.201410
2652, 0.192024, 0.823460, 0.240703, 0.192024
2703, 0.182401, 0.819418, 0.231842, 0.182401
2754, 0.173749, 0.815380, 0.223143, 0.173749
2805, 0.165505, 0.811342, 0.214299, 0.165505
2856, 0.157701, 0.807315, 0.206778, 0.157701
2907, 0.149163, 0.803298, 0.198073, 0.149163
2958, 0.141292, 0.799275, 0.189345, 0.141292
3009, 0.132727, 0.795306, 0.180927, 0.132727
3060, 0.125018, 0.791447, 0.173228, 0.125018
3111, 0.118822, 0.787752, 0.164575, 0.118822
3162, 0.114575, 0.784258, 0.157071, 0.114575
3213, 0.108382, 0.780947, 0.149249, 0.108382
3264, 0.102800, 0.777719, 0.142130, 0.102800
3315, 0.097023, 0.774501, 0.136934, 0.097023
3366, 0.090617, 0.771269, 0.132731, 0.090617
3417, 0.084449, 0.768018, 0.128285, 0.084449
3468, 0.079205, 0.764747, 0.123456, 0.079205
3519, 0.072671, 0.761467, 0.118540, 0.072671
3570, 0.066798, 0.758194, 0.113129, 0.066798
3621, 0.062512, 0.754960, 0.110290, 0.062512
3672, 0.060148, 0.751793, 0.107744, 0.060148
3723, 0.059295, 0.748680, 0.105973, 0.059295
3774, 0.059569, 0.745582, 0.105492, 0.059569
3825, 0.059682, 0.742568, 0.104245, 0.059682
3876, 0.060466, 0.739652, 0.102536, 0.060466
3927, 0.060343, 0.736910, 0.100062, 0.060343
3978, 0.062024, 0.734404, 0.098289, 0.062024
4029, 0.063472, 0.732070, 0.095330, 0.063472
4080, 0.065136, 0.729809, 0.092149, 0.065136
4131, 0.066238, 0.727597, 0.088283, 0.066238
4182, 0.065922, 0.725407, 0.083190, 0.065922
4233, 0.065625, 0.723247, 0.078528, 0.065625
