Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.982798, 10.997666, 10.996490, 10.982798
21, 20.938212, 20.991528, 20.987468, 20.938212
31, 30.865942, 30.983530, 30.972635, 30.865942
41, 40.787395, 40.999028, 40.954897, 40.787395
51, 50.645821, 50.956582, 50.925828, 50.645821
61, 60.498029, 60.972518, 60.894541, 60.498029
71, 70.333281, 70.951350, 70.862913, 70.333281
81, 80.142246, 80.920321, 80.822927, 80.142246
91, 89.900308, 90.840985, 90.765254, 89.900308
101, 99.725460, 100.977097, 100.727793, 99.725460
111, 109.312825, 110.763227, 110.653809, 109.312825
121, 119.103684, 120.859163, 120.610102, 119.103684
131, 128.884403, 130.866501, 130.556074, 128.884403
141, 138.484164, 140.903537, 140.473440, 138.484164
151, 148.201941, 150.873810, 150.401146, 148.201941
161, 157.843662, 160.929402, 160.326642, 157.843662
171, 167.228681, 170.501675, 170.193271, 167.228681
181, 176.776458, 180.655056, 180.111154, 176.776458
191, 186.346994, 190.558191, 190.012075, 186.346994
201, 195.864296, 200.551165, 199.931717, 195.864296
211, 205.209625, 210.109157, 209.812727, 205.209625
221, 215.196819, 220.480855, 219.722725, 215.196819
231, 224.464823, 229.967885, 229.578789, 224.464823
241, 233.730521, 239.829814, 239.428856, 233.730521
251, 243.419478, 250.437905, 249.349121, 243.419478
261, 253.022317, 260.772776, 259.240788, 253.022317
271, 262.107445, 270.968018, 269.080868, 262.107445
281, 271.297654, 279.516005, 278.998993, 271.297654
291, 280.825626, 289.817083, 288.788839, 280.825626
301, 290.869364, 300.531365, 298.733773, 290.869364
311, 299.353036, 309.850729, 308.483911, 299.353036
321, 309.440488, 319.811831, 318.425379, 309.440488
331, 318.727304, 330.691046, 328.324470, 318.727304
341, 327.895070, 340.323439, 338.161888, 327.895070
351, 336.831390, 348.603237, 347.827159, 336.831390
361, 346.813226, 360.918175, 357.822491, 346.813226
371, 355.120379, 369.361678, 367.625996, 355.120379
381, 364.762131, 379.496411, 377.323790, 364.762131
391, 373.531000, 388.484285, 387.110325, 373.531000
401, 382.226871, 399.639210, 396.799068, 382.226871
411, 392.410738, 409.808551, 406.680662, 392.410738
421, 401.021122, 418.923012, 416.493847, 401.021122
431, 411.466464, 430.825369, 426.523825, 411.466464
441, 419.156888, 437.776668, 436.165229, 419.156888
451, 429.039802, 447.743935, 445.762966, 429.039802
461, 436.959094, 456.743508, 455.876933, 436.959094
471, 445.659212, 469.403242, 465.562598, 445.659212
481, 456.004613, 476.458116, 475.538124, 456.004613
491, 464.553324, 487.457972, 485.057981, 464.553324
501, 475.818432, 497.659942, 495.087102, 475.818432
511, 480.219636, 507.007423, 504.123447, 480.219636
521, 491.438189, 515.438902, 514.179160, 491.438189
531, 500.324933, 528.891500, 523.885299, 500.324933
541, 508.269305, 535.576439, 533.649074, 508.269305
551, 518.064852, 547.654361, 543.460253, 518.064852
561, 527.807548, 559.100515, 553.214725, 527.807548
571, 536.545364, 569.872786, 563.219010, 536.545364
581, 545.007412, 579.928909, 572.654118, 545.007412
591, 554.092925, 589.238471, 582.259262, 554.092925
601, 564.658857, 597.769602, 592.289321, 564.658857
611, 570.936041, 605.464176, 601.331765, 570.936041
621, 578.193920, 620.471691, 611.004106, 578.193920
631, 588.358009, 626.678601, 620.876591, 588.358009
641, 598.566317, 640.652826, 631.472632, 598.566317
651, 605.397197, 645.225969, 640.221832, 605.397197
661, 613.985544, 658.041315, 651.058932, 613.985544
671, 628.613256, 670.361416, 660.754479, 628.613256
681, 633.596234, 672.355653, 668.839258, 633.596234
691, 641.570306, 683.379195, 678.836794, 641.570306
701, 650.553720, 693.825486, 689.243234, 650.553720
711, 660.475576, 703.691396, 699.166669, 660.475576
