N, Var_U, Var_CV, Var_P, Var_R
100000, 1.630508, 0.000007, 0.002559, 0.000268
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.927018, 0.988034, 0.979537, 0.927018
102, 0.854977, 0.972885, 0.959301, 0.854977
153, 0.786158, 0.954846, 0.939675, 0.786158
204, 0.722776, 0.934522, 0.919919, 0.722776
255, 0.663292, 0.913595, 0.900438, 0.663292
306, 0.609352, 0.891588, 0.880402, 0.609352
357, 0.559407, 0.869028, 0.860923, 0.559407
408, 0.514068, 0.848147, 0.842001, 0.514068
459, 0.472743, 0.829165, 0.823251, 0.472743
510, 0.434853, 0.810764, 0.804956, 0.434853
561, 0.399759, 0.792317, 0.787442, 0.399759
612, 0.373910, 0.773839, 0.770640, 0.373910
663, 0.354368, 0.755277, 0.753775, 0.354368
714, 0.337668, 0.736456, 0.736604, 0.337668
765, 0.319336, 0.717561, 0.719654, 0.319336
816, 0.300176, 0.698818, 0.703311, 0.300176
867, 0.281475, 0.681423, 0.686890, 0.281475
918, 0.266627, 0.667146, 0.670858, 0.266627
969, 0.249787, 0.655892, 0.654720, 0.249787
1020, 0.232383, 0.647543, 0.639343, 0.232383
1071, 0.218055, 0.641901, 0.624900, 0.218055
1122, 0.208080, 0.638966, 0.611223, 0.208080
1173, 0.198727, 0.639248, 0.597246, 0.198727
1224, 0.187013, 0.642743, 0.584285, 0.187013
1275, 0.173144, 0.648288, 0.572006, 0.173144
1326, 0.155582, 0.654904, 0.560545, 0.155582
1377, 0.139587, 0.661385, 0.550224, 0.139587
1428, 0.123947, 0.667489, 0.538970, 0.123947
1479, 0.108345, 0.673172, 0.528508, 0.108345
1530, 0.094430, 0.678426, 0.518775, 0.094430
1581, 0.087091, 0.683257, 0.508293, 0.087091
1632, 0.078703, 0.687425, 0.498918, 0.078703
1683, 0.072102, 0.690853, 0.490702, 0.072102
1734, 0.068802, 0.693386, 0.483011, 0.068802
1785, 0.066682, 0.694906, 0.476358, 0.066682
1836, 0.064119, 0.695592, 0.471107, 0.064119
1887, 0.064226, 0.695460, 0.465705, 0.064226
1938, 0.066845, 0.694358, 0.460808, 0.066845
1989, 0.067339, 0.692470, 0.456408, 0.067339
2040, 0.068357, 0.689795, 0.451241, 0.068357
2091, 0.070157, 0.686329, 0.446395, 0.070157
2142, 0.067986, 0.682174, 0.443480, 0.067986
2193, 0.060716, 0.677651, 0.440913, 0.060716
2244, 0.054775, 0.673130, 0.439005, 0.054775
2295, 0.052827, 0.668685, 0.438426, 0.052827
2346, 0.050794, 0.664416, 0.437847, 0.050794
2397, 0.047828, 0.660266, 0.437010, 0.047828
