N, Var_U, Var_CV, Var_P, Var_R
100000, 1.297520, 0.000203, 0.000076, 0.000213
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.936628, 0.994804, 0.948062, 0.936628
102, 0.884034, 0.988958, 0.902357, 0.884034
153, 0.836162, 0.984227, 0.859088, 0.836162
204, 0.794261, 0.979344, 0.818813, 0.794261
255, 0.753431, 0.973804, 0.777691, 0.753431
306, 0.719355, 0.969432, 0.742132, 0.719355
357, 0.687645, 0.968063, 0.708951, 0.687645
408, 0.660734, 0.967732, 0.679760, 0.660734
459, 0.634985, 0.967338, 0.652676, 0.634985
510, 0.609041, 0.966482, 0.627632, 0.609041
561, 0.584694, 0.965241, 0.604685, 0.584694
612, 0.560542, 0.963658, 0.581932, 0.560542
663, 0.540262, 0.961764, 0.562502, 0.540262
714, 0.522663, 0.959581, 0.545234, 0.522663
765, 0.506339, 0.957228, 0.530069, 0.506339
816, 0.487760, 0.954684, 0.512118, 0.487760
867, 0.473160, 0.951979, 0.496078, 0.473160
918, 0.459868, 0.949122, 0.480555, 0.459868
969, 0.443961, 0.946060, 0.462825, 0.443961
1020, 0.427197, 0.942804, 0.444121, 0.427197
1071, 0.409183, 0.939444, 0.426641, 0.409183
1122, 0.391817, 0.936023, 0.409297, 0.391817
1173, 0.377552, 0.932496, 0.394013, 0.377552
1224, 0.366378, 0.928871, 0.382713, 0.366378
1275, 0.359776, 0.925286, 0.373974, 0.359776
1326, 0.352159, 0.921674, 0.365537, 0.352159
1377, 0.349065, 0.917952, 0.361908, 0.349065
1428, 0.349939, 0.914152, 0.361849, 0.349939
1479, 0.352057, 0.910271, 0.364725, 0.352057
1530, 0.350036, 0.906282, 0.364375, 0.350036
1581, 0.346731, 0.902179, 0.362328, 0.346731
1632, 0.340164, 0.898025, 0.357781, 0.340164
1683, 0.336436, 0.893794, 0.354224, 0.336436
1734, 0.333926, 0.889540, 0.350712, 0.333926
1785, 0.332775, 0.885273, 0.349639, 0.332775
1836, 0.330484, 0.880990, 0.346657, 0.330484
