N, Var_U, Var_CV, Var_P, Var_R
100000, 2.439129, 0.000212, 0.000173, 0.000401
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.936411, 0.990353, 0.946588, 0.936411
102, 0.876032, 0.979075, 0.894836, 0.876032
153, 0.816271, 0.966384, 0.844152, 0.816271
204, 0.764931, 0.953378, 0.798085, 0.764931
255, 0.717750, 0.940832, 0.753487, 0.717750
306, 0.675382, 0.928004, 0.712565, 0.675382
357, 0.633759, 0.914902, 0.673145, 0.633759
408, 0.592352, 0.901531, 0.632785, 0.592352
459, 0.557126, 0.887917, 0.596037, 0.557126
510, 0.523458, 0.874108, 0.561705, 0.523458
561, 0.493377, 0.860486, 0.529040, 0.493377
612, 0.468329, 0.848003, 0.500452, 0.468329
663, 0.447978, 0.836667, 0.476353, 0.447978
714, 0.426350, 0.827934, 0.451162, 0.426350
765, 0.406368, 0.822840, 0.428346, 0.406368
816, 0.387119, 0.820524, 0.407454, 0.387119
867, 0.367481, 0.819883, 0.387669, 0.367481
918, 0.350893, 0.819087, 0.369287, 0.350893
969, 0.336335, 0.817714, 0.353503, 0.336335
1020, 0.322264, 0.815889, 0.337865, 0.322264
1071, 0.307709, 0.813845, 0.320805, 0.307709
1122, 0.291001, 0.811969, 0.304012, 0.291001
1173, 0.271681, 0.810335, 0.286767, 0.271681
1224, 0.252831, 0.808819, 0.270194, 0.252831
1275, 0.236194, 0.807131, 0.255565, 0.236194
1326, 0.222740, 0.805194, 0.243124, 0.222740
1377, 0.209475, 0.803039, 0.229404, 0.209475
1428, 0.200660, 0.800552, 0.218049, 0.200660
1479, 0.188239, 0.797690, 0.202981, 0.188239
1530, 0.175174, 0.794461, 0.187040, 0.175174
1581, 0.163929, 0.791126, 0.172298, 0.163929
1632, 0.154494, 0.787934, 0.159347, 0.154494
1683, 0.145913, 0.785362, 0.148101, 0.145913
1734, 0.137985, 0.783674, 0.138686, 0.137985
1785, 0.130659, 0.782238, 0.129349, 0.130659
1836, 0.120501, 0.780675, 0.118328, 0.120501
1887, 0.109649, 0.778964, 0.105486, 0.109649
1938, 0.101702, 0.777067, 0.095797, 0.101702
1989, 0.098136, 0.775044, 0.089183, 0.098136
2040, 0.096049, 0.773075, 0.084371, 0.096049
