Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
101, 96.230271, 100.981158, 96.771865, 96.230271
201, 184.152762, 200.917830, 185.547291, 184.152762
301, 263.726038, 300.532808, 266.165028, 263.726038
401, 340.667415, 399.949495, 343.497383, 340.667415
501, 412.794851, 499.522609, 416.951271, 412.794851
601, 471.848713, 596.845427, 476.146486, 471.848713
701, 530.409877, 694.713703, 536.516813, 530.409877
801, 602.197074, 793.094900, 607.089300, 602.197074
901, 663.336492, 896.733298, 669.642551, 663.336492
1001, 704.820238, 983.254664, 709.248836, 704.820238
1101, 748.970728, 1089.064165, 753.342881, 748.970728
1201, 803.391657, 1171.723717, 810.229280, 803.391657
1301, 868.883186, 1267.042110, 874.591634, 868.883186
1401, 895.441771, 1360.268222, 901.778540, 895.441771
1501, 925.305776, 1469.451524, 931.613057, 925.305776
1601, 955.107728, 1546.265938, 961.210108, 955.107728
1701, 1008.819184, 1624.250950, 1016.770028, 1008.819184
1801, 1049.594683, 1701.842765, 1060.358034, 1049.594683
1901, 1068.770555, 1785.811684, 1078.956278, 1068.770555
2001, 1118.742065, 1892.259787, 1126.158777, 1118.742065
2101, 1195.154124, 2002.178236, 1206.987135, 1195.154124
2201, 1234.634957, 2123.970817, 1244.554853, 1234.634957
2301, 1215.181528, 2220.138933, 1214.620802, 1215.181528
2401, 1130.984873, 2278.664846, 1136.945828, 1130.984873
2501, 1290.052817, 2329.120801, 1307.933022, 1290.052817
2601, 1227.121192, 2355.423984, 1232.483777, 1227.121192
2701, 1312.449977, 2378.114173, 1324.290998, 1312.449977
2801, 1411.572461, 2426.094978, 1426.435726, 1411.572461
2901, 1280.194429, 2449.313805, 1289.009946, 1280.194429
3001, 1441.311780, 2486.100622, 1450.895219, 1441.311780
3101, 1536.661266, 2543.383270, 1562.456496, 1536.661266
3201, 1511.377427, 2624.234224, 1523.578835, 1511.377427
3301, 1615.214228, 2728.142567, 1622.860811, 1615.214228
3401, 1520.890415, 2850.542881, 1533.126359, 1520.890415
3501, 1495.469652, 2990.084268, 1520.055799, 1495.469652
3601, 1558.728062, 3139.603557, 1572.246579, 1558.728062
3701, 1665.398453, 3234.133735, 1676.889551, 1665.398453
3801, 1464.727908, 3394.909351, 1479.657375, 1464.727908
3901, 1377.860628, 3559.968145, 1379.610405, 1377.860628
4001, 1657.580725, 3731.977177, 1666.428026, 1657.580725
4101, 1490.710950, 3818.702026, 1502.484568, 1490.710950
4201, 1860.589098, 3990.882113, 1879.879108, 1860.589098
4301, 1756.919159, 4067.251170, 1769.244144, 1756.919159
4401, 1731.216379, 4230.132309, 1741.181292, 1731.216379
4501, 1376.269494, 4265.424842, 1389.064233, 1376.269494
4601, 1474.364234, 4377.735286, 1482.772558, 1474.364234
4701, 1372.275442, 4351.379884, 1384.970869, 1372.275442
4801, 1323.394878, 4417.275164, 1320.362663, 1323.394878
4901, 1604.495713, 4353.331526, 1612.597131, 1604.495713
5001, 1677.298443, 4403.965673, 1700.804859, 1677.298443
5101, 1598.499057, 4331.362800, 1612.241148, 1598.499057
5201, 1312.429024, 4265.250169, 1309.236993, 1312.429024
5301, 1261.396809, 4301.697644, 1269.930815, 1261.396809
5401, 1310.717800, 4202.949578, 1323.117135, 1310.717800
5501, 1292.226297, 4097.952088, 1297.221128, 1292.226297
5601, 1472.913441, 4092.628128, 1480.228489, 1472.913441
5701, 1103.370963, 3982.532856, 1118.910131, 1103.370963
5801, 1104.398795, 3874.711898, 1103.060649, 1104.398796
5901, 1195.403453, 3854.656608, 1199.734935, 1195.403453
6001, 1606.522601, 3744.420304, 1610.214996, 1606.522601
6101, 1926.323898, 3646.056533, 1943.166817, 1926.323898
6201, 1870.682559, 3560.695579, 1903.496671, 1870.682559
6301, 1742.895774, 3540.678894, 1773.946839, 1742.895774
6401, 1494.496874, 3457.990025, 1499.394333, 1494.496874
6501, 1712.367104, 3385.431679, 1706.243079, 1712.367104
6601, 1839.662391, 3324.376942, 1835.672476, 1839.662391
6701, 1525.202280, 3307.681761, 1533.995244, 1525.202280
6801, 1422.772248, 3245.306350, 1436.031709, 1422.772248
6901, 1307.342066, 3190.267388, 1327.089881, 1307.342066
7001, 1374.069570, 3141.384261, 1388.416919, 1374.069570
7101, 1435.412273, 3100.820743, 1437.539858, 1435.412273
7201, 1088.976882, 3073.276756, 1101.495991, 1088.976882
7301, 878.065670, 3030.518985, 894.725787, 878.065670
7401, 826.880194, 2995.946113, 841.749935, 826.880194
7501, 993.021474, 2969.600164, 1004.631368, 993.021474
7601, 1038.259505, 2950.131308, 1042.305441, 1038.259505
7701, 1274.861220, 2916.697916, 1280.474028, 1274.861220
7801, 1515.784841, 2905.209354, 1517.630843, 1515.784841
7901, 1695.091817, 2889.559206, 1707.797453, 1695.091817
8001, 1703.232241, 2878.244228, 1720.595646, 1703.232241
8101, 1674.061245, 2874.861369, 1696.355102, 1674.061245
8201, 1478.172438, 2879.572312, 1499.892194, 1478.172438
8301, 1613.015926, 2888.996140, 1619.413359, 1613.015926
8401, 1605.287256, 2847.230800, 1612.628378, 1605.287256
8501, 1376.696632, 2857.488282, 1383.516922, 1376.696632
8601, 1418.312781, 2859.310507, 1423.527578, 1418.312781
8701, 1563.284866, 2862.443272, 1568.150566, 1563.284866
8801, 1699.330956, 2867.958560, 1708.038930, 1699.330957
8901, 1718.717633, 2874.650504, 1740.635349, 1718.717633
9001, 1825.123944, 2886.779949, 1845.278416, 1825.123944
9101, 1858.029529, 2807.875768, 1879.086420, 1858.029529
9201, 1853.162467, 2831.235696, 1876.275612, 1853.162467
9301, 1974.415571, 2855.510507, 2004.733814, 1974.415571
9401, 1869.769616, 2874.930220, 1890.453230, 1869.769616
9501, 1671.143718, 2892.423234, 1668.768511, 1671.143719
9601, 1630.682698, 2912.724711, 1607.120828, 1630.682698
9701, 1671.769827, 2933.074486, 1640.839742, 1671.769827
9801, 1564.085338, 2953.977984, 1538.992940, 1564.085339
9901, 1493.205503, 2977.701998, 1472.814676, 1493.205504
10001, 1455.797547, 2852.806939, 1442.054222, 1455.797548
10101, 1245.807379, 2881.346862, 1230.377785, 1245.807379
10201, 1108.586759, 2908.656824, 1099.180314, 1108.586759
10301, 1073.103831, 2933.514571, 1067.338561, 1073.103831
10401, 1086.881990, 2954.818813, 1088.043036, 1086.881990
10501, 1161.661773, 2970.113756, 1166.401213, 1161.661773
10601, 1241.420033, 2986.582045, 1254.079955, 1241.420033
10701, 1317.321732, 3005.193679, 1340.300615, 1317.321732
10801, 1552.044655, 3024.516037, 1585.111325, 1552.044655
10901, 1732.241531, 3044.824413, 1767.866446, 1732.241531
11001, 1775.542563, 3066.924968, 1820.822121, 1775.542563
11101, 1845.544421, 3089.796753, 1883.425135, 1845.544421
11201, 2010.016256, 2893.566021, 2062.338391, 2010.016256
11301, 1742.573350, 2924.647177, 1794.794316, 1742.573350
11401, 1327.693890, 2958.271785, 1367.346294, 1327.693890
11501, 1115.375126, 2989.110684, 1138.856198, 1115.375126
11601, 1118.638710, 3020.745208, 1129.818924, 1118.638711
11701, 1033.312157, 3050.013490, 1032.162262, 1033.312157
11801, 1046.375729, 3073.149770, 1040.467941, 1046.375730
11901, 1163.267444, 3097.215064, 1156.740339, 1163.267445
12001, 1181.277829, 3123.297534, 1169.715467, 1181.277829
12101, 1257.778952, 3152.234784, 1244.120029, 1257.778952
12201, 1249.703892, 3182.275565, 1244.056442, 1249.703892
12301, 1202.567192, 3213.921584, 1200.869207, 1202.567192
12401, 1208.650905, 3247.115494, 1218.113644, 1208.650905
12501, 1317.233720, 2957.936840, 1334.091636, 1317.233720
12601, 1324.059146, 2991.236598, 1342.938525, 1324.059146
12701, 1298.866299, 3026.317512, 1324.471910, 1298.866299
12801, 1323.847028, 3062.455837, 1345.810444, 1323.847028
12901, 1510.389413, 3099.406046, 1537.827939, 1510.389413
13001, 1705.854076, 3138.221069, 1738.734414, 1705.854076
13101, 1859.311594, 3173.943157, 1903.224702, 1859.311594
13201, 1923.919161, 3205.070010, 1971.276252, 1923.919161
13301, 1992.703265, 3233.985852, 2040.630091, 1992.703265
13401, 2060.105860, 3257.853916, 2115.220253, 2060.105860
13501, 2162.897749, 3280.186378, 2224.498871, 2162.897749
13601, 2037.951619, 3305.751402, 2087.431449, 2037.951619
13701, 1903.764595, 3334.951156, 1954.420300, 1903.764594
13801, 1877.683739, 3367.332357, 1933.272065, 1877.683739
13901, 1875.050989, 3400.212426, 1924.209405, 1875.050989
14001, 1756.973681, 3433.228556, 1796.692548, 1756.973680
14101, 1587.141315, 3466.540339, 1614.703469, 1587.141315
14201, 1422.292676, 3499.916398, 1449.915603, 1422.292676
14301, 1319.913769, 3066.919068, 1349.520357, 1319.913768
14401, 1121.729556, 3096.523844, 1139.833932, 1121.729556
14501, 1058.527995, 3125.861778, 1070.653782, 1058.527995
14601, 817.137811, 3156.587241, 825.804216, 817.137811
14701, 650.736629, 3189.205151, 653.662025, 650.736629
14801, 484.270001, 3224.842849, 485.973550, 484.270001
14901, 387.106691, 3266.750614, 385.892564, 387.106691
15001, 363.242701, 3312.866412, 358.517665, 363.242701
15101, 376.479675, 3360.446754, 368.564136, 376.479675
15201, 405.668805, 3410.230148, 395.693688, 405.668805
15301, 438.666672, 3457.065662, 426.749058, 438.666672
15401, 445.172375, 3503.507205, 434.352970, 445.172375
15501, 494.340146, 3550.360667, 481.926271, 494.340146
15601, 581.510974, 3593.188509, 574.153926, 581.510975
15701, 741.144098, 3630.887583, 737.252434, 741.144098
15801, 864.107155, 3668.906859, 857.787433, 864.107155
15901, 975.908181, 3707.867113, 970.859327, 975.908182
16001, 987.910169, 3747.430950, 978.624393, 987.910170
16101, 1128.223297, 3787.300313, 1122.390611, 1128.223297
16201, 1296.110896, 3825.817517, 1292.455410, 1296.110897
16301, 1278.768051, 3864.123395, 1277.902327, 1278.768052
16401, 1235.829268, 3903.672350, 1239.484028, 1235.829269
16501, 1215.881931, 3943.547998, 1225.268663, 1215.881931
16601, 1244.449719, 3982.157691, 1254.010633, 1244.449719
16701, 1409.719356, 3371.870000, 1416.992368, 1409.719356
16801, 1343.431288, 3402.460627, 1359.577443, 1343.431288
16901, 1293.104291, 3433.709390, 1316.486514, 1293.104291
17001, 1183.164658, 3466.065519, 1207.446197, 1183.164658
17101, 1237.695184, 3499.032065, 1258.336014, 1237.695184
17201, 1330.808440, 3532.119988, 1357.873268, 1330.808440
17301, 1458.011212, 3565.713592, 1488.466139, 1458.011212
17401, 1588.199332, 3599.226507, 1612.866587, 1588.199333
17501, 1687.389989, 3633.541432, 1715.373752, 1687.389990
17601, 1752.775121, 3667.709776, 1772.247860, 1752.775122
17701, 1835.454367, 3701.329908, 1853.735898, 1835.454368
17801, 1911.109711, 3735.824248, 1943.928811, 1911.109711
17901, 1975.455825, 3770.863274, 2011.329409, 1975.455826
18001, 2051.937248, 3807.193100, 2090.289835, 2051.937249
18101, 2118.090243, 3844.995259, 2154.972641, 2118.090243
18201, 2049.760626, 3883.618799, 2081.878991, 2049.760627
18301, 1898.046770, 3921.302622, 1932.124473, 1898.046771
18401, 1898.363019, 3954.593591, 1932.177887, 1898.363019
18501, 1756.817113, 3988.047218, 1789.033999, 1756.817114
18601, 1567.121112, 4022.743851, 1596.835438, 1567.121112
18701, 1463.393765, 4055.319580, 1484.411012, 1463.393765
18801, 1407.427061, 4083.102706, 1430.752973, 1407.427061
18901, 1301.365489, 4110.429680, 1328.080232, 1301.365489
19001, 1168.735195, 4140.623032, 1186.609558, 1168.735195
19101, 965.150548, 4173.155287, 976.844060, 965.150548
19201, 881.941596, 4207.055912, 880.637957, 881.941596
19301, 819.352198, 4241.639261, 814.273357, 819.352198
19401, 857.616813, 4276.723497, 845.569931, 857.616813
19501, 793.226574, 4312.367955, 778.591261, 793.226574
19601, 694.487970, 4349.239954, 683.185628, 694.487969
19701, 637.993841, 4387.554247, 625.004934, 637.993841
19801, 633.678746, 4426.103630, 617.067225, 633.678746
19901, 627.686628, 4463.366174, 611.623611, 627.686627
20001, 377.891814, 3520.396331, 363.073185, 377.891813
20101, 337.099338, 3547.696296, 321.445291, 337.099338
20201, 262.336727, 3576.910025, 247.561479, 262.336727
20301, 223.211700, 3608.764714, 209.750508, 223.211700
20401, 243.425805, 3639.583912, 227.081401, 243.425805
20501, 231.889264, 3669.637568, 214.053939, 231.889264
