Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
101, 99.278135, 101.005273, 99.882108, 99.278135
201, 194.542339, 201.165581, 196.600423, 194.542339
301, 286.655352, 301.115563, 291.363552, 286.655352
401, 376.108692, 401.343233, 384.194578, 376.108692
501, 461.559801, 501.925763, 473.717956, 461.559801
601, 547.352342, 601.536868, 565.795880, 547.352342
701, 625.988473, 702.961367, 649.610818, 625.988473
801, 711.440309, 804.695704, 740.985122, 711.440309
901, 791.527061, 906.804008, 825.221680, 791.527061
1001, 872.587686, 1007.337922, 907.740867, 872.587686
1101, 944.755322, 1107.949075, 986.207549, 944.755322
1201, 1021.219759, 1201.222592, 1075.665622, 1021.219759
1301, 1129.381643, 1310.856281, 1177.035644, 1129.381643
1401, 1167.116911, 1402.866450, 1235.246712, 1167.116911
1501, 1254.331355, 1509.142332, 1305.481400, 1254.331355
1601, 1299.213846, 1605.790589, 1373.448704, 1299.213846
1701, 1381.672924, 1715.134651, 1460.258165, 1381.672924
1801, 1460.756308, 1808.358121, 1543.494195, 1460.756308
1901, 1488.172626, 1913.127375, 1570.455036, 1488.172626
2001, 1585.127784, 2027.658298, 1667.726515, 1585.127784
2101, 1642.574356, 2113.127825, 1751.586482, 1642.574356
2201, 1741.776948, 2206.515836, 1822.804627, 1741.776948
2301, 1801.611392, 2309.324951, 1919.365678, 1801.611392
2401, 1832.757611, 2418.288152, 1949.862757, 1832.757611
2501, 1929.634925, 2539.731500, 2062.145933, 1929.634925
2601, 1942.217566, 2609.074454, 2109.835510, 1942.217566
2701, 1956.945862, 2677.564577, 2074.321689, 1956.945862
2801, 2058.404481, 2825.786774, 2210.099031, 2058.404481
2901, 2027.453947, 2912.751960, 2197.867495, 2027.453947
3001, 2156.910012, 2994.903891, 2316.546008, 2156.910012
3101, 2210.843042, 3093.875978, 2409.877869, 2210.843042
3201, 2314.866004, 3190.525833, 2463.568580, 2314.866004
3301, 2295.688691, 3290.208049, 2442.956501, 2295.688691
3401, 2279.474684, 3405.107044, 2487.112400, 2279.474684
3501, 2375.764237, 3519.769023, 2566.346276, 2375.764237
3601, 2580.715660, 3635.917057, 2769.100816, 2580.715660
3701, 2499.214051, 3644.096731, 2687.367213, 2499.214051
3801, 2428.436311, 3792.977371, 2678.471911, 2428.436311
3901, 2672.085055, 3932.016486, 2874.835632, 2672.085055
4001, 2641.062270, 4082.078366, 2798.986742, 2641.062270
4101, 2756.084689, 4091.241091, 3022.949877, 2756.084689
4201, 2625.677473, 4273.909454, 2843.314789, 2625.677473
4301, 2576.446924, 4281.868812, 2868.717489, 2576.446924
4401, 2573.334818, 4448.726457, 2776.180510, 2573.334818
4501, 2829.927624, 4445.640505, 3122.427946, 2829.927624
4601, 2672.896369, 4648.842373, 3036.203223, 2672.896369
4701, 2663.199372, 4657.976142, 3033.789842, 2663.199372
4801, 3012.788261, 4885.249672, 3267.839590, 3012.788261
4901, 3003.239633, 4887.504375, 3237.756891, 3003.239633
5001, 3142.017365, 5109.988976, 3397.372678, 3142.017365
5101, 2957.746093, 5095.596270, 3201.200671, 2957.746093
5201, 3135.790266, 5097.035158, 3550.722765, 3135.790266
5301, 3317.966391, 5377.584191, 3690.802015, 3317.966391
5401, 2987.931870, 5397.984142, 3225.262163, 2987.931870
5501, 3071.878149, 5424.175646, 3470.928533, 3071.878149
5601, 3340.268700, 5744.780424, 3731.887793, 3340.268700
5701, 3007.764936, 5754.070851, 3179.225635, 3007.764936
5801, 2768.531861, 5732.168012, 2968.909193, 2768.531861
5901, 3065.440180, 6022.369588, 3423.748917, 3065.440180
6001, 3356.002186, 6001.092023, 3700.965008, 3356.002186
6101, 3456.795557, 5995.788801, 3689.694894, 3456.795557
6201, 3538.396399, 6009.289912, 3806.533410, 3538.396399
6301, 3443.976153, 6417.674242, 3877.558161, 3443.976153
6401, 3031.876247, 6466.959478, 3568.500789, 3031.876247
6501, 2433.162256, 6503.857951, 2894.646239, 2433.162256
6601, 2379.886838, 6532.043215, 2707.486828, 2379.886838
6701, 2637.185983, 6970.773822, 3034.123966, 2637.185983
6801, 2696.991197, 6963.675094, 3097.552689, 2696.991197
6901, 2956.237411, 6928.999786, 3357.155000, 2956.237411
7001, 3026.979437, 6870.746302, 3397.182355, 3026.979437
7101, 3096.342542, 6809.529094, 3465.674451, 3096.342542
7201, 3674.765723, 7238.949437, 4123.335212, 3674.765723
7301, 3907.858325, 7213.005913, 4404.916307, 3907.858325
7401, 4159.248840, 7205.337734, 4580.812823, 4159.248840
7501, 4171.236760, 7219.025095, 4494.981682, 4171.236760
7601, 3882.356033, 7244.349366, 4110.759238, 3882.356033
7701, 3838.126003, 7824.988492, 4147.790936, 3838.126003
7801, 3518.062830, 7876.732455, 3925.175303, 3518.062830
7901, 3136.139107, 7930.713901, 3574.292497, 3136.139107
8001, 2945.069884, 7973.026873, 3342.695596, 2945.069884
8101, 2805.353241, 8001.908261, 3245.694881, 2805.353241
8201, 2672.203072, 8027.012476, 3147.915692, 2672.203072
8301, 2660.239844, 8046.166580, 3138.709599, 2660.239844
8401, 2755.133940, 8720.547865, 3296.571828, 2755.133940
8501, 2823.246571, 8722.860149, 3342.942132, 2823.246571
8601, 2561.686749, 8704.904790, 3159.148094, 2561.686749
8701, 2307.252636, 8662.307408, 2946.875595, 2307.252636
8801, 2315.504908, 8601.816343, 2904.953399, 2315.504908
8901, 2681.113947, 8540.077214, 3220.930575, 2681.113947
9001, 2878.897566, 8478.898018, 3437.446419, 2878.897566
9101, 3350.848539, 9179.389902, 4059.299537, 3350.848539
9201, 3780.161729, 9129.315463, 4616.784352, 3780.161729
9301, 4211.227417, 9091.469070, 5030.096020, 4211.227417
9401, 4527.558700, 9070.461439, 5272.635910, 4527.558700
9501, 4933.846517, 9063.279512, 5588.281166, 4933.846517
9601, 5073.750714, 9067.336517, 5700.719101, 5073.750714
9701, 4910.371850, 9082.570477, 5477.612018, 4910.371850
9801, 4702.633376, 9110.672130, 5167.197079, 4702.633376
9901, 4501.660960, 9152.711996, 4859.073611, 4501.660960
10001, 4539.941996, 10127.190237, 4892.361237, 4539.941996
10101, 4240.375634, 10199.436302, 4629.820734, 4240.375634
10201, 3822.032521, 10273.816732, 4279.686490, 3822.032522
10301, 3535.282238, 10353.257982, 4008.822308, 3535.282238
10401, 3460.616387, 10439.583532, 3941.755981, 3460.616387
10501, 3189.522758, 10524.608724, 3657.561551, 3189.522758
10601, 3044.526692, 10599.928928, 3440.538164, 3044.526692
10701, 2791.946260, 10659.617498, 3125.251686, 2791.946260
10801, 2563.221745, 10706.855273, 2897.579845, 2563.221745
10901, 2473.038660, 10746.234878, 2812.777848, 2473.038660
11001, 2340.395696, 10778.997992, 2743.617989, 2340.395696
11101, 2146.762438, 10798.030374, 2604.675110, 2146.762438
11201, 1825.774455, 12028.816888, 2371.862009, 1825.774455
11301, 1552.913713, 12024.145295, 2078.979831, 1552.913713
11401, 1574.245567, 12001.946003, 2092.764574, 1574.245567
11501, 1601.864760, 11957.342717, 2172.938149, 1601.864760
11601, 1651.888752, 11890.912062, 2237.263400, 1651.888752
11701, 1792.840138, 11807.237092, 2384.687255, 1792.840138
11801, 1836.678094, 11716.774002, 2467.188801, 1836.678094
11901, 2073.905797, 11623.797023, 2761.077756, 2073.905798
12001, 2326.106985, 11529.346633, 3035.442986, 2326.106985
12101, 2651.384649, 11436.871799, 3405.332924, 2651.384649
12201, 2977.324860, 11349.120514, 3789.087800, 2977.324860
12301, 3250.756752, 11264.309174, 4118.183831, 3250.756752
12401, 3454.045243, 11186.485035, 4320.907581, 3454.045243
12501, 3923.266280, 12533.968294, 4955.417982, 3923.266280
12601, 4061.001434, 12473.654527, 5129.727296, 4061.001434
12701, 4018.855178, 12423.391109, 5116.088598, 4018.855178
12801, 3881.828412, 12384.308653, 4998.549702, 3881.828412
12901, 3873.261283, 12354.867524, 4949.796846, 3873.261283
13001, 3840.112115, 12336.752505, 4865.919006, 3840.112115
13101, 3862.756851, 12329.284509, 4836.709610, 3862.756851
13201, 3948.139434, 12332.081412, 4900.268257, 3948.139434
13301, 4106.488231, 12341.885503, 5027.926143, 4106.488231
13401, 4124.111959, 12353.990616, 5103.085887, 4124.111959
13501, 3994.943548, 12366.705082, 5038.219982, 3994.943548
13601, 3836.315449, 12379.398765, 4906.403664, 3836.315449
13701, 3619.793360, 12392.364468, 4677.046170, 3619.793360
13801, 3488.029137, 12408.609858, 4509.742242, 3488.029137
13901, 3538.518713, 12430.594328, 4503.671531, 3538.518713
14001, 3615.922891, 12458.776737, 4467.399445, 3615.922891
14101, 3692.896301, 12491.625441, 4416.001926, 3692.896301
14201, 3848.907267, 12529.528429, 4427.593124, 3848.907267
14301, 4398.388169, 14425.505522, 4973.833811, 4398.388169
14401, 4273.860332, 14492.397229, 4833.281799, 4273.860332
14501, 4128.957999, 14562.006503, 4667.801360, 4128.957999
14601, 3972.257779, 14633.519601, 4426.655347, 3972.257779
14701, 3781.300985, 14706.687175, 4162.518457, 3781.300985
14801, 3632.931011, 14783.659409, 3889.614314, 3632.931011
14901, 3241.283547, 14864.184660, 3467.562938, 3241.283547
15001, 2799.636793, 14942.679715, 3006.029784, 2799.636793
15101, 2556.973274, 15016.231781, 2694.089255, 2556.973274
15201, 2379.124194, 15086.559455, 2453.923865, 2379.124194
15301, 2218.316847, 15152.024107, 2283.923189, 2218.316847
15401, 2137.062072, 15218.399735, 2253.061992, 2137.062072
15501, 2004.591665, 15287.540926, 2179.096225, 2004.591665
15601, 1781.974671, 15357.742292, 2008.091021, 1781.974671
15701, 1450.158837, 15426.251152, 1644.449943, 1450.158837
15801, 1126.312408, 15490.539435, 1364.887513, 1126.312408
15901, 917.007095, 15546.197513, 1152.089421, 917.007095
16001, 737.098964, 15590.259114, 935.138096, 737.098964
16101, 642.202694, 15625.096888, 812.220355, 642.202694
16201, 598.588504, 15654.088231, 724.726470, 598.588504
16301, 596.324660, 15680.295012, 664.576651, 596.324660
16401, 514.856224, 15705.924080, 558.421947, 514.856224
16501, 504.208147, 15729.338022, 523.219469, 504.208147
16601, 517.323603, 15744.403943, 536.868921, 517.323603
16701, 467.865433, 18517.908188, 545.187906, 467.865433
16801, 563.991251, 18531.872246, 652.496312, 563.991251
16901, 622.739040, 18534.821658, 743.524852, 622.739040
17001, 719.226960, 18524.308939, 864.146210, 719.226960
17101, 818.252348, 18496.348336, 987.543887, 818.252348
17201, 932.924113, 18449.433651, 1117.768734, 932.924113
17301, 1073.994640, 18383.044404, 1263.836877, 1073.994640
17401, 1251.025588, 18296.479206, 1467.378264, 1251.025588
17501, 1445.814528, 18192.173615, 1698.776416, 1445.814528
17601, 1658.606881, 18077.125475, 1924.321999, 1658.606881
17701, 1846.895653, 17956.758061, 2126.997352, 1846.895653
