Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.935763, 11.000960, 10.987943, 10.935763
21, 20.770242, 21.003079, 20.955517, 20.770242
31, 30.493351, 31.004906, 30.903499, 30.493351
41, 40.155231, 40.994006, 40.832195, 40.155231
51, 49.652357, 51.007830, 50.740799, 49.652357
61, 59.125094, 60.992270, 60.635510, 59.125094
71, 68.486271, 70.990062, 70.501390, 68.486271
81, 77.768472, 80.991431, 80.359392, 77.768472
91, 86.803196, 91.007571, 90.193144, 86.803196
101, 96.038003, 100.920530, 100.030411, 96.038003
111, 104.847909, 111.000589, 109.826811, 104.847909
121, 113.960463, 120.920737, 119.589899, 113.960463
131, 122.595480, 130.856962, 129.361004, 122.595480
141, 131.397422, 140.792391, 139.076667, 131.397422
151, 140.003566, 150.785869, 148.769002, 140.003566
161, 149.218454, 160.656324, 158.569477, 149.218454
171, 157.025338, 170.832378, 168.198501, 157.025338
181, 165.527842, 180.650227, 177.889841, 165.527842
191, 173.488561, 190.597235, 187.505733, 173.488561
201, 181.275861, 200.571633, 197.321704, 181.275861
211, 190.412126, 210.638329, 206.719850, 190.412126
221, 197.309511, 220.325821, 216.445392, 197.309511
231, 207.676738, 230.406792, 225.787230, 207.676738
241, 214.614041, 240.474569, 235.524614, 214.614041
251, 222.683484, 250.035377, 245.069253, 222.683484
261, 230.958117, 259.608244, 254.525841, 230.958117
271, 236.988442, 269.371816, 264.331492, 236.988442
281, 245.172343, 279.901237, 273.660639, 245.172343
291, 252.271670, 289.562249, 283.255824, 252.271670
301, 262.508112, 298.942067, 292.867628, 262.508112
311, 270.858702, 309.004280, 302.592526, 270.858702
321, 275.627756, 318.909736, 311.243100, 275.627756
331, 281.924001, 328.543998, 320.338569, 281.924001
341, 290.271842, 338.595916, 329.623733, 290.271842
351, 297.812336, 348.992181, 339.516358, 297.812336
361, 305.507098, 357.400570, 348.751259, 305.507098
371, 310.887073, 367.521687, 358.231315, 310.887073
381, 322.965080, 376.972445, 368.013375, 322.965080
391, 325.161526, 387.050526, 375.783118, 325.161526
401, 333.727802, 396.273504, 385.054296, 333.727802
411, 340.061070, 406.104715, 395.124087, 340.061070
421, 347.044040, 416.439630, 403.740151, 347.044040
431, 352.585810, 425.600831, 414.000346, 352.585810
441, 356.614672, 437.113499, 423.733476, 356.614672
451, 366.549246, 447.057080, 432.250573, 366.549246
461, 374.217653, 457.197113, 440.440612, 374.217653
471, 380.170639, 465.393138, 449.675665, 380.170639
481, 382.482487, 475.913561, 458.657411, 382.482487
491, 395.774276, 484.340254, 467.997493, 395.774276
501, 392.950336, 492.779208, 477.987421, 392.950336
511, 403.747434, 501.563785, 486.430231, 403.747434
521, 409.663395, 510.628035, 495.023365, 409.663395
531, 419.685254, 517.723053, 504.762531, 419.685254
541, 416.527624, 528.271109, 514.085955, 416.527624
551, 431.938941, 536.924751, 522.318938, 431.938941
561, 441.316339, 546.226537, 531.831178, 441.316339
571, 437.854286, 556.233332, 540.386812, 437.854286
