Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
101, 99.547122, 100.982778, 100.231396, 99.547122
201, 195.320939, 200.734031, 197.650039, 195.320939
301, 288.518377, 300.633350, 294.128199, 288.518377
401, 379.922407, 400.048687, 388.363120, 379.922407
501, 466.494846, 498.805756, 480.722395, 466.494846
601, 552.440587, 598.299338, 573.089413, 552.440587
701, 640.138223, 696.164365, 660.794730, 640.138223
801, 718.549033, 793.665889, 744.455247, 718.549033
901, 801.804751, 890.444117, 826.557288, 801.804751
1001, 875.435253, 988.674952, 907.243549, 875.435253
1101, 973.562486, 1085.172112, 1002.185392, 973.562486
1201, 1043.904667, 1190.211674, 1095.739991, 1043.904667
1301, 1111.089900, 1277.289497, 1158.063691, 1111.089900
1401, 1203.652835, 1384.065522, 1260.611019, 1203.652835
1501, 1261.465985, 1474.518660, 1313.026638, 1261.465985
1601, 1317.950544, 1572.669398, 1400.274100, 1317.950544
1701, 1387.668499, 1661.099710, 1452.761580, 1387.668499
1801, 1471.600446, 1763.533266, 1566.550435, 1471.600446
1901, 1524.537961, 1855.999839, 1616.163335, 1524.537961
2001, 1584.095110, 1935.241933, 1658.095172, 1584.095110
2101, 1694.571510, 2044.323327, 1782.516444, 1694.571510
2201, 1746.205353, 2150.377104, 1851.412674, 1746.205353
2301, 1835.473065, 2249.258301, 1910.653374, 1835.473065
2401, 1826.966389, 2331.983939, 1941.742781, 1826.966389
2501, 1899.919101, 2409.896254, 2045.879563, 1899.919101
2601, 1940.102744, 2533.561268, 2077.582859, 1940.102744
2701, 2123.939438, 2648.020481, 2234.949596, 2123.939438
2801, 2045.324722, 2695.360932, 2194.917608, 2045.324722
2901, 2106.826498, 2812.820150, 2268.358819, 2106.826498
3001, 2340.361831, 2908.130540, 2455.223816, 2340.361831
3101, 2273.013892, 2999.921987, 2498.818925, 2273.013892
3201, 2333.591728, 3097.486652, 2514.152997, 2333.591728
3301, 2436.216318, 3197.063976, 2645.622369, 2436.216318
3401, 2463.261608, 3287.452878, 2630.878679, 2463.261608
3501, 2358.814027, 3357.831966, 2646.756128, 2358.814027
3601, 2581.113251, 3409.347659, 2799.177382, 2581.113251
3701, 2741.340524, 3603.251674, 2865.028864, 2741.340524
3801, 2757.640494, 3651.309750, 2976.936348, 2757.640494
3901, 2609.734776, 3713.047460, 2762.892837, 2609.734776
4001, 2653.567275, 3745.745270, 3005.561887, 2653.567275
4101, 2766.100196, 3934.934893, 3015.080846, 2766.100196
4201, 2777.402698, 3953.549245, 3116.728898, 2777.402698
4301, 2923.782394, 4117.990142, 3287.662721, 2923.782394
4401, 2852.456102, 4095.967101, 3110.816322, 2852.456102
4501, 2965.501250, 4278.744892, 3097.077097, 2965.501250
4601, 2989.105818, 4260.313671, 3271.633020, 2989.105818
4701, 3056.470180, 4444.259319, 3398.849880, 3056.470180
4801, 3127.257031, 4387.136409, 3475.562898, 3127.257031
4901, 3310.014172, 4608.338903, 3466.568175, 3310.014172
5001, 3047.710302, 4568.052116, 3393.220044, 3047.710302
5101, 3098.413636, 4747.603503, 3458.205739, 3098.413636
5201, 3209.583342, 4923.461151, 3538.654185, 3209.583342
5301, 3246.769202, 4798.453655, 3608.595434, 3246.769202
5401, 3056.031304, 4980.477144, 3389.434955, 3056.031304
5501, 3250.415329, 5185.994455, 3512.467475, 3250.415329
5601, 3373.291881, 5041.845953, 3700.652719, 3373.291881
5701, 3718.201048, 5199.976870, 4133.181450, 3718.201048
5801, 3678.742796, 5377.842473, 4165.945042, 3678.742796
5901, 3758.738142, 5229.908434, 4184.996012, 3758.738142
6001, 4114.594515, 5426.102104, 4232.201040, 4114.594515
6101, 4000.700937, 5634.785070, 4172.138058, 4000.700937
6201, 3843.410015, 5845.083756, 4281.632474, 3843.410015
6301, 3613.927477, 5660.661413, 4091.301308, 3613.927477
6401, 3829.034516, 5855.301394, 4084.000089, 3829.034516
6501, 3976.637640, 6050.019329, 4123.189209, 3976.637640
6601, 4066.477640, 6262.346094, 4240.271509, 4066.477640
6701, 3702.353919, 6047.956464, 4248.643670, 3702.353919
6801, 3689.832985, 6274.000844, 4181.082589, 3689.832985
6901, 3910.917139, 6477.041503, 4296.676660, 3910.917139
7001, 4015.110108, 6632.831221, 4380.101453, 4015.110108
7101, 4131.348161, 6794.095615, 4590.487751, 4131.348161
7201, 3883.001410, 6442.655334, 4588.715636, 3883.001410
7301, 3697.269171, 6617.403634, 4377.694910, 3697.269171
7401, 3699.241031, 6806.571212, 4301.734930, 3699.241031
7501, 3823.975842, 6980.487753, 4386.208783, 3823.975842
7601, 4093.422596, 7138.260391, 4642.416372, 4093.422596
7701, 3763.837954, 6711.133480, 4389.671246, 3763.837954
7801, 3916.089557, 6900.217882, 4413.668995, 3916.089557
7901, 3996.265085, 7079.217798, 4343.348674, 3996.265085
8001, 3949.511317, 7253.328849, 4138.084909, 3949.511317
8101, 3802.897716, 7421.710239, 3959.543545, 3802.897716
8201, 4067.911297, 7557.650759, 4286.573319, 4067.911296
8301, 4321.093918, 7698.077156, 4805.134624, 4321.093918
8401, 4042.493299, 7132.624120, 4855.281362, 4042.493299
8501, 4319.604253, 7322.295534, 5238.238690, 4319.604253
8601, 4262.677754, 7528.509446, 5145.260485, 4262.677754
8701, 4363.012472, 7739.878508, 4949.240474, 4363.012472
8801, 4449.534250, 7970.476165, 4723.976872, 4449.534250
8901, 4319.119710, 8181.057918, 4505.351809, 4319.119710
9001, 4295.371326, 8371.199028, 4556.151998, 4295.371326
9101, 3921.876499, 7674.182532, 4531.827152, 3921.876499
9201, 3927.705947, 7849.335117, 4691.364644, 3927.705947
9301, 4079.382524, 8012.199120, 4882.791576, 4079.382524
9401, 4487.969305, 8187.282390, 5395.096195, 4487.969305
9501, 4720.439408, 8361.251499, 5523.790260, 4720.439408
9601, 5126.085943, 8545.974707, 5740.901187, 5126.085943
9701, 5468.691125, 8746.366536, 5949.466784, 5468.691125
9801, 5796.341983, 8944.840151, 6026.567556, 5796.341983
9901, 5873.054274, 9128.920790, 6042.138938, 5873.054274
10001, 4983.184258, 8214.957133, 5458.560781, 4983.184258
10101, 5009.377384, 8369.006307, 5509.618205, 5009.377384
10201, 4883.126074, 8523.380144, 5474.189825, 4883.126074
10301, 4919.827512, 8678.314500, 5601.677463, 4919.827512
10401, 4843.635497, 8846.152683, 5661.543229, 4843.635497
10501, 4768.845442, 9022.132460, 5503.011515, 4768.845442
10601, 4646.056464, 9206.754451, 5286.814394, 4646.056464
10701, 4536.319965, 9419.213907, 4980.507662, 4536.319965
10801, 4210.808194, 9639.301373, 4529.004847, 4210.808194
10901, 4115.273021, 9855.005504, 4342.700725, 4115.273021
11001, 4078.717706, 10067.467978, 4314.638075, 4078.717706
11101, 4066.518828, 10256.360357, 4324.112968, 4066.518828
11201, 2914.553101, 9051.335399, 3176.479184, 2914.553101
11301, 3504.405383, 9153.836914, 3789.664607, 3504.405383
11401, 3505.994501, 9268.645717, 4001.460928, 3505.994501
11501, 3382.841435, 9376.227872, 4033.695838, 3382.841435
11601, 3376.826252, 9484.880162, 4057.028121, 3376.826252
11701, 3764.578192, 9607.137974, 4404.838678, 3764.578192
11801, 4096.559331, 9734.752453, 4618.921889, 4096.559331
11901, 4297.375784, 9864.811083, 4625.579830, 4297.375784
12001, 4666.884939, 10017.695926, 4730.454760, 4666.884939
12101, 4683.785218, 10190.873849, 4688.081969, 4683.785218
12201, 4754.867679, 10367.286870, 4610.851892, 4754.867679
12301, 4825.040988, 10547.751044, 4716.157519, 4825.040988
12401, 4993.365252, 10735.746076, 5112.214844, 4993.365252
12501, 2989.203089, 9439.447803, 3281.242816, 2989.203089
12601, 3461.917877, 9488.051055, 3727.759742, 3461.917877
12701, 3889.011753, 9563.426625, 4145.006386, 3889.011753
12801, 4277.830155, 9669.644996, 4530.106172, 4277.830154
12901, 4691.290101, 9805.251796, 5014.200667, 4691.290101
13001, 4954.978500, 9962.519697, 5205.678919, 4954.978500
13101, 5193.862261, 10121.749345, 5449.535514, 5193.862261
13201, 5334.431629, 10283.500280, 5762.081802, 5334.431629
13301, 5357.088224, 10451.197370, 5862.698958, 5357.088224
13401, 5196.803702, 10628.765010, 5789.251123, 5196.803702
13501, 5026.155848, 10807.920840, 5627.300746, 5026.155848
13601, 5026.706774, 10986.594802, 5678.711752, 5026.706774
13701, 5298.582333, 11177.112297, 5879.636422, 5298.582333
13801, 5143.343398, 11364.581355, 5623.801571, 5143.343398
13901, 4743.604206, 11543.577599, 5108.544917, 4743.604206
14001, 4744.015053, 11721.328389, 4998.093713, 4744.015053
14101, 4790.011653, 11905.135165, 5069.306733, 4790.011653
14201, 4718.102194, 12095.749324, 5094.970331, 4718.102193
14301, 1257.869229, 10685.354100, 2009.036848, 1257.869229
14401, 1247.106444, 10696.757997, 1977.408489, 1247.106444
14501, 1346.183420, 10721.691891, 2066.132818, 1346.183420
14601, 1492.892898, 10752.917061, 2184.183268, 1492.892898
14701, 1712.353259, 10799.097537, 2354.823031, 1712.353259
14801, 1995.984301, 10865.641205, 2612.242864, 1995.984301
14901, 2330.366049, 10959.776669, 2932.168141, 2330.366049
15001, 2784.880761, 11078.735110, 3394.678432, 2784.880761
15101, 3203.956001, 11220.698688, 3858.234964, 3203.956001
