its, t_max, delta_t, its_eq, -, -, -, -
40000, 40, 0.001000, 25000, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
0.000000, -502.206833, -502.206833, 0.100000, 0.100000, 1595.223191, 1595.223191, 4.000000
23.322851, -502.505356, -479.182505, 352.459429, 704.818858, 1742.508983, 1889.794775, 4.000028
28.652628, -507.820500, -479.167872, 523.601376, 865.885270, 1757.097277, 1786.273865, 4.000061
33.899572, -513.115165, -479.215593, 648.813141, 1024.448438, 1736.756029, 1675.732286, 4.000092
38.912992, -518.232827, -479.319836, 754.241408, 1175.954474, 1701.899956, 1562.475665, 4.000122
43.577843, -523.053211, -479.475368, 848.022296, 1316.926739, 1659.984417, 1450.406722, 4.000149
47.815338, -527.492292, -479.676953, 933.302578, 1444.984268, 1614.669225, 1342.778073, 4.000175
51.578553, -531.497923, -479.919370, 1011.478381, 1558.708998, 1568.034368, 1241.590365, 4.000198
54.845148, -535.042621, -480.197474, 1083.250317, 1657.425807, 1521.343691, 1147.818277, 4.000220
57.609851, -538.115876, -480.506025, 1149.022828, 1740.975428, 1475.344623, 1061.353014, 4.000240
59.878860, -540.718564, -480.839703, 1209.070308, 1809.545104, 1430.492327, 981.969360, 4.000259
61.666674, -542.860114, -481.193439, 1263.612200, 1863.573019, 1387.095288, 909.727859, 4.000276
62.994522, -544.556845, -481.562323, 1312.849777, 1903.700704, 1345.369549, 844.660679, 4.000292
63.889145, -545.830904, -481.941759, 1356.984529, 1930.736303, 1305.509879, 787.334173, 4.000307
64.381391, -546.709148, -482.327757, 1396.226362, 1945.612015, 1267.690360, 738.217089, 4.000321
64.504637, -547.221005, -482.716368, 1430.795747, 1949.336530, 1232.043329, 697.337869, 4.000334
64.293207, -547.397468, -483.104261, 1460.922297, 1942.947096, 1198.668382, 664.669227, 4.000346
63.780919, -547.269273, -483.488354, 1486.841376, 1927.465719, 1167.626896, 639.921644, 4.000357
63.000359, -546.866200, -483.865841, 1508.790625, 1903.877097, 1138.970753, 623.160177, 4.000369
61.982307, -546.216543, -484.234237, 1527.006667, 1873.111465, 1112.724264, 614.040967, 4.000380
60.755467, -545.346868, -484.591401, 1541.722361, 1836.036252, 1088.892835, 612.264249, 4.000390
59.346660, -544.282064, -484.935404, 1553.165071, 1793.461968, 1067.463828, 617.454686, 4.000401
57.780865, -543.045424, -485.264559, 1561.555436, 1746.143474, 1048.387947, 628.718570, 4.000412
56.081414, -541.658919, -485.577505, 1567.106705, 1694.785900, 1031.599450, 645.464017, 4.000423
54.270262, -540.143376, -485.873114, 1570.024546, 1640.052719, 1017.006201, 666.768216, 4.000434
52.368369, -538.518658, -486.150290, 1570.507344, 1582.577300, 1004.506667, 692.018334, 4.000446
50.396164, -536.804532, -486.408368, 1568.746964, 1522.977078, 993.985360, 720.431371, 4.000458
48.373935, -535.020611, -486.646677, 1564.929755, 1461.865108, 985.315170, 751.220046, 4.000471
46.322132, -533.187090, -486.864958, 1559.237675, 1399.859438, 978.361415, 783.656275, 4.000484
44.261741, -531.324714, -487.062974, 1551.849559, 1337.594193, 972.981524, 816.964692, 4.000498
42.214573, -529.455394, -487.240821, 1542.942431, 1275.728597, 969.032129, 850.550279, 4.000512
40.203341, -527.602065, -487.398724, 1532.692635, 1214.948953, 966.367384, 883.760264, 4.000527
38.251335, -525.788637, -487.537302, 1521.276468, 1155.959136, 964.844430, 916.109929, 4.000542
36.381919, -524.039128, -487.657209, 1508.870254, 1099.465195, 964.319916, 947.010936, 4.000559
34.617960, -522.377358, -487.759398, 1495.649910, 1046.158200, 964.647958, 975.801400, 4.000575
32.981189, -520.826183, -487.844994, 1481.790046, 996.694816, 965.686043, 1002.019013, 4.000592
31.491423, -519.406673, -487.915251, 1467.462583, 951.673926, 967.295592, 1025.239359, 4.000610
30.165865, -518.137552, -487.971687, 1452.835027, 911.615433, 969.343039, 1045.098559, 4.000628
29.018525, -517.034355, -488.015830, 1438.068557, 876.942697, 971.701363, 1061.317673, 4.000646
28.059660, -516.109020, -488.049360, 1423.315986, 847.965718, 974.245867, 1073.481550, 4.000665
