its, t_max, delta_t, its_eq
20000, 20, 0.001000, 10000
E_kin, E_pot, E_tot, <T>, T, <P>, P, a
30.391728, -531.078833, -500.687105, 1146.952572, 918.441033, 0.005039, 0.001546, 4.001833
30.417685, -531.384421, -500.966736, 1143.502162, 919.225475, 0.004984, 0.001364, 4.001842
30.380948, -531.627189, -501.246241, 1140.138178, 918.115271, 0.004927, 0.001192, 4.001849
30.283611, -531.808075, -501.524464, 1136.829878, 915.173718, 0.004870, 0.001030, 4.001856
30.128385, -531.928487, -501.800102, 1133.549485, 910.482790, 0.004812, 0.000878, 4.001862
29.918538, -531.990629, -502.072091, 1130.272224, 904.141181, 0.004754, 0.000737, 4.001867
29.657788, -531.997166, -502.339377, 1126.976295, 896.261309, 0.004695, 0.000606, 4.001871
29.350231, -531.951191, -502.600960, 1123.642831, 886.966898, 0.004637, 0.000487, 4.001874
29.000279, -531.856266, -502.855987, 1120.255824, 876.391320, 0.004579, 0.000379, 4.001877
28.612571, -531.716172, -503.103601, 1116.802026, 864.674738, 0.004521, 0.000282, 4.001879
28.191913, -531.535083, -503.343169, 1113.270831, 851.962421, 0.004463, 0.000195, 4.001881
27.743210, -531.317201, -503.573992, 1109.654143, 838.402545, 0.004406, 0.000118, 4.001882
27.271435, -531.067085, -503.795650, 1105.946238, 824.145459, 0.004349, 0.000050, 4.001882
26.781596, -530.789343, -504.007746, 1102.143626, 809.342503, 0.004293, -0.000009, 4.001883
26.278679, -530.488594, -504.209915, 1098.244900, 794.144301, 0.004238, -0.000060, 4.001883
25.767619, -530.169541, -504.401922, 1094.250589, 778.700004, 0.004184, -0.000104, 4.001882
25.253251, -529.836986, -504.583734, 1090.162999, 763.155764, 0.004130, -0.000143, 4.001882
24.740252, -529.495542, -504.755290, 1085.986046, 747.652864, 0.004078, -0.000177, 4.001881
24.233049, -529.149708, -504.916660, 1081.725071, 732.325134, 0.004026, -0.000207, 4.001880
23.735785, -528.803829, -505.068044, 1077.386651, 717.297782, 0.003976, -0.000234, 4.001879
23.252309, -528.461868, -505.209560, 1072.978421, 702.687076, 0.003926, -0.000259, 4.001877
22.786131, -528.127793, -505.341662, 1068.508894, 688.599133, 0.003877, -0.000283, 4.001876
