its, t_max, delta_t, its_eq
20000, 20, 0.001000, 10000
x_1, y_1, z_1, x_2, y_2, z_2, x_3, y_3, z_3, x_4, y_4, z_4
-0.024203, -0.256410, -0.148525, 2.160220, 0.103925, 14.099227, 1.999255, 3.680839, 9.731543, 1.788161, 8.086024, 1.739771
-0.028222, -0.261526, -0.155823, 2.160471, 0.105744, 14.097467, 1.994822, 3.683903, 9.730067, 1.786280, 8.074398, 1.732283
-0.032369, -0.266485, -0.163294, 2.160616, 0.107652, 14.095592, 1.990544, 3.687692, 9.729198, 1.784940, 8.062658, 1.725153
-0.036639, -0.271287, -0.170932, 2.160651, 0.109649, 14.093604, 1.986419, 3.692163, 9.728917, 1.784137, 8.050833, 1.718388
-0.041025, -0.275932, -0.178733, 2.160575, 0.111735, 14.091504, 1.982447, 3.697269, 9.729200, 1.783863, 8.038950, 1.711993
-0.045521, -0.280420, -0.186689, 2.160387, 0.113911, 14.089295, 1.978625, 3.702964, 9.730025, 1.784107, 8.027036, 1.705971
-0.050120, -0.284752, -0.194792, 2.160086, 0.116177, 14.086979, 1.974951, 3.709202, 9.731370, 1.784857, 8.015118, 1.700326
-0.054815, -0.288926, -0.203034, 2.159669, 0.118534, 14.084558, 1.971423, 3.715935, 9.733211, 1.786098, 8.003223, 1.695058
-0.059596, -0.292945, -0.211405, 2.159137, 0.120980, 14.082034, 1.968036, 3.723119, 9.735526, 1.787812, 7.991375, 1.690167
-0.064454, -0.296807, -0.219894, 2.158486, 0.123518, 14.079412, 1.964789, 3.730706, 9.738293, 1.789980, 7.979598, 1.685651
-0.069380, -0.300515, -0.228490, 2.157717, 0.126145, 14.076694, 1.961677, 3.738654, 9.741491, 1.792580, 7.967914, 1.681508
-0.074364, -0.304068, -0.237182, 2.156829, 0.128862, 14.073883, 1.958695, 3.746920, 9.745100, 1.795591, 7.956344, 1.677733
-0.079397, -0.307468, -0.245958, 2.155819, 0.131668, 14.070984, 1.955839, 3.755463, 9.749100, 1.798986, 7.944909, 1.674323
-0.084469, -0.310715, -0.254806, 2.154688, 0.134564, 14.068000, 1.953104, 3.764244, 9.753473, 1.802740, 7.933628, 1.671271
-0.089568, -0.313812, -0.263713, 2.153434, 0.137548, 14.064934, 1.950483, 3.773228, 9.758201, 1.806826, 7.922516, 1.668572
-0.094687, -0.316760, -0.272668, 2.152057, 0.140621, 14.061792, 1.947972, 3.782379, 9.763270, 1.811215, 7.911592, 1.666220
-0.099814, -0.319560, -0.281659, 2.150555, 0.143782, 14.058577, 1.945563, 3.791665, 9.768663, 1.815878, 7.900870, 1.664209
-0.104940, -0.322215, -0.290674, 2.148928, 0.147029, 14.055293, 1.943250, 3.801058, 9.774366, 1.820786, 7.890364, 1.662531
-0.110057, -0.324726, -0.299703, 2.147176, 0.150363, 14.051946, 1.941026, 3.810529, 9.780366, 1.825908, 7.880086, 1.661180
-0.115154, -0.327097, -0.308733, 2.145297, 0.153782, 14.048539, 1.938884, 3.820055, 9.786650, 1.831214, 7.870048, 1.660149
-0.120223, -0.329328, -0.317755, 2.143291, 0.157286, 14.045077, 1.936818, 3.829612, 9.793206, 1.836672, 7.860262, 1.659432
-0.125256, -0.331423, -0.326759, 2.141157, 0.160875, 14.041564, 1.934819, 3.839180, 9.800024, 1.842252, 7.850737, 1.659021
-0.130244, -0.333384, -0.335735, 2.138896, 0.164546, 14.038006, 1.932880, 3.848742, 9.807091, 1.847922, 7.841482, 1.658910
-0.135181, -0.335214, -0.344675, 2.136506, 0.168299, 14.034407, 1.930994, 3.858280, 9.814398, 1.853652, 7.832505, 1.659093
-0.140059, -0.336916, -0.353569, 2.133988, 0.172133, 14.030771, 1.929154, 3.867780, 9.821934, 1.859409, 7.823815, 1.659562
-0.144872, -0.338493, -0.362412, 2.131341, 0.176047, 14.027104, 1.927351, 3.877230, 9.829690, 1.865165, 7.815419, 1.660312
-0.149613, -0.339948, -0.371195, 2.128565, 0.180040, 14.023410, 1.925578, 3.886619, 9.837656, 1.870887, 7.807324, 1.661336
-0.154276, -0.341283, -0.379912, 2.125660, 0.184111, 14.019694, 1.923830, 3.895936, 9.845822, 1.876546, 7.799536, 1.662627
-0.158857, -0.342502, -0.388556, 2.122625, 0.188259, 14.015960, 1.922097, 3.905176, 9.854178, 1.882112, 7.792060, 1.664178
-0.163350, -0.343607, -0.397124, 2.119461, 0.192483, 14.012213, 1.920375, 3.914330, 9.862715, 1.887556, 7.784904, 1.665983
-0.167752, -0.344601, -0.405610, 2.116167, 0.196783, 14.008457, 1.918656, 3.923394, 9.871423, 1.892851, 7.778071, 1.668034
-0.172057, -0.345487, -0.414009, 2.112745, 0.201156, 14.004697, 1.916933, 3.932364, 9.880293, 1.897969, 7.771568, 1.670325
-0.176263, -0.346269, -0.422318, 2.109194, 0.205602, 14.000938, 1.915200, 3.941237, 9.889314, 1.902883, 7.765399, 1.672847
-0.180366, -0.346948, -0.430535, 2.105514, 0.210120, 13.997182, 1.913451, 3.950009, 9.898476, 1.907570, 7.759568, 1.675595
-0.184364, -0.347527, -0.438656, 2.101707, 0.214707, 13.993435, 1.911679, 3.958679, 9.907769, 1.912003, 7.754081, 1.678559
-0.188253, -0.348010, -0.446679, 2.097773, 0.219362, 13.989700, 1.909879, 3.967245, 9.917183, 1.916162, 7.748940, 1.681732
