dtau, E_T_avg
0.010000, -2.932418
0.050000, -2.920992
0.075000, -2.913636
0.100000, -2.910293
0.150000, -2.905828
0.200000, -2.906898
0.250000, -2.911794
0.300000, -2.920063
0.350000, -2.930795
0.400000, -2.943543
