E_T_avg, N_sprinters, N_survived/N_sprinters (%), E_T
-2.892316, 985, 100.510204, -2.892316
-2.890811, 994, 100.913706, -2.889307
-2.891477, 1004, 101.006036, -2.892807
-2.892844, 1011, 100.697211, -2.896947
-2.895118, 1023, 101.186944, -2.904214
-2.896931, 1022, 99.902248, -2.905999
-2.899251, 1033, 101.076321, -2.913165
-2.901098, 1030, 99.709584, -2.914030
-2.902848, 1032, 100.194175, -2.916847
-2.904520, 1034, 100.193798, -2.919565
-2.905863, 1030, 99.613153, -2.919299
-2.907095, 1030, 100.000000, -2.920643
-2.907894, 1021, 99.126214, -2.917486
-2.908566, 1019, 99.804114, -2.917305
-2.909161, 1018, 99.901865, -2.917486
-2.909503, 1011, 99.312377, -2.914631
-2.909679, 1006, 99.505440, -2.912494
-2.909734, 1002, 99.602386, -2.910678
-2.909813, 1003, 100.099800, -2.911232
-2.909813, 1000, 99.700897, -2.909813
-2.909718, 996, 99.600000, -2.907809
-2.909876, 1007, 101.104418, -2.913206
-2.910050, 1008, 100.099305, -2.913860
-2.910442, 1019, 101.091270, -2.919460
-2.910720, 1014, 99.509323, -2.917393
-2.910892, 1009, 99.506903, -2.915200
-2.911259, 1020, 101.090188, -2.920793
-2.911665, 1023, 100.294118, -2.922628
-2.911955, 1017, 99.413490, -2.920093
-2.912318, 1022, 100.491642, -2.922836
-2.912542, 1014, 99.217221, -2.919270
-2.912698, 1010, 99.605523, -2.917518
-2.912804, 1007, 99.702970, -2.916186
-2.913037, 1016, 100.893744, -2.920740
-2.913080, 1003, 98.720472, -2.914535
-2.913190, 1008, 100.498504, -2.917064
-2.913285, 1007, 99.900794, -2.916678
-2.913403, 1009, 100.198610, -2.917765
-2.913568, 1013, 100.396432, -2.919861
-2.913754, 1015, 100.197433, -2.921012
-2.913827, 1006, 99.113300, -2.916745
-2.913851, 1002, 99.602386, -2.914826
-2.913978, 1011, 100.898204, -2.919321
-2.914091, 1010, 99.901088, -2.918953
-2.914257, 1015, 100.495050, -2.921536
-2.914493, 1022, 100.689655, -2.925137
-2.914652, 1015, 99.315068, -2.921938
-2.914796, 1014, 99.901478, -2.921603
-2.914948, 1015, 100.098619, -2.922241
-2.915087, 1014, 99.901478, -2.921900
-2.915214, 1013, 99.901381, -2.921546
-2.915367, 1016, 100.296150, -2.923151
-2.915535, 1018, 100.196850, -2.924287
-2.915655, 1013, 99.508841, -2.921993
-2.915763, 1012, 99.901283, -2.921619
-2.915887, 1014, 100.197628, -2.922714
-2.915974, 1010, 99.605523, -2.920862
-2.916060, 1010, 100.000000, -2.920950
-2.916128, 1008, 99.801980, -2.920044
-2.916244, 1014, 100.595238, -2.923079
-2.916325, 1010, 99.605523, -2.921219
-2.916405, 1010, 100.000000, -2.921300
-2.916484, 1010, 100.000000, -2.921381
-2.916624, 1018, 100.792079, -2.925404
-2.916723, 1013, 99.508841, -2.923082
-2.916843, 1016, 100.296150, -2.924660
-2.916984, 1019, 100.295276, -2.926254
-2.917108, 1017, 99.803729, -2.925412
-2.917209, 1014, 99.705015, -2.924059
-2.917322, 1016, 100.197239, -2.925145
-2.917454, 1019, 100.295276, -2.926733
-2.917571, 1017, 99.803729, -2.925883
-2.917640, 1010, 99.311701, -2.922547
-2.917680, 1006, 99.603960, -2.920631
-2.917773, 1014, 100.795229, -2.924632
-2.917858, 1013, 99.901381, -2.924231
-2.917838, 997, 98.420533, -2.916355
-2.917857, 1003, 100.601805, -2.919336
-2.917832, 996, 99.302094, -2.915853
-2.917788, 993, 99.698795, -2.914320
-2.917695, 985, 99.194361, -2.910231
-2.917590, 983, 99.796954, -2.909122
-2.917548, 993, 101.017294, -2.914078
-2.917494, 991, 99.798590, -2.913028
-2.917471, 996, 100.504541, -2.915490
-2.917418, 991, 99.497992, -2.912950
-2.917325, 984, 99.293643, -2.909353
-2.917251, 987, 100.304878, -2.910783
-2.917195, 990, 100.303951, -2.912226
-2.917105, 984, 99.393939, -2.909130
-2.916983, 978, 99.390244, -2.905982
-2.916840, 974, 99.591002, -2.903811
-2.916742, 982, 100.821355, -2.907758
-2.916678, 988, 100.610998, -2.910706
-2.916619, 989, 100.101215, -2.911147
-2.916588, 994, 100.505561, -2.913610
-2.916552, 993, 99.899396, -2.913076
-2.916501, 990, 99.697885, -2.911527
-2.916465, 993, 100.303030, -2.912988
-2.916445, 996, 100.302115, -2.914461
-2.916440, 999, 100.301205, -2.915945
-2.916435, 999, 100.000000, -2.915940
-2.916396, 992, 99.299299, -2.912419
-2.916362, 993, 100.100806, -2.912884
-2.916276, 982, 98.892246, -2.907280
-2.916166, 977, 99.490835, -2.904642
-2.916077, 981, 100.409417, -2.906575
-2.915997, 983, 100.203874, -2.907503
-2.915909, 981, 99.796541, -2.906406
-2.915822, 981, 100.000000, -2.906318
-2.915731, 980, 99.898063, -2.905721
-2.915664, 985, 100.510204, -2.908174
-2.915619, 990, 100.507614, -2.910638
-2.915566, 988, 99.797980, -2.909583
-2.915544, 995, 100.708502, -2.913060
-2.915540, 999, 100.402010, -2.915044
-2.915484, 987, 98.798799, -2.908997
-2.915429, 987, 100.000000, -2.908941
-2.915374, 987, 100.000000, -2.908886
-2.915306, 984, 99.696049, -2.907309
-2.915244, 985, 100.101626, -2.907750
-2.915178, 984, 99.898477, -2.907179
-2.915087, 978, 99.390244, -2.904055
-2.914969, 971, 99.284254, -2.900373
-2.914839, 968, 99.691040, -2.898707
-2.914689, 963, 99.483471, -2.895988
-2.914573, 971, 100.830737, -2.899975
-2.914470, 974, 100.308960, -2.901401
-2.914416, 986, 101.232033, -2.907421
-2.914354, 984, 99.797160, -2.906351
-2.914327, 993, 100.914634, -2.910841
-2.914312, 996, 100.302115, -2.912323
-2.914278, 991, 99.497992, -2.909791
-2.914274, 999, 100.807265, -2.913777
-2.914285, 1003, 100.400400, -2.915772
-2.914307, 1006, 100.299103, -2.917276
-2.914318, 1003, 99.701789, -2.915805
-2.914354, 1010, 100.697906, -2.919293
-2.914350, 999, 98.910891, -2.913854
-2.914332, 995, 99.599600, -2.911844
-2.914332, 1000, 100.502513, -2.914332
-2.914371, 1011, 101.100000, -2.919802
-2.914381, 1003, 99.208704, -2.915869
-2.914378, 999, 99.601196, -2.913881
-2.914399, 1006, 100.700701, -2.917369
-2.914439, 1012, 100.596421, -2.920363
-2.914480, 1012, 100.000000, -2.920404
-2.914530, 1015, 100.296443, -2.921924
-2.914564, 1010, 99.507389, -2.919506
-2.914600, 1011, 100.099010, -2.920034
-2.914587, 996, 98.516320, -2.912596
-2.914613, 1008, 101.204819, -2.918571
-2.914633, 1006, 99.801587, -2.917604
-2.914652, 1006, 100.000000, -2.917624
-2.914707, 1017, 101.093439, -2.923081
-2.914719, 1004, 98.721731, -2.916703
-2.914735, 1005, 100.099602, -2.917213
-2.914745, 1003, 99.800995, -2.916233
-2.914735, 997, 99.401795, -2.913242
-2.914723, 996, 99.899699, -2.912731
-2.914735, 1004, 100.803213, -2.916719
-2.914760, 1008, 100.398406, -2.918719
-2.914787, 1009, 100.099206, -2.919240
-2.914808, 1007, 99.801784, -2.918275
-2.914839, 1010, 100.297915, -2.919784
-2.914875, 1012, 100.198020, -2.920803
-2.914898, 1008, 99.604743, -2.918859
-2.914877, 993, 98.511905, -2.911386
-2.914851, 991, 99.798590, -2.910357
-2.914839, 996, 100.504541, -2.912847
-2.914807, 989, 99.297189, -2.909308
-2.914774, 989, 100.000000, -2.909276
-2.914742, 989, 100.000000, -2.909244
-2.914711, 989, 100.000000, -2.909212
-2.914696, 995, 100.606673, -2.912204
-2.914682, 995, 100.000000, -2.912190
-2.914657, 991, 99.597990, -2.910162
-2.914637, 993, 100.201816, -2.911144
-2.914586, 982, 98.892246, -2.905555
-2.914538, 983, 100.101833, -2.906013
-2.914449, 968, 98.474059, -2.898277
-2.914365, 970, 100.206612, -2.899219
-2.914282, 970, 100.000000, -2.899135
-2.914232, 982, 101.237113, -2.905200
-2.914164, 975, 99.287169, -2.901573
-2.914107, 979, 100.410256, -2.903552
-2.914058, 982, 100.306435, -2.905025
-2.913988, 974, 99.185336, -2.900886
-2.913929, 978, 100.410678, -2.902865
-2.913871, 978, 100.000000, -2.902807
-2.913807, 976, 99.795501, -2.901725
-2.913733, 972, 99.590164, -2.899608
-2.913652, 969, 99.691358, -2.897988
-2.913571, 969, 100.000000, -2.897906
-2.913503, 974, 100.515996, -2.900399
-2.913452, 980, 100.616016, -2.903402
-2.913418, 987, 100.714286, -2.906909
-2.913372, 982, 99.493414, -2.904336
-2.913311, 976, 99.389002, -2.901226
-2.913251, 976, 100.000000, -2.901165
-2.913188, 975, 99.897541, -2.900592
-2.913148, 984, 100.923077, -2.905123
