its, t_max, delta_t, its_eq, -, -, -, -
1000, 10, 0.010000, 0, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
28.904857, -643.725003, -614.820145, 837.309224, 873.507657, 1584.057008, 1527.209242, 4.030000
30.489067, -645.572829, -615.083762, 838.602661, 921.382637, 1582.232216, 1465.445517, 4.030000
29.391616, -644.335888, -614.944271, 839.354402, 888.217567, 1580.836095, 1490.088257, 4.030000
27.041194, -641.786500, -614.745306, 839.023553, 817.187568, 1580.701184, 1571.797047, 4.030000
26.123687, -640.943321, -614.819635, 838.294684, 789.460405, 1581.486329, 1634.091015, 4.030000
26.339822, -641.225408, -614.885586, 837.681602, 795.992050, 1582.391416, 1643.937349, 4.030000
26.865619, -641.698842, -614.833223, 837.313032, 811.881687, 1582.822119, 1612.540643, 4.030000
27.930548, -642.803220, -614.872672, 837.408115, 844.063929, 1582.669579, 1571.991756, 4.030000
28.874409, -643.845370, -614.970961, 837.896718, 872.587516, 1582.403003, 1563.476150, 4.030000
28.314363, -643.283969, -614.969606, 838.140089, 855.662861, 1582.572770, 1594.795977, 4.030000
26.525317, -641.308390, -614.783073, 837.646273, 801.597707, 1583.029017, 1616.335038, 4.030000
25.918052, -640.645886, -614.727834, 836.920938, 783.246098, 1582.971403, 1578.707968, 4.030000
27.141901, -642.071962, -614.930061, 836.701333, 820.230956, 1582.190776, 1523.643729, 4.030000
27.894413, -642.869684, -614.975271, 836.782769, 842.971917, 1581.516731, 1530.289345, 4.030000
27.493509, -642.341851, -614.848342, 836.706792, 830.856565, 1581.326326, 1566.665128, 4.030000
27.388624, -642.221881, -614.833257, 836.592617, 827.686939, 1581.175063, 1569.376522, 4.030000
27.940278, -642.816002, -614.875724, 836.689683, 844.357964, 1580.803126, 1551.420161, 4.030000
28.635739, -643.509683, -614.873944, 837.043821, 865.374862, 1580.458159, 1552.860767, 4.030000
28.939490, -643.913536, -614.974046, 837.501266, 874.554260, 1580.281864, 1566.001983, 4.030000
27.913325, -642.809315, -614.895990, 837.574063, 843.543442, 1580.256289, 1578.159122, 4.030000
26.528503, -641.279223, -614.750720, 837.146919, 801.693991, 1580.150735, 1571.389779, 4.030000
26.439375, -641.255360, -614.815985, 836.698138, 799.000543, 1579.725760, 1544.027817, 4.030000
27.111812, -641.987322, -614.875511, 836.496086, 819.321637, 1579.173506, 1532.231910, 4.030000
27.630234, -642.519599, -614.889365, 836.478757, 834.988411, 1579.037850, 1567.371471, 4.030000
27.497574, -642.391338, -614.893763, 836.416264, 830.979429, 1579.616129, 1629.926402, 4.030000
26.997116, -641.776133, -614.779017, 836.185245, 815.855521, 1580.665848, 1673.041146, 4.030000
27.249926, -642.091534, -614.841607, 836.044247, 823.495483, 1581.543384, 1659.644078, 4.030000
27.867737, -642.733183, -614.865445, 836.111517, 842.165788, 1581.856960, 1610.078772, 4.030000
