its, t_max, delta_t, its_eq, -, -, -, -
10000, 10, 0.001000, 0, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
0.000000, -613.580157, -613.580157, 0.000000, 0.000000, 1652.304983, 1652.304983, 4.050000
0.297670, -613.878469, -613.580799, 4.497811, 8.995623, 1649.713933, 1647.122884, 4.050000
1.180340, -614.763060, -613.582720, 14.888539, 35.669995, 1643.697417, 1631.664384, 4.050000
2.617582, -616.203343, -613.585760, 30.942305, 79.103601, 1634.324477, 1606.205656, 4.050000
4.560643, -618.150397, -613.589754, 52.318460, 137.823082, 1621.702759, 1571.215890, 4.050000
6.945291, -620.539829, -613.594538, 78.579949, 209.887395, 1605.987054, 1527.408529, 4.050000
9.695589, -623.295301, -613.599712, 109.211621, 293.001653, 1587.381679, 1475.749423, 4.050000
12.728274, -626.333256, -613.604982, 143.641382, 384.649707, 1566.138882, 1417.439310, 4.050000
15.957388, -629.567480, -613.610092, 181.262768, 482.233860, 1542.557296, 1353.904608, 4.050000
19.298667, -632.913395, -613.614727, 221.457256, 583.207644, 1516.971069, 1286.695022, 4.050000
22.673234, -636.292065, -613.618831, 263.614541, 685.187389, 1489.739771, 1217.426789, 4.050000
26.010281, -639.632525, -613.622244, 307.149434, 786.033259, 1461.229473, 1147.616192, 4.050000
29.248620, -642.873576, -613.624956, 351.514569, 883.896193, 1431.792620, 1078.550389, 4.050000
32.337150, -645.964246, -613.627096, 396.208663, 977.231887, 1401.756768, 1011.290698, 4.050000
35.234519, -648.863144, -613.628625, 440.780797, 1064.790668, 1371.421999, 946.735228, 4.050000
37.908428, -651.538100, -613.629672, 484.831776, 1145.596454, 1341.057911, 885.596590, 4.050000
40.334849, -653.965064, -613.630215, 528.013621, 1218.923154, 1310.895293, 828.293406, 4.050000
42.497221, -656.127559, -613.630338, 570.027877, 1284.270228, 1281.143442, 775.361971, 4.050000
44.385706, -658.015834, -613.630128, 610.623275, 1341.340428, 1251.991317, 727.253062, 4.050000
45.996449, -659.626021, -613.629571, 649.592974, 1390.017261, 1223.604589, 684.256765, 4.050000
47.330769, -660.959563, -613.628794, 686.771429, 1430.340534, 1196.140297, 646.854460, 4.050000
48.394425, -662.022234, -613.627809, 722.031107, 1462.484337, 1169.743673, 615.414571, 4.050000
49.196770, -662.823436, -613.626666, 755.278940, 1486.731276, 1144.546882, 590.217485, 4.050000
49.749715, -663.375259, -613.625544, 786.452373, 1503.441336, 1120.665071, 571.383403, 4.050000
50.066800, -663.691139, -613.624339, 815.515226, 1513.023679, 1098.193976, 558.887707, 4.050000
50.162500, -663.785631, -613.623131, 842.453707, 1515.915731, 1077.208374, 552.568315, 4.050000
50.051633, -663.673621, -613.621988, 867.272655, 1512.565314, 1057.767823, 552.313500, 4.050000
49.748968, -663.369924, -613.620956, 889.992159, 1503.418757, 1039.917650, 557.962984, 4.050000
49.269054, -662.889038, -613.619984, 910.644695, 1488.915700, 1023.682364, 569.094341, 4.050000
48.626062, -662.245076, -613.619014, 929.272686, 1469.484436, 1009.077192, 585.527224, 4.050000
47.833837, -661.451978, -613.618141, 945.926577, 1445.543311, 996.108391, 607.044341, 4.050000
46.905884, -660.523200, -613.617316, 960.663261, 1417.500463, 984.770032, 633.280902, 4.050000
45.855362, -659.471887, -613.616525, 973.544786, 1385.753586, 975.045167, 663.849510, 4.050000
44.695212, -658.310964, -613.615753, 984.637402, 1350.693736, 966.906122, 698.317620, 4.050000
43.438207, -657.053237, -613.615030, 994.010817, 1312.706926, 960.317606, 736.308082, 4.050000
42.097027, -655.711294, -613.614267, 1001.737637, 1272.176336, 955.237168, 777.421823, 4.050000
40.684381, -654.297922, -613.613542, 1007.892999, 1229.486022, 951.606340, 820.896544, 4.050000
39.213133, -652.825981, -613.612848, 1012.554361, 1185.024765, 949.363658, 866.384401, 4.050000
37.696460, -651.308518, -613.612058, 1015.801449, 1139.190771, 948.439889, 913.336685, 4.050000
36.148006, -649.759342, -613.611336, 1017.716321, 1092.396329, 948.759901, 961.240353, 4.050000
34.581916, -648.192416, -613.610500, 1018.383458, 1045.068934, 950.245120, 1009.653868, 4.050000
33.012904, -646.622547, -613.609643, 1017.889881, 997.653235, 952.814770, 1058.170425, 4.050000
31.456245, -645.065030, -613.608785, 1016.325252, 950.610848, 956.381963, 1106.204077, 4.050000
29.927642, -643.535499, -613.607857, 1013.781867, 904.416300, 960.858642, 1153.355866, 4.050000
28.443066, -642.050024, -613.606958, 1010.354543, 859.552283, 966.154819, 1199.186569, 4.050000
27.018512, -640.624548, -613.606036, 1006.140360, 816.502116, 972.179280, 1243.280024, 4.050000
25.669701, -639.274859, -613.605158, 1001.238244, 775.740915, 978.838296, 1285.153054, 4.050000
24.411753, -638.016078, -613.604325, 995.748397, 737.725612, 986.037974, 1324.422848, 4.050000
23.258764, -636.862333, -613.603569, 989.771535, 702.882153, 993.686389, 1360.810315, 4.050000
22.223392, -635.826320, -613.602927, 983.407967, 671.593123, 1001.691174, 1393.925646, 4.050000
21.316542, -634.918975, -613.602432, 976.756596, 644.188029, 1009.963302, 1423.569699, 4.050000
20.547044, -634.149085, -613.602041, 969.913848, 620.933713, 1018.414403, 1449.420524, 4.050000
19.921369, -633.523223, -613.601854, 962.972563, 602.025760, 1026.961184, 1471.393821, 4.050000
19.443460, -633.045223, -613.601763, 956.020910, 587.583286, 1035.524959, 1489.405014, 4.050000
19.114653, -632.716503, -613.601850, 949.141379, 577.646719, 1044.028074, 1503.196276, 4.050000
18.933707, -632.535847, -613.602140, 942.409899, 572.178520, 1052.398986, 1512.799170, 4.050000
18.896882, -632.499395, -613.602513, 935.895088, 571.065661, 1060.573872, 1518.367465, 4.050000
18.998104, -632.601106, -613.603002, 929.657666, 574.124583, 1068.495058, 1520.002675, 4.050000
19.229219, -632.832865, -613.603646, 923.750060, 581.108919, 1076.111275, 1517.851835, 4.050000
19.580275, -633.184581, -613.604307, 918.216190, 591.717842, 1083.378478, 1512.143503, 4.050000
20.039823, -633.644932, -613.605110, 913.091423, 605.605431, 1090.258840, 1503.080525, 4.050000
20.595266, -634.201148, -613.605882, 908.402706, 622.390977, 1096.721592, 1490.949465, 4.050000
21.233178, -634.839905, -613.606728, 904.168834, 641.668733, 1102.743309, 1476.089765, 4.050000
21.939608, -635.547191, -613.607583, 900.400838, 663.017137, 1108.305969, 1458.753576, 4.050000
22.700354, -636.308808, -613.608454, 897.102471, 686.006953, 1113.400158, 1439.428221, 4.050000
23.501191, -637.110475, -613.609283, 894.270742, 710.208338, 1118.022826, 1418.496249, 4.050000
24.328094, -637.938184, -613.610090, 891.896513, 735.197425, 1122.177150, 1396.362563, 4.050000
25.167427, -638.778258, -613.610831, 889.965125, 760.562140, 1125.870284, 1373.310207, 4.050000
26.006103, -639.617640, -613.611537, 888.457037, 785.907011, 1129.115594, 1349.796723, 4.050000
26.831709, -640.443913, -613.612204, 887.348463, 810.856920, 1131.929535, 1326.091444, 4.050000
27.632633, -641.245477, -613.612844, 886.612019, 835.060906, 1134.335644, 1302.763314, 4.050000
28.398143, -642.011488, -613.613345, 886.217334, 858.194699, 1136.358491, 1279.980570, 4.050000
29.118439, -642.732291, -613.613852, 886.131646, 879.962113, 1138.026514, 1258.124183, 4.050000
29.784696, -643.399043, -613.614348, 886.320360, 900.096457, 1139.369535, 1237.410076, 4.050000
30.389134, -644.003822, -613.614687, 886.747590, 918.362658, 1140.421780, 1218.287938, 4.050000
30.925076, -644.540038, -613.614961, 887.376686, 934.558876, 1141.218978, 1201.008807, 4.050000
31.386943, -645.002169, -613.615227, 888.170710, 948.516520, 1141.797065, 1185.731659, 4.050000
31.770227, -645.385627, -613.615401, 889.092873, 960.099404, 1142.191600, 1172.570800, 4.050000
32.071512, -645.687000, -613.615488, 890.106941, 969.204271, 1142.436435, 1161.533592, 4.050000
32.288524, -645.904082, -613.615559, 891.177634, 975.762393, 1142.565332, 1152.748176, 4.050000
32.420118, -646.035610, -613.615492, 892.270987, 979.739193, 1142.613421, 1146.460527, 4.050000
32.466262, -646.081683, -613.615421, 893.354678, 981.133651, 1142.615035, 1142.745823, 4.050000
32.428036, -646.043283, -613.615247, 894.398338, 979.978455, 1142.602439, 1141.569501, 4.050000
32.307683, -645.922708, -613.615025, 895.373850, 976.341383, 1142.605300, 1142.842826, 4.050000
32.108587, -645.723369, -613.614781, 896.255625, 970.324689, 1142.650559, 1146.452239, 4.050000
31.835181, -645.449592, -613.614411, 897.020819, 962.062331, 1142.764092, 1152.414460, 4.050000
31.492903, -645.106890, -613.613988, 897.649530, 951.718650, 1142.969399, 1160.625752, 4.050000
31.088183, -644.701785, -613.613602, 898.124967, 939.487982, 1143.286715, 1170.893258, 4.050000
30.628293, -644.241345, -613.613052, 898.433563, 925.590047, 1143.732557, 1182.966595, 4.050000
30.121213, -643.733804, -613.612592, 898.565035, 910.266035, 1144.318752, 1196.490101, 4.050000
29.575574, -643.187575, -613.612000, 898.512417, 893.776792, 1145.055064, 1211.323196, 4.050000
29.000452, -642.611910, -613.611458, 898.272027, 876.396534, 1145.948442, 1227.245783, 4.050000
28.405160, -642.016015, -613.610854, 897.843368, 858.406770, 1147.002492, 1243.975168, 4.050000
27.799141, -641.409435, -613.610294, 897.229001, 840.092801, 1148.218180, 1261.277127, 4.050000
27.191820, -640.801571, -613.609751, 896.434374, 821.739507, 1149.593914, 1278.912950, 4.050000
26.592404, -640.201626, -613.609221, 895.467611, 803.625099, 1151.125512, 1296.627279, 4.050000
26.009707, -639.618412, -613.608705, 894.339243, 786.015918, 1152.804406, 1313.978198, 4.050000
25.452023, -639.060290, -613.608268, 893.061931, 769.162648, 1154.618385, 1330.574432, 4.050000
24.926999, -638.534918, -613.607919, 891.650158, 753.296388, 1156.555741, 1346.416585, 4.050000
24.441508, -638.049069, -613.607561, 890.119904, 738.624804, 1158.603768, 1361.358390, 4.050000
24.001568, -637.608800, -613.607232, 888.488319, 725.329774, 1160.748583, 1375.230140, 4.050000
23.612277, -637.219339, -613.607061, 886.773388, 713.565360, 1162.974921, 1387.835026, 4.050000
23.277810, -636.884734, -613.606923, 884.993624, 703.457744, 1165.265675, 1398.922592, 4.050000
23.001436, -636.608192, -613.606756, 883.167779, 695.105689, 1167.603616, 1408.411515, 4.050000
22.785451, -636.392162, -613.606710, 881.314548, 688.578599, 1169.970867, 1416.165062, 4.050000
22.631226, -636.237946, -613.606720, 879.452316, 683.917888, 1172.349898, 1422.148110, 4.050000
22.539347, -636.146113, -613.606766, 877.598942, 681.141317, 1174.723443, 1426.319187, 4.050000
22.509716, -636.116563, -613.606847, 875.771598, 680.245839, 1177.074593, 1428.647712, 4.050000
22.541621, -636.148575, -613.606954, 873.986630, 681.210035, 1179.387001, 1429.126991, 4.050000
22.633830, -636.240906, -613.607076, 872.259448, 683.996588, 1181.643619, 1427.614990, 4.050000
22.784595, -636.391807, -613.607212, 870.604432, 688.552722, 1183.828116, 1424.122758, 4.050000
22.991674, -636.599048, -613.607374, 869.034845, 694.810665, 1185.925122, 1418.692816, 4.050000
23.252420, -636.860030, -613.607610, 867.562771, 702.690438, 1187.920488, 1411.401441, 4.050000
23.563844, -637.171661, -613.607816, 866.199077, 712.101720, 1189.801602, 1402.367579, 4.050000
23.922638, -637.530639, -613.608001, 864.953385, 722.944500, 1191.556728, 1391.641070, 4.050000
24.325198, -637.933411, -613.608213, 863.834045, 735.109911, 1193.174366, 1379.202746, 4.050000
24.767651, -638.376145, -613.608494, 862.848120, 748.480878, 1194.644666, 1365.199424, 4.050000
25.245905, -638.854648, -613.608743, 862.001388, 762.933757, 1195.959605, 1349.807530, 4.050000
25.755662, -639.364687, -613.609025, 861.298340, 778.338675, 1197.112054, 1333.100976, 4.050000
26.292426, -639.901662, -613.609235, 860.742185, 794.559737, 1198.096158, 1315.204534, 4.050000
26.851550, -640.461073, -613.609523, 860.334866, 811.456512, 1198.908165, 1296.349037, 4.050000
27.428251, -641.038047, -613.609796, 860.077076, 828.884470, 1199.545008, 1276.602988, 4.050000
28.017575, -641.627622, -613.610047, 859.968269, 846.693893, 1200.005205, 1256.149289, 4.050000
28.614388, -642.224787, -613.610399, 860.006668, 864.729656, 1200.289059, 1235.202993, 4.050000
29.213418, -642.824073, -613.610655, 860.189273, 882.832388, 1200.398792, 1214.005776, 4.050000
29.809255, -643.420256, -613.611001, 860.511887, 900.838650, 1200.337537, 1192.680671, 4.050000
30.396361, -644.007664, -613.611302, 860.969125, 918.581052, 1200.108873, 1171.297133, 4.050000
30.969078, -644.580704, -613.611626, 861.554433, 935.888601, 1199.718946, 1150.198311, 4.050000
31.521712, -645.133705, -613.611993, 862.260130, 952.589261, 1199.175120, 1129.565303, 4.050000
32.048580, -645.660839, -613.612259, 863.077446, 968.511257, 1198.486402, 1109.641861, 4.050000
32.544043, -646.156597, -613.612554, 863.996582, 983.484206, 1197.661933, 1090.480966, 4.050000
33.002678, -646.615540, -613.612863, 865.006791, 997.344196, 1196.712537, 1072.341637, 4.050000
33.419430, -647.032557, -613.613127, 866.096503, 1009.938484, 1195.649759, 1055.362984, 4.050000
33.789739, -647.403110, -613.613371, 867.253464, 1021.129259, 1194.484996, 1039.571623, 4.050000
34.109566, -647.723137, -613.613571, 868.464879, 1030.794463, 1193.230536, 1025.132821, 4.050000
34.375399, -647.989139, -613.613740, 869.717548, 1038.827969, 1191.900545, 1012.351718, 4.050000
34.584352, -648.198218, -613.613866, 870.998023, 1045.142557, 1190.509110, 1001.274052, 4.050000
34.734205, -648.348169, -613.613964, 872.292755, 1049.671113, 1189.070627, 991.998467, 4.050000
34.823389, -648.437429, -613.614040, 873.588248, 1052.366277, 1187.599035, 984.519232, 4.050000
34.851049, -648.465102, -613.614053, 874.871205, 1053.202164, 1186.108161, 978.876772, 4.050000
34.817124, -648.431125, -613.614001, 876.128692, 1052.176932, 1184.612983, 975.288002, 4.050000
34.722351, -648.336275, -613.613925, 877.348299, 1049.312888, 1183.127978, 973.742249, 4.050000
34.568237, -648.181987, -613.613750, 878.518280, 1044.655554, 1181.666297, 974.107694, 4.050000
34.357038, -647.970697, -613.613659, 879.627689, 1038.273095, 1180.241274, 976.462940, 4.050000
34.091747, -647.705176, -613.613429, 880.666504, 1030.255979, 1178.865591, 980.767266, 4.050000
33.776075, -647.389210, -613.613134, 881.625750, 1020.716350, 1177.550616, 986.879261, 4.050000
33.414380, -647.027238, -613.612858, 882.497587, 1009.785875, 1176.306262, 994.630452, 4.050000
33.011607, -646.624169, -613.612563, 883.275401, 997.614033, 1175.141237, 1003.882633, 4.050000
32.573230, -646.185422, -613.612192, 883.953863, 984.366247, 1174.063361, 1014.537666, 4.050000
32.105184, -645.717040, -613.611857, 884.528983, 970.221846, 1173.078587, 1026.347292, 4.050000
31.613733, -645.225167, -613.611435, 884.998130, 955.370142, 1172.192250, 1039.241774, 4.050000
31.105317, -644.716403, -613.611086, 885.360022, 940.005764, 1171.407884, 1052.968490, 4.050000
30.586455, -644.197162, -613.610707, 885.614700, 924.325702, 1170.728671, 1067.488378, 4.050000
30.063636, -643.673954, -613.610319, 885.763475, 908.526058, 1170.156393, 1082.597850, 4.050000
29.543236, -643.153210, -613.609974, 885.808869, 892.799516, 1169.691190, 1098.049941, 4.050000
29.031370, -642.641021, -613.609650, 885.754523, 877.330892, 1169.332197, 1113.688199, 4.050000
28.533810, -642.143120, -613.609310, 885.605096, 862.294576, 1169.077962, 1129.417387, 4.050000
28.055949, -641.665014, -613.609065, 885.366163, 847.853566, 1168.926395, 1145.130295, 4.050000
27.602728, -641.211518, -613.608790, 885.044094, 834.157186, 1168.874448, 1160.666923, 4.050000
27.178625, -640.787192, -613.608568, 884.645948, 821.340732, 1168.918490, 1175.921196, 4.050000
26.787605, -640.395991, -613.608386, 884.179352, 809.524073, 1169.054102, 1190.751936, 4.050000
26.433138, -640.041345, -613.608207, 883.652393, 798.812061, 1169.276660, 1205.108513, 4.050000
26.118286, -639.726320, -613.608034, 883.073527, 789.297205, 1169.580311, 1218.771762, 4.050000
25.845676, -639.453659, -613.607984, 882.451487, 781.058887, 1169.958839, 1231.658872, 4.050000
25.617458, -639.225331, -613.607873, 881.795188, 774.162116, 1170.405925, 1243.728003, 4.050000
25.435356, -639.043131, -613.607775, 881.113644, 768.658972, 1170.914355, 1254.805360, 4.050000
25.300677, -638.908386, -613.607709, 880.415892, 764.588960, 1171.476738, 1264.832293, 4.050000
25.214266, -638.821976, -613.607711, 879.710902, 761.977616, 1172.085296, 1273.714534, 4.050000
25.176511, -638.784206, -613.607696, 879.007504, 760.836653, 1172.732284, 1281.426221, 4.050000
25.187367, -638.795082, -613.607715, 878.314311, 761.164724, 1173.409873, 1287.922380, 4.050000
25.246322, -638.854087, -613.607766, 877.639645, 762.946347, 1174.110420, 1293.203490, 4.050000
25.352341, -638.960206, -613.607865, 876.991450, 766.150254, 1174.825683, 1297.135573, 4.050000
25.503831, -639.111798, -613.607966, 876.377213, 770.728310, 1175.547596, 1299.716642, 4.050000
25.698630, -639.306751, -613.608121, 875.803868, 776.615157, 1176.268751, 1301.028596, 4.050000
25.934000, -639.542324, -613.608324, 875.277720, 783.728066, 1176.982016, 1301.090180, 4.050000
26.206646, -639.815202, -613.608556, 874.804366, 791.967454, 1177.680024, 1299.831400, 4.050000
26.512769, -640.121551, -613.608782, 874.388627, 801.218509, 1178.356010, 1297.329594, 4.050000
26.848118, -640.457148, -613.609031, 874.034493, 811.352777, 1179.003686, 1293.642224, 4.050000
27.208061, -640.817408, -613.609347, 873.745084, 822.230292, 1179.617711, 1288.914218, 4.050000
27.587653, -641.197248, -613.609595, 873.522620, 833.701613, 1180.193667, 1283.289795, 4.050000
27.981679, -641.591594, -613.609915, 873.368402, 845.609126, 1180.727450, 1276.808369, 4.050000
28.384769, -641.995071, -613.610302, 873.282809, 857.790523, 1181.215626, 1269.575538, 4.050000
28.791538, -642.402068, -613.610530, 873.265325, 870.083144, 1181.655706, 1261.750273, 4.050000
29.196695, -642.807490, -613.610795, 873.314573, 882.327014, 1182.045709, 1253.416176, 4.050000
29.595121, -643.206183, -613.611062, 873.428373, 894.367509, 1182.384333, 1244.691158, 4.050000
29.981977, -643.593339, -613.611362, 873.603803, 906.058322, 1182.670978, 1235.700331, 4.050000
30.352780, -643.964331, -613.611552, 873.837280, 917.264020, 1182.905785, 1226.579866, 4.050000
30.703421, -644.315201, -613.611780, 874.124637, 927.860419, 1183.090012, 1217.540518, 4.050000
31.030195, -644.642131, -613.611936, 874.461203, 937.735565, 1183.225261, 1208.652124, 4.050000
31.329812, -644.941940, -613.612129, 874.841881, 946.790026, 1183.313656, 1200.020220, 4.050000
31.599356, -645.211555, -613.612199, 875.261220, 954.935679, 1183.357960, 1191.775702, 4.050000
31.836287, -645.448618, -613.612331, 875.713483, 962.095768, 1183.361532, 1184.043851, 4.050000
32.038447, -645.650892, -613.612445, 876.192714, 968.205050, 1183.327981, 1176.886108, 4.050000
32.204022, -645.816581, -613.612559, 876.692797, 973.208736, 1183.260933, 1170.320652, 4.050000
