its, t_max, delta_t, its_eq, -, -, -, -
100, 10, 0.100000, 0, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
5409.227861, 68.131724, 5477.359585, 163467.402964, 163467.402964, 71459.371171, 71459.371171, 4.030000
23404.778253, 33.398126, 23438.176380, 435381.062643, 707294.722322, 186527.141853, 301594.912534, 4.030000
41132.568046, 102.065228, 41234.633275, 704597.471692, 1243030.289791, 299501.488652, 525450.182250, 4.030000
57929.821007, 52.125363, 57981.946370, 966109.339219, 1750644.941799, 409499.024131, 739491.630568, 4.030000
69737.156739, 83.470904, 69820.627643, 1194380.231336, 2107463.799803, 505960.589383, 891806.850390, 4.030000
84853.070461, 57.364253, 84910.434714, 1422694.894963, 2564268.213099, 602267.443575, 1083801.714536, 4.030000
99395.065133, 96.576056, 99491.641190, 1648556.872220, 3003728.735763, 697419.659467, 1268332.954817, 4.030000
113303.730593, 86.156321, 113389.886914, 1870493.511532, 3424049.986719, 790925.663038, 1445467.688039, 4.030000
132502.047872, 40.435017, 132542.482889, 2107574.792564, 4004225.040820, 891031.325459, 1691876.624824, 4.030000
152732.933342, 95.364076, 152828.297418, 2358377.754121, 4615604.408136, 996960.398824, 1950322.059113, 4.030000
172284.711169, 99.269888, 172383.981057, 2617294.419662, 5206461.075064, 1106203.725211, 2198636.989082, 4.030000
194416.140330, 72.466988, 194488.607317, 2888792.806473, 5875275.061402, 1220815.926422, 2481550.139743, 4.030000
213107.754616, 73.743115, 213181.497731, 3161973.167570, 6440137.500733, 1336029.484393, 2718592.180038, 4.030000
229281.255222, 72.182795, 229353.438017, 3431039.533792, 6928902.294675, 1449555.633800, 2925395.576096, 4.030000
241757.147292, 59.103381, 241816.250672, 3689365.230977, 7305924.991569, 1558603.307589, 3085270.740634, 4.030000
257732.513720, 14.814061, 257747.327782, 3945573.788478, 7788702.150995, 1666694.424113, 3288061.171970, 4.030000
275656.712331, 82.478752, 275739.191083, 4203503.166358, 8330373.212427, 1775503.638977, 3516451.076802, 4.030000
289928.647059, 36.892972, 289965.540031, 4456734.795824, 8761672.496751, 1882274.013336, 3697370.377446, 4.030000
307768.995667, 81.261058, 307850.256726, 4711686.101454, 9300809.602799, 1989813.889395, 3925531.658457, 4.030000
323666.939476, 51.876934, 323718.816410, 4965164.148529, 9781247.042946, 2096803.080974, 4129597.720967, 4.030000
353245.704674, 84.525292, 353330.229966, 5237066.820679, 10675120.263679, 2211531.405408, 4506097.894086, 4.030000
367614.009208, 38.487985, 367652.497194, 5503987.958517, 11109331.853113, 2324215.240845, 4690575.785034, 4.030000
373646.187884, 69.757803, 373715.945687, 5755624.346909, 11291624.891535, 2430413.157045, 4766767.313430, 4.030000
389560.225557, 38.663153, 389598.888710, 6006329.527865, 11772548.689860, 2536122.189225, 4967429.929361, 4.030000
413458.146758, 58.369364, 413516.516122, 6265866.196392, 12494746.241037, 2645600.044559, 5273068.572597, 4.030000
437344.216647, 42.059655, 437386.276302, 6533201.559775, 13216585.644360, 2758405.808453, 5578549.905786, 4.030000
451056.290992, 118.366003, 451174.656995, 6796081.720241, 13630965.892339, 2869300.922394, 5752573.884861, 4.030000
462371.748103, 55.692878, 462427.440981, 7052397.377717, 13972920.129578, 2977418.305008, 5896587.635603, 4.030000
472361.488774, 50.284713, 472411.773487, 7301446.126222, 14274811.084376, 3082507.417954, 6025002.580439, 4.030000
490547.344238, 103.546065, 490650.890303, 7552210.903412, 14824389.441901, 3188278.725867, 6255646.655330, 4.030000
509578.157782, 83.771054, 509661.928835, 7805349.342542, 15399502.516463, 3295091.865264, 6499486.047165, 4.030000
